Subject,Lecture,Pre,Pos,Delta,Performance,Age,Scholar,Level,Level_Cat,Gender
ST01,Prog,3.4,3.5,0.1,2.5,6,1,2,1,M
ST01,Robo,3.3,3.9,0.6,1.75,6,1,2,1,M
ST01,Desi,3.6,3.5,-0.1,2.5,6,1,2,1,M
DJ01,Prog,3.1,3.8,0.7,2.75,9,4,7,3,M
DJ01,Robo,3.6,3.8,0.2,4.25,9,4,7,3,M
DJ01,Desi,3.8,3.5,-0.3,4.5,9,4,7,3,M
DJ02,Prog,2.5,2.4,-0.1,2.5,11,5,7,3,M
DJ02,Robo,3,2.5,-0.5,2.25,11,5,7,3,M
DJ02,Desi,3,2.4,-0.6,3.5,11,5,7,3,M
DJ03,Prog,3.3,3.3,0,3,11,6,7,3,F
DJ03,Robo,3.2,3.5,0.3,2.75,11,6,7,3,F
DJ03,Desi,3.2,3.1,-0.1,4.75,11,6,7,3,F
DJ04,Prog,2.6,3.2,0.6,2.25,12,7,7,3,M
DJ04,Robo,3.1,3.1,0,2.5,12,7,7,3,M
DJ04,Desi,3.1,2.8,-0.3,2.5,12,7,7,3,M
DT01,Prog,3.3,2.4,-0.9,3,11,6,8,3,M
DT01,Robo,2.9,2.6,-0.3,3.5,11,6,8,3,M
DT01,Desi,2.7,2.6,-0.1,4.75,11,6,8,3,M
DT02,Prog,3,3.8,0.8,3.75,12,7,8,3,M
DT02,Robo,4,3.5,-0.5,3.5,12,7,8,3,M
DT02,Desi,3.2,3,-0.2,5,12,7,8,3,M
DT03,Prog,2.9,2.8,-0.1,4,12,7,8,3,M
DT03,Robo,3.2,4,0.8,3.75,12,7,8,3,M
DT03,Desi,2.9,3,0.1,4.25,12,7,8,3,M
ES01,Prog,3.3,3.8,0.5,3.5,10,4,6,2,M
ES01,Robo,3.4,3.8,0.4,3,10,4,6,2,M
ES01,Desi,3.1,3.7,0.6,4.5,10,4,6,2,M
ES02,Prog,3.1,3,-0.1,3,10,5,6,2,M
ES02,Robo,3.1,3.6,0.5,3,10,5,6,2,M
ES02,Desi,3.4,3.2,-0.2,3.75,10,5,6,2,M
MJ01,Prog,2.7,3.3,0.6,3,13,8,10,4,M
MJ01,Robo,2.5,3.8,1.3,3.5,13,8,10,4,M
MJ01,Desi,3.1,3.5,0.4,4,13,8,10,4,M
MJ02,Prog,2.9,3.4,0.5,3,14,9,10,4,F
MJ02,Robo,3,3.5,0.5,3.75,14,9,10,4,F
MJ02,Desi,3.4,3.1,-0.3,4,14,9,10,4,F
MT01,Prog,2.9,3.2,0.3,3.75,14,9,11,4,M
MT01,Robo,3.8,3.5,-0.3,4,14,9,11,4,M
MT01,Desi,3.5,3.1,-0.4,4.5,14,9,11,4,M
