,Feature,Correlation,P
0,sdnn,0.0744232803427931,0.034979902109229376
1,hr_mad,0.11612592069268453,0.0009781989722517845
2,HRV_RMSSD,0.23108363911001079,3.402965663676543e-11
3,HRV_MedianNN,0.11483215085931855,0.0011151136396324321
4,HRV_MadNN,0.08717227636424256,0.013470556477381993
5,HRV_IQRNN,0.16204345716626897,3.92624258397439e-06
6,HRV_pNN50,0.08048060265799159,0.022563409186149446
7,HRV_HTI,0.1190255721118236,0.0007258486405914679
8,HRV_LF,0.22861601384019387,5.554347268767318e-11
9,HRV_HF,0.29865642085703487,5.23851579700332e-18
10,HRV_VHF,0.3082706479353032,3.871573899614402e-19
11,HRV_LFHF,0.11697176984877304,0.0008972715045968868
12,HRV_LFn,0.18269915765998337,1.8574561853232653e-07
13,HRV_LnHF,0.2727373023120207,3.6559910762707006e-15
14,HRV_SD1SD2,0.09713740747711438,0.0058721456091535605
15,HRV_PIP,0.07650148995686834,0.030185900260816856
16,HRV_PSS,0.08154106202071033,0.020838407043062977
17,HRV_GI,0.11890698543206922,0.0007348553482316346
18,HRV_SI,0.0890248424832892,0.01160931402361841
19,HRV_AI,0.11656626069769163,0.0009352631066713199
20,HRV_SampEn,0.29205475523567603,2.963336294373285e-17
21,HRV_MSE,0.2401874218800966,5.316549931194843e-12
22,HRV_CMSE,0.11825878001816909,0.0007859449226495712
23,HRV_DFA,0.12615968711702003,0.0003386593802625284
24,HRV_CorrDim,0.28010907417459724,6.084884546314946e-16
25,bpm-M-hr_mad,0.13820746491330194,8.523249388636112e-05
26,bpm-D-hr_mad,0.10968011904185007,0.0018545549322156846
27,bpm-D-vlf,0.16507812255319063,2.565237615068077e-06
28,bpm-D-lf,0.06932180137318858,0.049565803444765966
29,bpm-M-HRV_RMSSD,0.2641558788251247,2.7546665505903318e-14
30,bpm-D-HRV_RMSSD,0.1685685813433478,1.5572474710034053e-06
31,bpm-M-HRV_CVNN,0.29919481643392526,4.539068053215143e-18
32,bpm-M-HRV_MedianNN,0.19717274198638818,1.7604742372087e-08
33,bpm-M-HRV_MCVNN,0.10887368817773985,0.002004506987694408
34,bpm-M-HRV_IQRNN,0.1356748188876184,0.00011501824922052792
35,bpm-M-HRV_pNN50,0.13756830634152636,9.197425574316112e-05
36,bpm-M-HRV_pNN20,0.07176477514560799,0.042045383762387444
37,bpm-D-HRV_TINN,0.18943302135343237,6.348559595521453e-08
38,bpm-M-HRV_HTI,0.10127128547534145,0.004070214490227459
39,bpm-M-HRV_LF,0.2331164360802514,2.2632812038313415e-11
40,bpm-D-HRV_LF,0.1993802690986689,1.2093954268626374e-08
41,bpm-D-HRV_HF,0.14926162572823076,2.1676024919957117e-05
42,bpm-D-HRV_VHF,0.12574612223833556,0.0003543518197685799
43,bpm-D-HRV_LFHF,0.1518092661911961,1.5587407172835126e-05
44,bpm-M-HRV_LFn,0.18302287109901147,1.7656085299540843e-07
45,bpm-M-HRV_HFn,0.11466226244392161,0.0011343510315713933
46,bpm-M-HRV_LnHF,0.24213935452761567,3.534967538251346e-12
