Datetime,emotion
2021-05-29T10:15:22.330424,sad
2021-05-29T10:15:30.686255,neutral
2021-05-29T10:15:38.624216,neutral
2021-05-29T10:15:50.609125,angry
2021-05-29T10:15:58.503437,sad
2021-05-29T10:16:06.434094,sad
2021-05-29T10:16:14.459072,happy
2021-05-29T10:16:22.339285,angry
2021-05-29T10:16:30.226655,angry
2021-05-29T10:16:38.052176,neutral
2021-05-29T10:16:45.909514,neutral
2021-05-29T10:16:53.886129,sad
2021-05-29T10:17:01.763423,sad
2021-05-29T10:17:09.647179,sad
2021-05-29T10:17:17.563099,angry
2021-05-29T10:17:25.427431,sad
2021-05-29T10:17:33.464811,neutral
2021-05-29T10:17:41.355543,angry
2021-05-29T10:17:49.306154,sad
2021-05-29T10:17:57.220998,neutral
2021-05-29T10:18:05.078965,neutral
2021-05-29T10:18:13.106533,neutral
2021-05-29T10:18:21.036208,neutral
2021-05-29T10:18:28.940027,angry
2021-05-29T10:18:36.909730,angry
2021-05-29T10:18:44.826741,neutral
2021-05-29T10:18:52.804265,neutral
2021-05-29T10:19:00.742763,neutral
2021-05-29T10:19:08.642482,neutral
2021-05-29T10:19:16.497528,neutral
2021-05-29T10:19:24.373651,neutral
2021-05-29T10:19:32.354487,angry
2021-05-29T10:19:40.184701,neutral
2021-05-29T10:19:48.229111,neutral
2021-05-29T10:19:56.113311,neutral
2021-05-29T10:20:04.049270,neutral
2021-05-29T10:20:12.097203,neutral
2021-05-29T10:20:20.008501,neutral
2021-05-29T10:20:27.891801,neutral
2021-05-29T10:20:35.780076,neutral
2021-05-29T10:20:43.706791,angry
2021-05-29T10:20:51.724131,angry
2021-05-29T10:20:59.632428,angry
2021-05-29T10:21:07.553551,neutral
2021-05-29T10:21:15.457038,angry
2021-05-29T10:21:23.362491,sad
2021-05-29T10:21:31.418782,sad
2021-05-29T10:21:39.393554,neutral
2021-05-29T10:21:47.324791,fear
2021-05-29T10:21:55.237024,neutral
2021-05-29T10:22:03.185747,neutral
2021-05-29T10:22:11.235987,angry
2021-05-29T10:22:19.131342,neutral
2021-05-29T10:22:27.131858,neutral
2021-05-29T10:22:35.016374,fear
2021-05-29T10:22:42.876341,neutral
2021-05-29T10:22:50.923591,happy
2021-05-29T10:22:58.921221,neutral
2021-05-29T10:23:06.794064,neutral
2021-05-29T10:23:14.653161,neutral
2021-05-29T10:23:22.590618,happy
2021-05-29T10:23:30.591348,angry
2021-05-29T10:23:38.503930,neutral
2021-05-29T10:23:46.445951,sad
2021-05-29T10:23:54.366385,happy
2021-05-29T10:24:02.314662,happy
2021-05-29T10:24:10.373802,neutral
2021-05-29T10:24:18.277643,neutral
2021-05-29T10:24:26.242426,neutral
2021-05-29T10:24:34.173476,neutral
2021-05-29T10:24:42.125016,neutral
2021-05-29T10:24:50.165962,neutral
2021-05-29T10:24:58.120078,neutral
2021-05-29T10:25:06.053872,angry
2021-05-29T10:25:13.985756,neutral
2021-05-29T10:25:21.946623,neutral
2021-05-29T10:25:30.028100,neutral
