Datetime,emotion
2021-05-28T11:22:11.005745,happy
2021-05-28T11:22:19.835661,neutral
2021-05-28T11:22:27.730023,neutral
2021-05-28T11:22:35.562124,angry
2021-05-28T11:22:43.678214,neutral
2021-05-28T11:22:51.590835,neutral
2021-05-28T11:22:59.621132,fear
2021-05-28T11:23:07.519727,neutral
2021-05-28T11:23:15.371320,sad
2021-05-28T11:23:23.278492,fear
2021-05-28T11:23:31.202303,sad
2021-05-28T11:23:39.242678,sad
2021-05-28T11:23:47.181658,fear
2021-05-28T11:23:55.061004,neutral
2021-05-28T11:24:04.526922,sad
2021-05-28T11:24:14.546958,fear
2021-05-28T11:24:26.336483,sad
2021-05-28T11:24:34.276967,neutral
2021-05-28T11:24:42.211202,sad
2021-05-28T11:24:50.150706,neutral
2021-05-28T11:24:58.002393,neutral
2021-05-28T11:25:06.051228,sad
2021-05-28T11:25:13.950826,neutral
2021-05-28T11:25:21.931770,neutral
2021-05-28T11:25:29.837500,neutral
2021-05-28T11:25:37.745937,neutral
2021-05-28T11:25:45.756708,neutral
2021-05-28T11:25:53.664293,neutral
2021-05-28T11:26:01.569467,sad
2021-05-28T11:26:09.422213,neutral
2021-05-28T11:26:17.294331,happy
2021-05-28T11:26:25.270998,happy
2021-05-28T11:26:33.157725,happy
2021-05-28T11:26:40.973628,happy
2021-05-28T11:26:48.830310,fear
2021-05-28T11:26:56.679647,happy
2021-05-28T11:27:04.655861,happy
2021-05-28T11:27:12.522532,sad
2021-05-28T11:27:20.447581,neutral
2021-05-28T11:27:28.351140,neutral
2021-05-28T11:27:36.262946,neutral
2021-05-28T11:27:44.256805,neutral
2021-05-28T11:27:52.158478,happy
2021-05-28T11:28:00.017804,neutral
2021-05-28T11:28:07.867537,neutral
2021-05-28T11:28:15.715921,sad
2021-05-28T11:28:23.746562,angry
2021-05-28T11:28:31.600361,sad
2021-05-28T11:28:39.457173,neutral
2021-05-28T11:28:47.275521,neutral
2021-05-28T11:28:55.164543,neutral
2021-05-28T11:29:03.129194,happy
2021-05-28T11:29:11.208969,neutral
2021-05-28T11:29:19.167709,happy
2021-05-28T11:29:27.137884,neutral
2021-05-28T11:29:35.181352,fear
2021-05-28T11:29:43.591488,happy
2021-05-28T11:29:51.608218,sad
2021-05-28T11:29:59.722852,neutral
2021-05-28T11:30:07.683375,happy
2021-05-28T11:30:15.517942,sad
2021-05-28T11:30:23.556065,neutral
2021-05-28T11:30:31.408550,neutral
2021-05-28T11:30:39.258281,sad
2021-05-28T11:30:47.196212,neutral
2021-05-28T11:30:55.107276,happy
2021-05-28T11:31:03.079489,neutral
2021-05-28T11:31:11.056547,neutral
2021-05-28T11:31:18.934134,angry
2021-05-28T11:31:26.827914,sad
2021-05-28T11:31:34.750532,neutral
2021-05-28T11:31:42.829656,neutral
2021-05-28T11:31:50.699558,neutral
2021-05-28T11:31:58.563316,neutral
2021-05-28T11:32:06.461169,neutral
2021-05-28T11:32:14.340451,neutral
2021-05-28T11:32:22.382362,neutral
2021-05-28T11:32:30.311353,neutral
2021-05-28T11:32:38.144967,neutral
2021-05-28T11:32:45.994517,neutral
2021-05-28T11:32:53.836061,fear
2021-05-28T11:33:01.850359,neutral
2021-05-28T11:33:09.720974,neutral
2021-05-28T11:33:17.559231,neutral
2021-05-28T11:33:25.455080,neutral
2021-05-28T11:33:33.334615,neutral
2021-05-28T11:33:41.332000,neutral
2021-05-28T11:33:49.228360,neutral
2021-05-28T11:33:57.095411,neutral
2021-05-28T11:34:04.993207,sad
2021-05-28T11:34:12.821294,fear
2021-05-28T11:34:20.841200,happy
2021-05-28T11:34:28.745682,sad
2021-05-28T11:34:36.671231,neutral
2021-05-28T11:34:44.569842,sad
2021-05-28T11:34:52.470276,sad
2021-05-28T11:35:00.614731,neutral
2021-05-28T11:35:08.535529,neutral
2021-05-28T11:35:16.436131,neutral
2021-05-28T11:35:24.287760,neutral
2021-05-28T11:35:32.128194,neutral
2021-05-28T11:35:40.088373,angry
2021-05-28T11:35:47.938984,angry
2021-05-28T11:35:55.878273,neutral
2021-05-28T11:36:03.709495,happy
2021-05-28T11:36:11.603453,neutral
2021-05-28T11:36:19.627412,sad
2021-05-28T11:36:27.454478,angry
2021-05-28T11:36:35.332459,fear
2021-05-28T11:36:43.195853,neutral
2021-05-28T11:36:51.082373,happy
2021-05-28T11:36:59.058590,neutral
2021-05-28T11:37:06.895101,neutral
2021-05-28T11:37:14.714068,sad
2021-05-28T11:37:22.586731,sad
2021-05-28T11:37:30.513668,neutral
2021-05-28T11:37:38.507724,sad
2021-05-28T11:37:46.328107,angry
2021-05-28T11:37:54.248909,sad
2021-05-28T11:38:02.125083,happy
2021-05-28T11:38:10.008105,neutral
2021-05-28T11:38:18.018201,sad
2021-05-28T11:38:25.932195,happy
2021-05-28T11:38:33.865279,neutral
2021-05-28T11:38:41.779325,sad
2021-05-28T11:38:49.639931,sad
2021-05-28T11:38:57.642777,sad
2021-05-28T11:39:05.519386,neutral
2021-05-28T11:39:13.448893,neutral
2021-05-28T11:39:21.341512,sad
2021-05-28T11:39:29.216583,neutral
2021-05-28T11:39:37.280352,neutral
2021-05-28T11:39:45.377592,neutral
2021-05-28T11:39:53.241462,angry
2021-05-28T11:40:01.129495,happy
2021-05-28T11:40:09.163319,neutral
2021-05-28T11:40:17.149388,neutral
2021-05-28T11:40:25.065865,fear
2021-05-28T11:40:32.922013,sad
2021-05-28T11:40:40.770227,neutral
2021-05-28T11:40:48.622515,fear
2021-05-28T11:40:56.571162,neutral
2021-05-28T11:41:04.390424,neutral
2021-05-28T11:41:12.262879,neutral
2021-05-28T11:41:20.148374,neutral
2021-05-28T11:41:27.990226,fear
2021-05-28T11:41:36.007980,sad
2021-05-28T11:41:43.906385,happy
2021-05-28T11:41:51.722894,happy
2021-05-28T11:41:59.600955,fear
2021-05-28T11:42:07.466996,neutral
2021-05-28T11:42:15.443930,neutral
2021-05-28T11:42:23.291707,surprise
2021-05-28T11:42:31.130914,neutral
2021-05-28T11:42:38.899288,sad
2021-05-28T11:42:46.713107,happy
2021-05-28T11:42:54.686433,neutral
2021-05-28T11:43:02.748599,neutral
2021-05-28T11:43:10.441268,happy
2021-05-28T11:43:18.342921,happy
2021-05-28T11:43:26.402267,neutral
2021-05-28T11:43:34.429350,happy
2021-05-28T11:43:42.518936,sad
2021-05-28T11:43:50.364132,happy
2021-05-28T11:43:58.252827,happy
2021-05-28T11:44:06.116082,neutral
2021-05-28T11:44:14.062114,happy
2021-05-28T11:44:21.924045,sad
2021-05-28T11:44:29.837982,sad
2021-05-28T11:44:37.718786,neutral
2021-05-28T11:44:45.693693,neutral
2021-05-28T11:44:53.655925,fear
2021-05-28T11:45:01.547910,happy
2021-05-28T11:45:09.605103,angry
2021-05-28T11:45:17.371576,sad
2021-05-28T11:45:25.385045,angry
2021-05-28T11:45:33.566794,sad
2021-05-28T11:45:41.259802,sad
2021-05-28T11:45:49.084411,sad
2021-05-28T11:45:56.897029,sad
2021-05-28T11:46:04.682831,angry
2021-05-28T11:46:12.877183,neutral
2021-05-28T11:46:20.721239,sad
2021-05-28T11:46:28.501636,happy
2021-05-28T11:46:36.343888,angry
2021-05-28T11:46:44.147272,fear
2021-05-28T11:46:52.109608,fear
2021-05-28T11:46:59.966646,happy
2021-05-28T11:47:07.874053,sad
2021-05-28T11:47:15.950607,neutral
2021-05-28T11:47:24.025279,neutral
2021-05-28T11:47:32.013431,sad
2021-05-28T11:47:40.067705,sad
2021-05-28T11:47:48.015813,neutral
2021-05-28T11:47:56.079599,neutral
2021-05-28T11:48:03.837375,fear
2021-05-28T11:48:11.803186,fear
2021-05-28T11:48:19.645889,neutral
2021-05-28T11:48:27.456671,sad
2021-05-28T11:48:35.484847,neutral
2021-05-28T11:48:43.310744,neutral
2021-05-28T11:48:51.284486,happy
2021-05-28T11:48:59.164152,sad
2021-05-28T11:49:07.011830,happy
2021-05-28T11:49:14.860870,happy
2021-05-28T11:49:22.716435,happy
2021-05-28T11:49:30.679734,happy
2021-05-28T11:49:38.601668,surprise
2021-05-28T11:49:46.488587,sad
2021-05-28T11:49:54.328298,fear
2021-05-28T11:50:02.244668,angry
2021-05-28T11:50:10.439858,neutral
2021-05-28T11:50:18.295379,neutral
2021-05-28T11:50:26.075514,happy
2021-05-28T11:50:33.908112,happy
2021-05-28T11:50:41.784617,sad
2021-05-28T11:50:49.745608,fear
2021-05-28T11:50:57.624155,sad
2021-05-28T11:51:05.216564,angry
2021-05-28T11:51:13.141558,neutral
2021-05-28T11:51:21.032141,neutral
2021-05-28T11:51:29.023087,neutral
2021-05-28T11:51:36.868357,neutral
2021-05-28T11:51:44.748264,neutral
2021-05-28T11:51:52.630140,neutral
2021-05-28T11:52:00.552006,neutral
2021-05-28T11:52:08.581706,angry
2021-05-28T11:52:16.465829,fear
2021-05-28T11:52:24.388449,fear
2021-05-28T11:52:32.261971,sad
2021-05-28T11:52:40.085901,sad
2021-05-28T11:52:48.114486,neutral
2021-05-28T11:52:55.966515,sad
2021-05-28T11:53:03.835355,sad
2021-05-28T11:53:11.715877,sad
2021-05-28T11:53:19.595782,neutral
2021-05-28T11:53:27.587451,sad
2021-05-28T11:53:35.503506,neutral
2021-05-28T11:53:43.417905,sad
2021-05-28T11:53:51.341943,sad
2021-05-28T11:53:59.236289,sad
2021-05-28T11:54:07.238125,fear
2021-05-28T11:54:15.125908,sad
2021-05-28T11:54:23.028882,fear
2021-05-28T11:54:30.931772,sad
2021-05-28T11:54:38.854164,sad
2021-05-28T11:54:46.883276,sad
2021-05-28T11:54:54.737168,neutral
2021-05-28T11:55:02.649365,neutral
2021-05-28T11:55:10.504199,neutral
2021-05-28T11:55:18.330243,angry
2021-05-28T11:55:26.286084,fear
2021-05-28T11:55:34.138306,neutral
2021-05-28T11:55:41.970832,neutral
2021-05-28T11:55:49.816305,neutral
2021-05-28T11:55:57.714043,sad
2021-05-28T11:56:05.933537,fear
2021-05-28T11:56:13.793596,neutral
2021-05-28T11:56:21.634134,surprise
2021-05-28T11:56:29.489261,neutral
2021-05-28T11:56:37.392186,neutral
2021-05-28T11:56:45.437602,neutral
2021-05-28T11:56:53.329959,neutral
2021-05-28T11:57:01.470579,neutral
2021-05-28T11:57:09.375102,angry
