Datetime,emotion
2021-05-29T13:18:18.958724,angry
2021-05-29T13:18:26.942676,neutral
2021-05-29T13:18:34.788352,sad
2021-05-29T13:18:42.691583,happy
2021-05-29T13:18:54.483834,happy
2021-05-29T13:19:02.474852,fear
2021-05-29T13:19:10.407839,happy
2021-05-29T13:19:18.297581,happy
2021-05-29T13:19:26.129301,neutral
2021-05-29T13:19:33.919851,happy
2021-05-29T13:19:41.719628,neutral
2021-05-29T13:19:49.640887,fear
2021-05-29T13:19:57.464199,fear
2021-05-29T13:20:05.264047,fear
2021-05-29T13:20:13.123867,happy
2021-05-29T13:20:20.950886,sad
2021-05-29T13:20:28.872499,happy
2021-05-29T13:20:36.662068,fear
2021-05-29T13:20:47.351226,happy
2021-05-29T13:20:55.156768,fear
2021-05-29T13:21:02.923343,fear
2021-05-29T13:21:10.840840,fear
2021-05-29T13:21:18.667305,neutral
2021-05-29T13:21:26.462004,happy
2021-05-29T13:21:34.246467,fear
2021-05-29T13:21:41.986901,neutral
2021-05-29T13:21:49.929194,sad
2021-05-29T13:21:57.696680,happy
2021-05-29T13:22:05.478387,sad
2021-05-29T13:22:13.240554,neutral
2021-05-29T13:22:20.992907,angry
2021-05-29T13:22:28.897381,neutral
2021-05-29T13:22:36.608873,sad
2021-05-29T13:22:44.381791,sad
2021-05-29T13:22:52.159966,surprise
2021-05-29T13:22:59.917261,surprise
2021-05-29T13:23:07.804234,happy
2021-05-29T13:23:15.594266,happy
2021-05-29T13:23:23.356559,neutral
2021-05-29T13:23:31.138406,sad
2021-05-29T13:23:38.909386,sad
2021-05-29T13:23:46.786345,neutral
2021-05-29T13:23:54.551145,sad
2021-05-29T13:24:02.295359,sad
2021-05-29T13:24:10.057138,sad
2021-05-29T13:24:17.913865,sad
2021-05-29T13:24:25.824858,happy
2021-05-29T13:24:33.615988,sad
2021-05-29T13:24:41.435685,happy
2021-05-29T13:24:49.223697,sad
2021-05-29T13:24:56.964966,sad
2021-05-29T13:25:04.815853,sad
2021-05-29T13:25:12.612197,neutral
2021-05-29T13:25:20.392885,sad
2021-05-29T13:25:28.156958,happy
2021-05-29T13:25:35.935634,sad
2021-05-29T13:25:43.834121,neutral
2021-05-29T13:25:51.632102,neutral
2021-05-29T13:25:59.465349,neutral
2021-05-29T13:26:07.242956,neutral
2021-05-29T13:26:15.006722,neutral
2021-05-29T13:26:22.909302,neutral
2021-05-29T13:26:30.685976,sad
2021-05-29T13:26:38.449058,neutral
2021-05-29T13:26:46.204567,neutral
2021-05-29T13:26:53.988551,neutral
2021-05-29T13:27:01.838323,sad
2021-05-29T13:27:09.595681,happy
2021-05-29T13:27:17.387755,sad
2021-05-29T13:27:25.158169,neutral
2021-05-29T13:27:32.905428,neutral
2021-05-29T13:27:40.749466,neutral
2021-05-29T13:27:48.488856,neutral
2021-05-29T13:27:56.246339,neutral
2021-05-29T13:28:04.017391,sad
2021-05-29T13:28:11.801166,neutral
2021-05-29T13:28:19.727109,neutral
2021-05-29T13:28:27.563557,neutral
2021-05-29T13:28:35.446553,neutral
2021-05-29T13:28:43.226964,neutral
2021-05-29T13:28:51.041343,neutral
2021-05-29T13:28:58.971394,neutral
2021-05-29T13:29:06.751352,happy
2021-05-29T13:29:14.559234,neutral
2021-05-29T13:29:22.396402,neutral
2021-05-29T13:29:30.230000,happy
2021-05-29T13:29:38.203477,happy
2021-05-29T13:29:46.013400,neutral
2021-05-29T13:29:53.863994,sad
2021-05-29T13:30:01.712485,neutral
2021-05-29T13:30:09.518031,sad
2021-05-29T13:30:17.405062,sad
2021-05-29T13:30:25.202674,neutral
2021-05-29T13:30:32.984134,neutral
2021-05-29T13:30:40.785371,neutral
2021-05-29T13:30:48.618346,happy
2021-05-29T13:30:56.561363,neutral
2021-05-29T13:31:04.383497,neutral
2021-05-29T13:31:12.207982,angry
2021-05-29T13:31:20.014724,neutral
2021-05-29T13:31:27.832439,sad
2021-05-29T13:31:35.769093,sad
2021-05-29T13:31:43.571207,neutral
2021-05-29T13:31:51.336365,sad
2021-05-29T13:31:59.156520,neutral
2021-05-29T13:32:06.963241,neutral
2021-05-29T13:32:14.880645,sad
2021-05-29T13:32:22.685545,neutral
2021-05-29T13:32:30.482896,neutral
2021-05-29T13:32:38.272081,neutral
2021-05-29T13:32:46.101651,neutral
2021-05-29T13:32:54.147517,neutral
2021-05-29T13:33:01.952951,neutral
2021-05-29T13:33:09.740584,neutral
2021-05-29T13:33:17.529237,happy
2021-05-29T13:33:25.320711,happy
2021-05-29T13:33:33.226502,happy
2021-05-29T13:33:41.009231,happy
