EmotionDetected,EmotionNumber,Percentage,Second
neutral,0,94.19642686843872,0.0
happy,3,99.872225522995,4.166666666666666
Pass,7,Pass,8.333333333333332
neutral,0,52.35497071474616,12.5
neutral,0,98.59898090362549,16.666666666666664
neutral,0,95.50845623016357,20.833333333333332
Pass,7,Pass,25.0
happy,3,61.72565082005848,29.166666666666664
Pass,7,Pass,33.33333333333333
happy,3,99.92252588272095,37.5
happy,3,99.46727162989716,41.666666666666664
happy,3,88.32109570503235,45.83333333333333
happy,3,68.32615355564994,50.0
neutral,0,58.155858516693115,54.166666666666664
neutral,0,68.67331266403198,58.33333333333333
neutral,0,86.54921054840088,62.5
Pass,7,Pass,66.66666666666666
neutral,0,59.821051359176636,70.83333333333333
happy,3,81.96152448654175,75.0
angry,6,56.79951229101273,79.16666666666666
angry,6,97.12406345440093,83.33333333333333
angry,6,53.516596974920866,87.5
happy,3,81.68184757232666,91.66666666666666
Pass,7,Pass,95.83333333333333
Pass,7,Pass,100.0
angry,6,57.38102197647095,104.16666666666666
Pass,7,Pass,108.33333333333333
Pass,7,Pass,112.5
Pass,7,Pass,116.66666666666666
happy,3,98.41828961154346,120.83333333333333
happy,3,85.35318970680237,125.0
Pass,7,Pass,129.16666666666666
happy,3,99.48532572126253,133.33333333333331
Pass,7,Pass,137.5
neutral,0,78.00306677818298,141.66666666666666
Pass,7,Pass,145.83333333333331
neutral,0,71.65870666503906,150.0
angry,6,77.27241787047173,154.16666666666666
neutral,0,87.6892626285553,158.33333333333331
neutral,0,73.56756925582886,162.5
angry,6,34.884862913505685,166.66666666666666
happy,3,99.99942183491122,170.83333333333331
happy,3,99.88150596618652,175.0
happy,3,59.24978013335348,179.16666666666666
neutral,0,40.43225646018982,183.33333333333331
neutral,0,96.94129228591919,187.5
Pass,7,Pass,191.66666666666666
angry,6,43.552578264167515,195.83333333333331
happy,3,77.68588928152451,200.0
angry,6,32.39215209437323,204.16666666666666
angry,6,43.398791551589966,208.33333333333331
Pass,7,Pass,212.5
angry,6,45.03209561300848,216.66666666666666
Pass,7,Pass,220.83333333333331
Pass,7,Pass,225.0
happy,3,81.38048870796099,229.16666666666666
angry,6,54.00136709213257,233.33333333333331
happy,3,52.17921448822108,237.5
angry,6,37.01263964176178,241.66666666666666
neutral,0,67.45036840438843,245.83333333333331
neutral,0,97.79034839811017,250.0
neutral,0,99.4615673697929,254.16666666666666
neutral,0,54.74521517753601,258.3333333333333
Pass,7,Pass,262.5
neutral,0,93.00950723943157,266.66666666666663
neutral,0,58.86111014253557,270.8333333333333
Pass,7,Pass,275.0
angry,6,60.132718086242676,279.16666666666663
happy,3,97.4244001597881,283.3333333333333
Pass,7,Pass,287.5
Pass,7,Pass,291.66666666666663
happy,3,95.56740495964318,295.8333333333333
happy,3,85.4724151459235,300.0
angry,6,51.55875086784363,304.16666666666663
angry,6,59.81363537149008,308.3333333333333
Pass,7,Pass,312.5
Pass,7,Pass,316.66666666666663
happy,3,84.5298171043396,320.8333333333333
happy,3,57.81362056732178,325.0
Pass,7,Pass,329.16666666666663
happy,3,76.27577185630798,333.3333333333333
Pass,7,Pass,337.5
happy,3,99.89461302757263,341.66666666666663
happy,3,96.91417217254639,345.8333333333333
happy,3,97.9126753911167,350.0
neutral,0,93.59683394432068,354.16666666666663
happy,3,63.39938044548035,358.3333333333333
Pass,7,Pass,362.5
neutral,0,88.53731087072556,366.66666666666663
Pass,7,Pass,370.8333333333333
Pass,7,Pass,375.0
happy,3,95.92633247375488,379.16666666666663
Pass,7,Pass,383.3333333333333
neutral,0,86.32593750953674,387.5
neutral,0,96.10173082958048,391.66666666666663
neutral,0,90.84146618843079,395.8333333333333
neutral,0,99.99796748149201,400.0
Pass,7,Pass,404.16666666666663
happy,3,99.72237348556519,408.3333333333333
neutral,0,99.02423024177551,412.5
neutral,0,74.12548065185547,416.66666666666663
Pass,7,Pass,420.8333333333333
Pass,7,Pass,425.0
Pass,7,Pass,429.16666666666663
Pass,7,Pass,433.3333333333333
happy,3,39.740848541259766,437.5
neutral,0,57.57167935371399,441.66666666666663
Pass,7,Pass,445.8333333333333
sad,2,70.7613468170166,450.0
sad,2,75.9768769727276,454.16666666666663
sad,2,85.58902740478516,458.3333333333333
sad,2,38.13611198282909,462.5
Pass,7,Pass,466.66666666666663
Pass,7,Pass,470.8333333333333
Pass,7,Pass,475.0
happy,3,99.57121615752982,479.16666666666663
Pass,7,Pass,483.3333333333333
Pass,7,Pass,487.5
Pass,7,Pass,491.66666666666663
happy,3,99.91057516210375,495.8333333333333
happy,3,99.9898672115961,500.0
happy,3,89.09877473704664,504.16666666666663
Pass,7,Pass,508.3333333333333
Pass,7,Pass,512.5
Pass,7,Pass,516.6666666666666
happy,3,60.33375263214111,520.8333333333333
Pass,7,Pass,525.0
Pass,7,Pass,529.1666666666666
neutral,0,55.92505669147114,533.3333333333333
Pass,7,Pass,537.5
happy,3,67.51906275749207,541.6666666666666
Pass,7,Pass,545.8333333333333
Pass,7,Pass,550.0
Pass,7,Pass,554.1666666666666
Pass,7,Pass,558.3333333333333
Pass,7,Pass,562.5
Pass,7,Pass,566.6666666666666
happy,3,96.94628715515137,570.8333333333333
Pass,7,Pass,575.0
Pass,7,Pass,579.1666666666666
Pass,7,Pass,583.3333333333333
