EmotionDetected,EmotionNumber,Percentage,Second
angry,6,44.13019418716431,0.0
neutral,0,95.86018919944763,4.166666666666666
neutral,0,94.6925517733426,8.333333333333332
neutral,0,77.70083546638489,12.5
neutral,0,82.2449066930898,16.666666666666664
sad,2,90.5380368232727,20.833333333333332
neutral,0,81.23416900634766,25.0
neutral,0,76.79629325866699,29.166666666666664
neutral,0,81.01852536201477,33.33333333333333
neutral,0,81.48345130484715,37.5
neutral,0,90.01572728157043,41.666666666666664
neutral,0,92.68810153007507,45.83333333333333
neutral,0,84.94849801063538,50.0
neutral,0,85.78805327415466,54.166666666666664
neutral,0,84.0497612953186,58.33333333333333
neutral,0,76.68145895004272,62.5
neutral,0,84.27605628967285,66.66666666666666
neutral,0,82.49516487121582,70.83333333333333
neutral,0,98.40539116795168,75.0
neutral,0,55.87607026100159,79.16666666666666
neutral,0,94.09711360931396,83.33333333333333
neutral,0,95.16069946757561,87.5
Pass,7,Pass,91.66666666666666
Pass,7,Pass,95.83333333333333
neutral,0,97.50217199325562,100.0
Pass,7,Pass,104.16666666666666
Pass,7,Pass,108.33333333333333
Pass,7,Pass,112.5
Pass,7,Pass,116.66666666666666
neutral,0,48.932984471321106,120.83333333333333
Pass,7,Pass,125.0
sad,2,91.84322953224182,129.16666666666666
neutral,0,69.90827918052673,133.33333333333331
neutral,0,95.68998191892993,137.5
neutral,0,97.19175696372986,141.66666666666666
Pass,7,Pass,145.83333333333331
neutral,0,92.28073954582214,150.0
Pass,7,Pass,154.16666666666666
Pass,7,Pass,158.33333333333331
neutral,0,93.89230608940125,162.5
Pass,7,Pass,166.66666666666666
Pass,7,Pass,170.83333333333331
Pass,7,Pass,175.0
Pass,7,Pass,179.16666666666666
Pass,7,Pass,183.33333333333331
sad,2,95.46596380865358,187.5
neutral,0,99.19568300247192,191.66666666666666
sad,2,74.13493394851685,195.83333333333331
neutral,0,49.43993396282983,200.0
sad,2,96.64583246161551,204.16666666666666
sad,2,83.80141258239746,208.33333333333331
Pass,7,Pass,212.5
sad,2,94.44005456209509,216.66666666666666
sad,2,91.48463606834412,220.83333333333331
Pass,7,Pass,225.0
neutral,0,85.94373976848958,229.16666666666666
neutral,0,83.48337411880493,233.33333333333331
Pass,7,Pass,237.5
neutral,0,99.93904232615485,241.66666666666666
neutral,0,99.73478317260742,245.83333333333331
Pass,7,Pass,250.0
sad,2,98.08863997459412,254.16666666666666
neutral,0,95.41430473327637,258.3333333333333
Pass,7,Pass,262.5
Pass,7,Pass,266.66666666666663
sad,2,99.74283579077294,270.8333333333333
Pass,7,Pass,275.0
Pass,7,Pass,279.16666666666663
sad,2,92.84043269398407,283.3333333333333
sad,2,99.65150356292725,287.5
neutral,0,98.41710319620987,291.66666666666663
Pass,7,Pass,295.8333333333333
sad,2,78.68704541767185,300.0
neutral,0,80.59579730033875,304.16666666666663
neutral,0,74.73551034927368,308.3333333333333
neutral,0,95.7092521017344,312.5
neutral,0,50.12386441230774,316.66666666666663
neutral,0,83.29599499702454,320.8333333333333
neutral,0,72.20177054405212,325.0
sad,2,48.111745715141296,329.16666666666663
neutral,0,57.35415132592305,333.3333333333333
sad,2,74.58012700080872,337.5
neutral,0,71.23504109591491,341.66666666666663
Pass,7,Pass,345.8333333333333
Pass,7,Pass,350.0
Pass,7,Pass,354.16666666666663
neutral,0,94.51283812522888,358.3333333333333
neutral,0,72.82909154891968,362.5
neutral,0,54.860323667526245,366.66666666666663
neutral,0,82.05064428154495,370.8333333333333
neutral,0,89.68037366867065,375.0
neutral,0,67.21089482307434,379.16666666666663
neutral,0,75.28194189071655,383.3333333333333
neutral,0,53.22873592376709,387.5
neutral,0,76.061604980326,391.66666666666663
sad,2,62.0974063873291,395.8333333333333
neutral,0,47.25169241428375,400.0
neutral,0,55.058908462524414,404.16666666666663
Pass,7,Pass,408.3333333333333
Pass,7,Pass,412.5
neutral,0,52.76065435878583,416.66666666666663
sad,2,51.44082614426769,420.8333333333333
sad,2,82.16961622238159,425.0
neutral,0,74.92848038673401,429.16666666666663
neutral,0,78.07754278182983,433.3333333333333
neutral,0,72.5163459777832,437.5
neutral,0,69.01814937591553,441.66666666666663
neutral,0,99.96198415756226,445.8333333333333
Pass,7,Pass,450.0
Pass,7,Pass,454.16666666666663
neutral,0,99.5915651077965,458.3333333333333
sad,2,82.07362294197083,462.5
Pass,7,Pass,466.66666666666663
Pass,7,Pass,470.8333333333333
neutral,0,61.30985617637634,475.0
Pass,7,Pass,479.16666666666663
Pass,7,Pass,483.3333333333333
sad,2,54.809582233428955,487.5
Pass,7,Pass,491.66666666666663
neutral,0,95.71572516654284,495.8333333333333
neutral,0,96.4640078821187,500.0
Pass,7,Pass,504.16666666666663
neutral,0,65.26392698287964,508.3333333333333
neutral,0,67.81083345413208,512.5
neutral,0,93.32159717807752,516.6666666666666
neutral,0,76.29048541670863,520.8333333333333
neutral,0,89.594309901852,525.0
neutral,0,96.64426445960999,529.1666666666666
neutral,0,99.95371103286743,533.3333333333333
neutral,0,99.85174536705017,537.5
neutral,0,99.9204933643341,541.6666666666666
sad,2,90.99790453910828,545.8333333333333
sad,2,97.31414302075761,550.0
sad,2,97.9990123509772,554.1666666666666
neutral,0,53.606998920440674,558.3333333333333
sad,2,98.40996265411377,562.5
sad,2,96.24757766723633,566.6666666666666
sad,2,92.38097622281171,570.8333333333333
sad,2,93.28134139998657,575.0
sad,2,57.58689045906067,579.1666666666666
sad,2,69.22856569290161,583.3333333333333
sad,2,92.15096784537839,587.5
sad,2,87.0635703726327,591.6666666666666
sad,2,91.92633628845215,595.8333333333333
sad,2,96.42561674118042,600.0
sad,2,93.64248514175415,604.1666666666666
sad,2,97.9848563671112,608.3333333333333
sad,2,99.18484086900001,612.5
sad,2,92.11963321204581,616.6666666666666
neutral,0,90.53483009338379,620.8333333333333
neutral,0,87.98196315765381,625.0
neutral,0,81.68511390686035,629.1666666666666
Pass,7,Pass,633.3333333333333
sad,2,88.33426833152771,637.5
Pass,7,Pass,641.6666666666666
neutral,0,94.99167799949646,645.8333333333333
neutral,0,92.51135676963845,650.0
neutral,0,81.48772010133982,654.1666666666666
sad,2,96.47112488746643,658.3333333333333
sad,2,74.84352588653564,662.5
sad,2,82.30492857753379,666.6666666666666
sad,2,74.25170540809631,670.8333333333333
neutral,0,78.69800925254822,675.0
neutral,0,52.60176658630371,679.1666666666666
neutral,0,99.79539512368412,683.3333333333333
neutral,0,94.62633728981018,687.5
neutral,0,99.82252717018127,691.6666666666666
neutral,0,99.90130662918091,695.8333333333333
sad,2,52.84847583192875,700.0
sad,2,74.27597488617748,704.1666666666666
sad,2,61.828964948654175,708.3333333333333
sad,2,97.37019570229104,712.5
sad,2,93.16529550138658,716.6666666666666
sad,2,58.44988822937012,720.8333333333333
neutral,0,99.58246946334839,725.0
sad,2,85.8879566192627,729.1666666666666
neutral,0,99.16819939992435,733.3333333333333
neutral,0,84.04569029808044,737.5
neutral,0,77.01229453086853,741.6666666666666
