Datetime,emotion
2021-03-20T11:23:00.965715,neutral
2021-03-20T11:23:09.489752,sad
2021-03-20T11:23:22.331772,sad
2021-03-20T11:23:30.553029,sad
2021-03-20T11:23:38.766143,sad
2021-03-20T11:23:46.658393,sad
2021-03-20T11:23:55.150833,sad
2021-03-20T11:24:03.482612,sad
2021-03-20T11:24:11.657494,sad
2021-03-20T11:24:19.854148,sad
2021-03-20T11:24:28.074302,sad
2021-03-20T11:24:36.415608,sad
2021-03-20T11:24:44.445014,sad
2021-03-20T11:24:52.605318,sad
2021-03-20T11:25:00.786149,sad
2021-03-20T11:25:08.824408,sad
2021-03-20T11:25:17.149244,sad
2021-03-20T11:25:25.440057,sad
2021-03-20T11:25:33.627914,sad
2021-03-20T11:25:41.856164,sad
2021-03-20T11:25:50.047629,sad
2021-03-20T11:25:58.302808,sad
2021-03-20T11:26:10.892044,sad
2021-03-20T11:26:19.107447,sad
2021-03-20T11:26:27.359848,sad
2021-03-20T11:26:35.652315,sad
2021-03-20T11:26:44.014131,sad
2021-03-20T11:26:52.255958,sad
2021-03-20T11:27:00.539029,sad
2021-03-20T11:27:08.760458,sad
2021-03-20T11:27:16.829976,sad
2021-03-20T11:27:30.617584,neutral
2021-03-20T11:27:38.991133,fear
2021-03-20T11:27:47.036912,sad
2021-03-20T11:27:55.059498,sad
2021-03-20T11:28:03.134857,fear
2021-03-20T11:28:11.131165,happy
2021-03-20T11:28:19.140527,sad
2021-03-20T11:28:27.241795,sad
2021-03-20T11:28:35.317574,angry
2021-03-20T11:28:43.509946,sad
2021-03-20T11:28:51.523928,angry
2021-03-20T11:28:59.649316,neutral
2021-03-20T11:29:07.691926,sad
2021-03-20T11:29:15.751724,happy
2021-03-20T11:29:24.011296,neutral
2021-03-20T11:29:32.093767,sad
2021-03-20T11:29:40.104607,angry
2021-03-20T11:29:48.377209,fear
2021-03-20T11:29:56.693119,fear
2021-03-20T11:30:04.887431,angry
2021-03-20T11:30:13.204456,fear
2021-03-20T11:30:21.413608,fear
2021-03-20T11:30:29.441261,angry
2021-03-20T11:30:37.410480,neutral
2021-03-20T11:30:45.601784,sad
2021-03-20T11:30:53.667090,sad
2021-03-20T11:31:01.736493,sad
2021-03-20T11:31:09.730106,sad
2021-03-20T11:31:17.807147,sad
2021-03-20T11:31:25.923924,sad
2021-03-20T11:31:33.812631,fear
2021-03-20T11:31:41.667148,sad
2021-03-20T11:31:49.469385,sad
2021-03-20T11:31:57.297696,sad
2021-03-20T11:32:05.159217,angry
2021-03-20T11:32:18.025824,sad
2021-03-20T11:32:25.992242,angry
2021-03-20T11:32:34.114197,sad
2021-03-20T11:32:42.043257,angry
2021-03-20T11:32:49.983710,surprise
2021-03-20T11:32:57.836956,angry
2021-03-20T11:33:05.749706,happy
2021-03-20T11:33:13.673500,happy
2021-03-20T11:33:21.623623,sad
2021-03-20T11:33:29.781328,sad
2021-03-20T11:33:37.677368,neutral
2021-03-20T11:33:45.586846,sad
2021-03-20T11:33:53.648031,angry
2021-03-20T11:34:01.537095,angry
2021-03-20T11:34:09.594483,fear
2021-03-20T11:34:17.551564,sad
2021-03-20T11:34:25.530255,happy
2021-03-20T11:34:37.850148,happy
2021-03-20T11:34:45.789540,sad
2021-03-20T11:34:53.841347,neutral
2021-03-20T11:35:01.766123,neutral
2021-03-20T11:35:09.688764,sad
2021-03-20T11:35:17.852237,fear
2021-03-20T11:35:25.757970,happy
2021-03-20T11:35:33.819499,fear
2021-03-20T11:35:41.615847,fear
2021-03-20T11:35:49.616828,happy
2021-03-20T11:35:57.597846,neutral
2021-03-20T11:36:05.544745,angry
2021-03-20T11:36:13.612046,sad
2021-03-20T11:36:21.573581,angry
2021-03-20T11:36:29.599936,fear
2021-03-20T11:36:37.624526,happy
2021-03-20T11:36:45.662505,fear
2021-03-20T11:36:53.819545,sad
2021-03-20T11:37:03.540253,happy
2021-03-20T11:37:11.470443,neutral
2021-03-20T11:37:19.366344,angry
2021-03-20T11:37:27.302583,sad
2021-03-20T11:37:35.394359,neutral
2021-03-20T11:37:43.581413,sad
2021-03-20T11:37:51.587695,happy
2021-03-20T11:37:59.535895,neutral
2021-03-20T11:38:07.754481,neutral
2021-03-20T11:38:15.916742,sad
2021-03-20T11:38:23.831592,sad
2021-03-20T11:38:31.758517,sad
