Datetime,emotion
2021-03-23T10:07:21.627274,happy
2021-03-23T10:07:29.966344,neutral
2021-03-23T10:07:37.976116,sad
2021-03-23T10:07:45.962105,sad
2021-03-23T10:07:53.902661,sad
2021-03-23T10:08:02.085097,angry
2021-03-23T10:08:10.176033,sad
2021-03-23T10:08:18.147723,neutral
2021-03-23T10:08:26.115877,sad
2021-03-23T10:08:34.032495,sad
2021-03-23T10:08:42.001343,angry
2021-03-23T10:08:49.917986,sad
2021-03-23T10:08:57.961597,fear
2021-03-23T10:09:06.018106,fear
2021-03-23T10:09:13.957095,sad
2021-03-23T10:09:22.126810,happy
2021-03-23T10:09:30.173144,fear
2021-03-23T10:09:38.280132,sad
2021-03-23T10:09:46.271861,neutral
2021-03-23T10:09:54.220662,sad
2021-03-23T10:10:02.157995,sad
2021-03-23T10:10:10.112792,sad
2021-03-23T10:10:18.205090,fear
2021-03-23T10:10:26.125871,sad
2021-03-23T10:10:34.121454,neutral
2021-03-23T10:10:42.068499,sad
2021-03-23T10:10:50.000188,sad
2021-03-23T10:10:58.096116,sad
2021-03-23T10:11:06.040848,sad
2021-03-23T10:11:14.019158,fear
2021-03-23T10:11:21.966595,sad
2021-03-23T10:11:29.968301,sad
2021-03-23T10:11:38.008196,sad
2021-03-23T10:11:46.136567,fear
2021-03-23T10:11:54.326340,sad
2021-03-23T10:12:02.251413,neutral
2021-03-23T10:12:10.427244,fear
2021-03-23T10:12:18.516371,fear
2021-03-23T10:12:26.468898,sad
2021-03-23T10:12:34.441112,fear
2021-03-23T10:12:42.459819,neutral
2021-03-23T10:12:50.420145,sad
2021-03-23T10:12:58.497888,fear
2021-03-23T10:13:06.444591,sad
2021-03-23T10:13:14.410755,sad
2021-03-23T10:13:22.363239,happy
2021-03-23T10:13:30.306233,fear
2021-03-23T10:13:38.462190,neutral
2021-03-23T10:13:46.418951,sad
2021-03-23T10:13:54.373432,sad
2021-03-23T10:14:02.365183,sad
2021-03-23T10:14:10.313870,sad
2021-03-23T10:14:18.399181,sad
2021-03-23T10:14:26.305974,sad
2021-03-23T10:14:34.497570,surprise
2021-03-23T10:14:42.428661,sad
2021-03-23T10:14:50.409210,sad
2021-03-23T10:14:58.532889,sad
2021-03-23T10:15:06.485235,neutral
2021-03-23T10:15:14.469215,sad
2021-03-23T10:15:22.416765,sad
2021-03-23T10:15:30.390058,fear
2021-03-23T10:15:38.452742,angry
2021-03-23T10:15:46.431646,sad
2021-03-23T10:15:54.300404,sad
2021-03-23T10:16:02.277109,fear
2021-03-23T10:16:10.190983,fear
2021-03-23T10:16:18.229065,fear
2021-03-23T10:16:26.177828,sad
2021-03-23T10:16:34.137519,fear
2021-03-23T10:16:42.110260,sad
2021-03-23T10:16:50.087693,fear
2021-03-23T10:16:58.211247,neutral
2021-03-23T10:17:06.126812,fear
2021-03-23T10:17:14.074865,fear
2021-03-23T10:17:22.033366,fear
2021-03-23T10:17:30.202083,fear
2021-03-23T10:17:38.247612,sad
2021-03-23T10:17:46.070214,fear
2021-03-23T10:17:53.990290,fear
2021-03-23T10:18:02.168661,sad
2021-03-23T10:18:10.139142,sad
2021-03-23T10:18:18.173731,sad
2021-03-23T10:18:26.106860,fear
2021-03-23T10:18:34.024440,fear
2021-03-23T10:18:42.020057,neutral
2021-03-23T10:18:49.950947,fear
2021-03-23T10:18:58.130249,fear
2021-03-23T10:19:06.083250,fear
2021-03-23T10:19:14.117956,neutral
2021-03-23T10:19:22.027301,fear
2021-03-23T10:19:30.009440,neutral
2021-03-23T10:19:38.058139,sad
2021-03-23T10:19:45.942789,neutral
2021-03-23T10:19:53.663149,fear
2021-03-23T10:20:01.363391,fear
2021-03-23T10:20:09.308786,fear
2021-03-23T10:20:17.400996,sad
2021-03-23T10:20:25.382922,neutral
2021-03-23T10:20:33.392023,neutral
2021-03-23T10:20:41.332129,sad
2021-03-23T10:20:49.268286,neutral
2021-03-23T10:20:57.391984,sad
2021-03-23T10:21:05.324830,sad
2021-03-23T10:21:13.252936,sad
2021-03-23T10:21:21.204147,sad
2021-03-23T10:21:29.140417,sad
2021-03-23T10:21:37.282638,neutral
2021-03-23T10:21:45.259806,angry
2021-03-23T10:21:53.218760,sad
2021-03-23T10:22:01.154624,sad
2021-03-23T10:22:09.128865,sad
2021-03-23T10:22:17.439397,fear
2021-03-23T10:22:25.733518,neutral
2021-03-23T10:22:33.751383,fear
2021-03-23T10:22:41.667448,sad
2021-03-23T10:22:49.694429,sad
2021-03-23T10:22:57.884918,sad
2021-03-23T10:23:05.854014,sad
2021-03-23T10:23:13.870036,neutral
2021-03-23T10:23:21.938669,happy
2021-03-23T10:23:30.029122,sad
2021-03-23T10:23:38.079395,neutral
2021-03-23T10:23:46.020502,angry
2021-03-23T10:23:53.926803,sad
2021-03-23T10:24:01.834236,sad
2021-03-23T10:24:09.793442,sad
2021-03-23T10:24:17.911764,sad
2021-03-23T10:24:25.866671,sad
2021-03-23T10:24:33.795368,neutral
2021-03-23T10:24:41.741984,sad
2021-03-23T10:24:49.641944,angry
2021-03-23T10:24:57.704202,neutral
2021-03-23T10:25:05.667894,sad
2021-03-23T10:25:13.655292,sad
2021-03-23T10:25:21.594318,sad
2021-03-23T10:25:29.436665,sad
2021-03-23T10:25:37.442488,fear
2021-03-23T10:25:45.378896,sad
2021-03-23T10:25:53.303358,sad
2021-03-23T10:26:01.500209,sad
2021-03-23T10:26:09.438976,neutral
2021-03-23T10:26:17.493419,neutral
2021-03-23T10:26:25.477682,sad
2021-03-23T10:26:33.421161,neutral
2021-03-23T10:26:41.364477,sad
2021-03-23T10:26:49.334418,neutral
2021-03-23T10:26:57.396252,sad
2021-03-23T10:27:05.305409,fear
2021-03-23T10:27:13.270036,neutral
2021-03-23T10:27:21.462280,fear
2021-03-23T10:27:29.386464,angry
2021-03-23T10:27:37.482429,fear
2021-03-23T10:27:45.483272,sad
2021-03-23T10:27:53.428967,sad
2021-03-23T10:28:01.386548,happy
2021-03-23T10:28:09.345250,sad
2021-03-23T10:28:17.613985,fear
2021-03-23T10:28:25.562112,sad
2021-03-23T10:28:33.433345,sad
2021-03-23T10:28:41.376283,sad
2021-03-23T10:28:49.374421,fear
2021-03-23T10:28:57.518899,sad
2021-03-23T10:29:05.392061,sad
2021-03-23T10:29:13.346143,sad
2021-03-23T10:29:21.300876,sad
2021-03-23T10:29:29.249406,sad
2021-03-23T10:29:37.570076,neutral
2021-03-23T10:29:45.529607,fear
2021-03-23T10:29:53.478451,sad
2021-03-23T10:30:01.413099,fear
2021-03-23T10:30:09.380553,sad
2021-03-23T10:30:17.479531,sad
2021-03-23T10:30:25.415494,sad
2021-03-23T10:30:33.620169,fear
2021-03-23T10:30:41.821228,fear
2021-03-23T10:30:49.717213,sad
2021-03-23T10:30:57.747403,sad
2021-03-23T10:31:05.671914,sad
2021-03-23T10:31:13.626249,sad
2021-03-23T10:31:21.631264,angry
2021-03-23T10:31:29.570435,sad
2021-03-23T10:31:37.633930,neutral
2021-03-23T10:31:45.585833,angry
2021-03-23T10:31:53.559056,happy
2021-03-23T10:32:01.509338,neutral
2021-03-23T10:32:09.510562,sad
2021-03-23T10:32:17.594448,sad
2021-03-23T10:32:25.478820,neutral
2021-03-23T10:32:33.424811,sad
2021-03-23T10:32:41.592053,fear
2021-03-23T10:32:49.744007,fear
2021-03-23T10:32:57.777520,sad
2021-03-23T10:33:05.671253,neutral
2021-03-23T10:33:13.833057,sad
2021-03-23T10:33:21.795751,sad
2021-03-23T10:33:29.714666,sad
2021-03-23T10:33:37.696167,sad
2021-03-23T10:33:45.617211,sad
2021-03-23T10:33:53.552700,sad
2021-03-23T10:34:01.495749,sad
2021-03-23T10:34:09.564991,sad
2021-03-23T10:34:17.508023,sad
2021-03-23T10:34:25.431066,sad
2021-03-23T10:34:33.395625,neutral
2021-03-23T10:34:41.351570,sad
2021-03-23T10:34:49.287916,neutral
2021-03-23T10:34:57.387046,angry
2021-03-23T10:35:05.369081,neutral
2021-03-23T10:35:13.285396,sad
2021-03-23T10:35:21.234192,neutral
2021-03-23T10:35:29.400698,fear
2021-03-23T10:35:37.346287,sad
2021-03-23T10:35:45.485071,happy
2021-03-23T10:35:53.426958,sad
2021-03-23T10:36:01.372417,sad
2021-03-23T10:36:09.673177,fear
2021-03-23T10:36:17.884142,fear
2021-03-23T10:36:26.051065,happy
2021-03-23T10:36:34.250312,sad
2021-03-23T10:36:42.240753,sad
2021-03-23T10:36:50.292340,sad
2021-03-23T10:36:58.242658,sad
2021-03-23T10:37:06.244828,sad
2021-03-23T10:37:14.225167,sad
2021-03-23T10:37:22.218448,sad
2021-03-23T10:37:30.353680,neutral
2021-03-23T10:37:38.288331,sad
2021-03-23T10:37:46.484333,fear
2021-03-23T10:37:54.390107,neutral
2021-03-23T10:38:02.333601,sad
2021-03-23T10:38:10.640518,happy
2021-03-23T10:38:18.861437,fear
2021-03-23T10:38:26.832905,sad
2021-03-23T10:38:34.852396,sad
2021-03-23T10:38:42.808153,sad
2021-03-23T10:38:50.919178,sad
2021-03-23T10:38:58.866739,sad
2021-03-23T10:39:06.864320,fear
2021-03-23T10:39:14.848328,neutral
2021-03-23T10:39:22.810872,sad
2021-03-23T10:39:30.905576,sad
2021-03-23T10:39:38.923765,sad
2021-03-23T10:39:46.883199,sad
2021-03-23T10:39:55.115374,fear
2021-03-23T10:40:02.936098,neutral
2021-03-23T10:40:11.080744,sad
2021-03-23T10:40:19.019366,angry
2021-03-23T10:40:27.208854,happy
2021-03-23T10:40:35.206065,sad
2021-03-23T10:40:43.274165,fear
2021-03-23T10:40:51.330376,sad
2021-03-23T10:40:59.305750,sad
2021-03-23T10:41:07.274151,sad
2021-03-23T10:41:15.297235,neutral
2021-03-23T10:41:23.271132,sad
2021-03-23T10:41:31.334894,sad
2021-03-23T10:41:39.549759,fear
2021-03-23T10:41:47.794030,fear
2021-03-23T10:41:55.700102,sad
2021-03-23T10:42:03.659468,happy
2021-03-23T10:42:12.037116,happy
2021-03-23T10:42:19.858055,happy
2021-03-23T10:42:27.825299,sad
2021-03-23T10:42:35.781299,neutral
2021-03-23T10:42:43.674521,sad
2021-03-23T10:42:51.716770,fear
2021-03-23T10:42:59.729531,fear
2021-03-23T10:43:07.693553,sad
2021-03-23T10:43:15.768873,angry
2021-03-23T10:43:23.779452,neutral
2021-03-23T10:43:32.114155,sad
2021-03-23T10:43:40.328690,sad
2021-03-23T10:43:48.234498,sad
2021-03-23T10:43:56.159232,sad
2021-03-23T10:44:04.369391,sad
2021-03-23T10:44:12.673207,fear
2021-03-23T10:44:20.595982,sad
2021-03-23T10:44:28.742438,sad
2021-03-23T10:44:36.694819,fear
2021-03-23T10:44:44.909050,fear
2021-03-23T10:44:53.198277,neutral
2021-03-23T10:45:01.146506,sad
2021-03-23T10:45:09.137094,neutral
2021-03-23T10:45:17.125294,fear
2021-03-23T10:45:25.069572,sad
2021-03-23T10:45:33.144471,sad
2021-03-23T10:45:41.106127,neutral
2021-03-23T10:45:49.340921,sad
2021-03-23T10:45:57.314461,sad
2021-03-23T10:46:05.532381,fear
2021-03-23T10:46:13.620852,sad
2021-03-23T10:46:21.607679,sad
2021-03-23T10:46:29.745359,angry
2021-03-23T10:46:37.937404,fear
2021-03-23T10:46:45.943280,neutral
2021-03-23T10:46:54.049179,sad
2021-03-23T10:47:02.009405,sad
2021-03-23T10:47:10.000534,sad
2021-03-23T10:47:17.985379,sad
2021-03-23T10:47:25.985914,sad
2021-03-23T10:47:34.090583,fear
2021-03-23T10:47:42.035100,neutral
2021-03-23T10:47:49.955164,sad
2021-03-23T10:47:57.977734,sad
2021-03-23T10:48:05.924447,fear
2021-03-23T10:48:14.015801,fear
2021-03-23T10:48:21.970474,fear
2021-03-23T10:48:30.112736,fear
2021-03-23T10:48:38.100649,happy
2021-03-23T10:48:46.129710,sad
2021-03-23T10:48:54.215958,sad
