EmotionDetected,EmotionNumber,Percentage,Second
neutral,0,53.65630388259888,0.0
neutral,0,48.868224024772644,4.166666666666666
neutral,0,98.83982539176941,8.333333333333332
fear,4,78.83284091949463,12.5
neutral,0,34.55019203127575,16.666666666666664
Pass,7,Pass,20.833333333333332
neutral,0,83.01827806343306,25.0
neutral,0,80.96534609794617,29.166666666666664
neutral,0,97.88460731506348,33.33333333333333
Pass,7,Pass,37.5
angry,6,36.16274297237396,41.666666666666664
neutral,0,97.30075581674312,45.83333333333333
neutral,0,60.71134805679321,50.0
neutral,0,83.08142322787185,54.166666666666664
neutral,0,99.49977990983605,58.33333333333333
neutral,0,99.5867133140564,62.5
neutral,0,63.22839856147766,66.66666666666666
neutral,0,80.82136511802673,70.83333333333333
neutral,0,98.30667962471722,75.0
neutral,0,99.24534554751787,79.16666666666666
neutral,0,99.14602041244507,83.33333333333333
sad,2,46.18059351212901,87.5
Pass,7,Pass,91.66666666666666
neutral,0,51.57068967819214,95.83333333333333
neutral,0,80.52821639348366,100.0
sad,2,40.733882784843445,104.16666666666666
sad,2,48.1279194355011,108.33333333333333
neutral,0,95.32305598258972,112.5
neutral,0,87.00112700462341,116.66666666666666
neutral,0,99.07622331835171,120.83333333333333
neutral,0,99.59754941448864,125.0
neutral,0,95.83064913749695,129.16666666666666
neutral,0,80.77728037698748,133.33333333333331
neutral,0,81.08855485916138,137.5
sad,2,78.83959664826433,141.66666666666666
neutral,0,98.37778806686401,145.83333333333331
sad,2,54.54273819923401,150.0
neutral,0,78.47583889961243,154.16666666666666
Pass,7,Pass,158.33333333333331
Pass,7,Pass,162.5
neutral,0,61.81529760360718,166.66666666666666
angry,6,71.68751955032349,170.83333333333331
sad,2,99.8056411743164,175.0
neutral,0,95.5198884010315,179.16666666666666
neutral,0,98.95769357681274,183.33333333333331
sad,2,96.37028553308758,187.5
sad,2,96.81356549263,191.66666666666666
Pass,7,Pass,195.83333333333331
Pass,7,Pass,200.0
Pass,7,Pass,204.16666666666666
Pass,7,Pass,208.33333333333331
Pass,7,Pass,212.5
Pass,7,Pass,216.66666666666666
Pass,7,Pass,220.83333333333331
Pass,7,Pass,225.0
Pass,7,Pass,229.16666666666666
Pass,7,Pass,233.33333333333331
fear,4,74.42936744864986,237.5
Pass,7,Pass,241.66666666666666
neutral,0,68.76577734947205,245.83333333333331
sad,2,74.14133394606912,250.0
neutral,0,91.51299545246336,254.16666666666666
sad,2,49.128165737171855,258.3333333333333
neutral,0,60.256314277648926,262.5
sad,2,84.85671462336605,266.66666666666663
sad,2,91.84743117376752,270.8333333333333
sad,2,75.21281242370605,275.0
neutral,0,98.77308011054993,279.16666666666663
neutral,0,99.54699277877808,283.3333333333333
neutral,0,99.69191551208496,287.5
neutral,0,99.17804598808289,291.66666666666663
angry,6,35.9270832495143,295.8333333333333
neutral,0,81.7916750907898,300.0
sad,2,72.20430374145508,304.16666666666663
neutral,0,78.7373423576355,308.3333333333333
neutral,0,95.74898481369019,312.5
sad,2,98.12805641460756,316.66666666666663
neutral,0,95.27636766433716,320.8333333333333
neutral,0,96.13564610481262,325.0
sad,2,87.74559497833252,329.16666666666663
neutral,0,96.51014804840088,333.3333333333333
sad,2,65.08965880213134,337.5
sad,2,86.21902034055944,341.66666666666663
sad,2,90.84215273354617,345.8333333333333
sad,2,98.6674843630176,350.0
sad,2,98.21324933846292,354.16666666666663
neutral,0,92.7290678024292,358.3333333333333
Pass,7,Pass,362.5
Pass,7,Pass,366.66666666666663
Pass,7,Pass,370.8333333333333
sad,2,90.80723524093628,375.0
neutral,0,64.43318724632263,379.16666666666663
neutral,0,65.86132645606995,383.3333333333333
neutral,0,52.421021461486816,387.5
sad,2,50.93187678672352,391.66666666666663
sad,2,83.11219811439514,395.8333333333333
sad,2,52.76842713356018,400.0
Pass,7,Pass,404.16666666666663
Pass,7,Pass,408.3333333333333
sad,2,88.38921923765906,412.5
neutral,0,74.91868734359741,416.66666666666663
neutral,0,80.35088181495667,420.8333333333333
neutral,0,54.637330770492554,425.0
sad,2,53.65292429924011,429.16666666666663
neutral,0,74.71893429756165,433.3333333333333
neutral,0,72.84972071647644,437.5
sad,2,78.98224466933279,441.66666666666663
sad,2,90.72661995887756,445.8333333333333
Pass,7,Pass,450.0
sad,2,56.110262870788574,454.16666666666663
neutral,0,55.381059646606445,458.3333333333333
sad,2,55.62868118286133,462.5
neutral,0,67.99224615097046,466.66666666666663
neutral,0,78.62827777862549,470.8333333333333
sad,2,74.6876269206556,475.0
neutral,0,68.67121867365948,479.16666666666663
neutral,0,47.46766418604086,483.3333333333333
sad,2,52.89415717124939,487.5
sad,2,96.23200342273671,491.66666666666663
neutral,0,52.77056097984314,495.8333333333333
sad,2,65.04819393157959,500.0
sad,2,56.00026845932007,504.16666666666663
Pass,7,Pass,508.3333333333333
fear,4,82.71942734718323,512.5
sad,2,85.26848554611206,516.6666666666666
