EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
Pass,7,Pass,4.166666666666666
fear,4,44.08577049289766,8.333333333333332
sad,2,64.9822473526001,12.5
neutral,0,94.61451172828674,16.666666666666664
fear,4,56.80609941482544,20.833333333333332
neutral,0,98.63001704216003,25.0
fear,4,53.62985134124756,29.166666666666664
neutral,0,94.01135444641113,33.33333333333333
Pass,7,Pass,37.5
sad,2,82.82642364501953,41.666666666666664
Pass,7,Pass,45.83333333333333
Pass,7,Pass,50.0
Pass,7,Pass,54.166666666666664
neutral,0,45.71499228477478,58.33333333333333
Pass,7,Pass,62.5
neutral,0,99.90954400187206,66.66666666666666
neutral,0,97.2372055053711,70.83333333333333
neutral,0,97.78727875872127,75.0
Pass,7,Pass,79.16666666666666
Pass,7,Pass,83.33333333333333
Pass,7,Pass,87.5
Pass,7,Pass,91.66666666666666
Pass,7,Pass,95.83333333333333
Pass,7,Pass,100.0
Pass,7,Pass,104.16666666666666
Pass,7,Pass,108.33333333333333
Pass,7,Pass,112.5
neutral,0,99.79556801371956,116.66666666666666
neutral,0,98.85802865028381,120.83333333333333
neutral,0,99.79751108869976,125.0
sad,2,27.578890323638916,129.16666666666666
surprise,1,69.76022955897207,133.33333333333331
neutral,0,98.4205602658129,137.5
neutral,0,99.86808896064758,141.66666666666666
neutral,0,99.97207522392273,145.83333333333331
neutral,0,99.99231100082397,150.0
neutral,0,98.54111671447754,154.16666666666666
neutral,0,99.73798394203186,158.33333333333331
neutral,0,97.54301905632019,162.5
Pass,7,Pass,166.66666666666666
neutral,0,58.88908505439758,170.83333333333331
surprise,1,99.17717576026917,175.0
Pass,7,Pass,179.16666666666666
Pass,7,Pass,183.33333333333331
Pass,7,Pass,187.5
neutral,0,97.69150600978767,191.66666666666666
neutral,0,98.78202676773071,195.83333333333331
neutral,0,99.6215283870697,200.0
neutral,0,85.53171753883362,204.16666666666666
Pass,7,Pass,208.33333333333331
Pass,7,Pass,212.5
Pass,7,Pass,216.66666666666666
Pass,7,Pass,220.83333333333331
neutral,0,75.37066789690661,225.0
neutral,0,90.59823863527315,229.16666666666666
neutral,0,79.74569201469421,233.33333333333331
Pass,7,Pass,237.5
neutral,0,96.93456888198853,241.66666666666666
neutral,0,71.30820751190186,245.83333333333331
neutral,0,95.88514566421509,250.0
neutral,0,98.491770029068,254.16666666666666
