EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
Pass,7,Pass,4.166666666666666
Pass,7,Pass,8.333333333333332
Pass,7,Pass,12.5
Pass,7,Pass,16.666666666666664
neutral,0,47.73915708065033,20.833333333333332
happy,3,75.94251036643982,25.0
neutral,0,95.46390744828626,29.166666666666664
neutral,0,88.09027671813965,33.33333333333333
fear,4,62.26659417152405,37.5
sad,2,98.40461015701294,41.666666666666664
neutral,0,90.16321897506714,45.83333333333333
neutral,0,60.863304138183594,50.0
sad,2,84.09576416015625,54.166666666666664
neutral,0,74.25572276115417,58.33333333333333
sad,2,52.11818218231201,62.5
sad,2,86.7996767998127,66.66666666666666
sad,2,56.44420385360718,70.83333333333333
neutral,0,43.75671148300171,75.0
angry,6,40.92654287815094,79.16666666666666
neutral,0,68.77173781394958,83.33333333333333
sad,2,46.50241732597351,87.5
neutral,0,64.55498933792114,91.66666666666666
neutral,0,49.12857115268707,95.83333333333333
neutral,0,77.1868348121643,100.0
neutral,0,70.56610584259033,104.16666666666666
Pass,7,Pass,108.33333333333333
Pass,7,Pass,112.5
Pass,7,Pass,116.66666666666666
surprise,1,95.54857611656189,120.83333333333333
sad,2,77.18344194790375,125.0
Pass,7,Pass,129.16666666666666
Pass,7,Pass,133.33333333333331
Pass,7,Pass,137.5
fear,4,62.297362089157104,141.66666666666666
sad,2,78.0795156955719,145.83333333333331
fear,4,57.149979898332354,150.0
Pass,7,Pass,154.16666666666666
Pass,7,Pass,158.33333333333331
Pass,7,Pass,162.5
sad,2,55.39572834968567,166.66666666666666
Pass,7,Pass,170.83333333333331
sad,2,97.68897322547755,175.0
neutral,0,42.88312792778015,179.16666666666666
neutral,0,48.98490601688063,183.33333333333331
sad,2,47.54898279321399,187.5
Pass,7,Pass,191.66666666666666
Pass,7,Pass,195.83333333333331
Pass,7,Pass,200.0
neutral,0,75.26506781578064,204.16666666666666
fear,4,64.0038251876831,208.33333333333331
Pass,7,Pass,212.5
Pass,7,Pass,216.66666666666666
neutral,0,76.77103281021118,220.83333333333331
Pass,7,Pass,225.0
Pass,7,Pass,229.16666666666666
Pass,7,Pass,233.33333333333331
Pass,7,Pass,237.5
sad,2,83.07645916938782,241.66666666666666
Pass,7,Pass,245.83333333333331
Pass,7,Pass,250.0
sad,2,82.03103542327881,254.16666666666666
Pass,7,Pass,258.3333333333333
