EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
Pass,7,Pass,4.166666666666666
Pass,7,Pass,8.333333333333332
Pass,7,Pass,12.5
Pass,7,Pass,16.666666666666664
Pass,7,Pass,20.833333333333332
Pass,7,Pass,25.0
Pass,7,Pass,29.166666666666664
Pass,7,Pass,33.33333333333333
Pass,7,Pass,37.5
Pass,7,Pass,41.666666666666664
Pass,7,Pass,45.83333333333333
Pass,7,Pass,50.0
Pass,7,Pass,54.166666666666664
Pass,7,Pass,58.33333333333333
Pass,7,Pass,62.5
Pass,7,Pass,66.66666666666666
Pass,7,Pass,70.83333333333333
Pass,7,Pass,75.0
Pass,7,Pass,79.16666666666666
neutral,0,90.91959541556808,83.33333333333333
neutral,0,84.76116061210632,87.5
neutral,0,88.28476597575938,91.66666666666666
sad,2,51.33218475176005,95.83333333333333
sad,2,46.26687467098236,100.0
neutral,0,85.94825780083285,104.16666666666666
Pass,7,Pass,108.33333333333333
Pass,7,Pass,112.5
neutral,0,96.74514532089233,116.66666666666666
neutral,0,96.02530002593994,120.83333333333333
neutral,0,81.38279803888786,125.0
neutral,0,52.54397392272949,129.16666666666666
neutral,0,93.32529902458191,133.33333333333331
Pass,7,Pass,137.5
neutral,0,87.90463209152222,141.66666666666666
neutral,0,92.30260803118992,145.83333333333331
Pass,7,Pass,150.0
Pass,7,Pass,154.16666666666666
Pass,7,Pass,158.33333333333331
Pass,7,Pass,162.5
neutral,0,94.38091516494751,166.66666666666666
neutral,0,97.36241682543854,170.83333333333331
neutral,0,99.82272982597351,175.0
neutral,0,87.4305784702301,179.16666666666666
neutral,0,70.79653739929199,183.33333333333331
Pass,7,Pass,187.5
neutral,0,48.76547157764435,191.66666666666666
neutral,0,75.89768171310425,195.83333333333331
happy,3,83.44504237174988,200.0
neutral,0,98.55082026426913,204.16666666666666
neutral,0,88.46303751844391,208.33333333333331
neutral,0,86.23541511508317,212.5
neutral,0,92.38601281559544,216.66666666666666
Pass,7,Pass,220.83333333333331
neutral,0,78.85903716087341,225.0
neutral,0,79.95054125785828,229.16666666666666
neutral,0,34.22468900680542,233.33333333333331
neutral,0,92.61001944541931,237.5
neutral,0,66.40485525131226,241.66666666666666
fear,4,49.49518442153931,245.83333333333331
neutral,0,33.02050530910492,250.0
neutral,0,69.736735209032,254.16666666666666
