EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
neutral,0,38.35828900337219,4.166666666666666
neutral,0,52.59630084037781,8.333333333333332
Pass,7,Pass,12.5
Pass,7,Pass,16.666666666666664
Pass,7,Pass,20.833333333333332
fear,4,47.9020028055908,25.0
fear,4,59.24360509178669,29.166666666666664
fear,4,39.605724811553955,33.33333333333333
angry,6,40.674224495887756,37.5
fear,4,58.49079489707947,41.666666666666664
neutral,0,97.88941766149787,45.83333333333333
sad,2,90.82122986443221,50.0
sad,2,99.97252821922302,54.166666666666664
sad,2,97.7596341228267,58.33333333333333
Pass,7,Pass,62.5
Pass,7,Pass,66.66666666666666
neutral,0,58.04175138473511,70.83333333333333
fear,4,61.39904720794592,75.0
angry,6,54.62598204612732,79.16666666666666
fear,4,73.02953875416979,83.33333333333333
fear,4,70.26877226047351,87.5
angry,6,52.19562960837064,91.66666666666666
fear,4,85.80973744392395,95.83333333333333
fear,4,83.73061321560223,100.0
neutral,0,55.72024583816528,104.16666666666666
angry,6,40.15488028526306,108.33333333333333
sad,2,76.73400917839895,112.5
Pass,7,Pass,116.66666666666666
fear,4,36.58521015467765,120.83333333333333
Pass,7,Pass,125.0
Pass,7,Pass,129.16666666666666
sad,2,39.5740270614624,133.33333333333331
Pass,7,Pass,137.5
Pass,7,Pass,141.66666666666666
Pass,7,Pass,145.83333333333331
Pass,7,Pass,150.0
fear,4,72.6023402932096,154.16666666666666
fear,4,60.14912128448486,158.33333333333331
fear,4,63.04663419723511,162.5
fear,4,45.623138546943665,166.66666666666666
fear,4,84.47510004043579,170.83333333333331
fear,4,42.69819259643555,175.0
fear,4,82.27985290048753,179.16666666666666
fear,4,69.68513131141663,183.33333333333331
Pass,7,Pass,187.5
fear,4,68.84786896990948,191.66666666666666
sad,2,78.4857724292007,195.83333333333331
Pass,7,Pass,200.0
Pass,7,Pass,204.16666666666666
fear,4,50.688910484313965,208.33333333333331
fear,4,68.58215110514747,212.5
neutral,0,53.75944972038269,216.66666666666666
neutral,0,99.61295127868652,220.83333333333331
fear,4,76.64557099342346,225.0
fear,4,42.31165945529938,229.16666666666666
Pass,7,Pass,233.33333333333331
sad,2,37.356510004789236,237.5
Pass,7,Pass,241.66666666666666
Pass,7,Pass,245.83333333333331
sad,2,99.56363436958995,250.0
Pass,7,Pass,254.16666666666666
Pass,7,Pass,258.3333333333333
sad,2,91.2582928692277,262.5
Pass,7,Pass,266.66666666666663
angry,6,74.02356266975403,270.8333333333333
Pass,7,Pass,275.0
Pass,7,Pass,279.16666666666663
Pass,7,Pass,283.3333333333333
Pass,7,Pass,287.5
fear,4,85.62462754543157,291.66666666666663
fear,4,72.6406081104641,295.8333333333333
sad,2,39.31407332420349,300.0
fear,4,83.86177920471306,304.16666666666663
angry,6,57.434165477752686,308.3333333333333
fear,4,52.040404081344604,312.5
fear,4,54.58258174346359,316.66666666666663
fear,4,79.91629242897034,320.8333333333333
surprise,1,48.57947519895286,325.0
fear,4,57.56862073318711,329.16666666666663
fear,4,76.87101226276232,333.3333333333333
surprise,1,51.259368507937374,337.5
surprise,1,80.11594414710999,341.66666666666663
surprise,1,81.80228363289139,345.8333333333333
surprise,1,40.712954486960705,350.0
surprise,1,90.6625086463993,354.16666666666663
surprise,1,70.84452932146367,358.3333333333333
Pass,7,Pass,362.5
angry,6,63.06279081480449,366.66666666666663
fear,4,40.445896413677715,370.8333333333333
