EmotionDetected,EmotionNumber,Percentage,Second
sad,2,85.16109585762024,0.0
neutral,0,89.30962085723877,4.166666666666666
sad,2,42.134156823158264,8.333333333333332
neutral,0,96.73944115638733,12.5
neutral,0,87.54575252532959,16.666666666666664
sad,2,56.965482234954834,20.833333333333332
neutral,0,75.51247477531433,25.0
sad,2,48.26371371746063,29.166666666666664
sad,2,68.2894926243718,33.33333333333333
neutral,0,58.575838804244995,37.5
sad,2,59.45340394973755,41.666666666666664
sad,2,63.30667734146118,45.83333333333333
sad,2,56.35122060775757,50.0
happy,3,74.92941320783935,54.166666666666664
fear,4,69.58325323958714,58.33333333333333
neutral,0,58.52355360984802,62.5
neutral,0,89.87582265590564,66.66666666666666
neutral,0,78.58009934425354,70.83333333333333
neutral,0,93.61516909418475,75.0
happy,3,73.91143881746761,79.16666666666666
neutral,0,50.86561441421509,83.33333333333333
happy,3,51.06847869533554,87.5
neutral,0,86.17271780967712,91.66666666666666
neutral,0,96.946781873703,95.83333333333333
neutral,0,95.26227116584778,100.0
neutral,0,72.97588586807251,104.16666666666666
neutral,0,80.77648511213242,108.33333333333333
sad,2,60.21301746368408,112.5
neutral,0,65.25512130589016,116.66666666666666
neutral,0,61.61026954650879,120.83333333333333
sad,2,53.92416072795859,125.0
neutral,0,98.32962155342102,129.16666666666666
neutral,0,79.90427613258362,133.33333333333331
sad,2,50.67423884119027,137.5
sad,2,72.80189232837512,141.66666666666666
sad,2,52.71524505110055,145.83333333333331
neutral,0,53.891050815582275,150.0
neutral,0,97.3401427268982,154.16666666666666
neutral,0,45.2448308467865,158.33333333333331
fear,4,50.466012954711914,162.5
neutral,0,40.78951179981232,166.66666666666666
sad,2,73.68752046674734,170.83333333333331
sad,2,67.3621654510498,175.0
sad,2,66.8250560760498,179.16666666666666
fear,4,42.76865508930027,183.33333333333331
sad,2,41.32881164550781,187.5
sad,2,56.435829401016235,191.66666666666666
neutral,0,66.71162843704224,195.83333333333331
neutral,0,46.615901589393616,200.0
neutral,0,64.3789291381836,204.16666666666666
neutral,0,41.37275414142062,208.33333333333331
neutral,0,58.48712921142578,212.5
neutral,0,37.448397278785706,216.66666666666666
neutral,0,67.22403168678284,220.83333333333331
sad,2,54.15083169937134,225.0
happy,3,52.33104228973389,229.16666666666666
neutral,0,50.605279207229614,233.33333333333331
fear,4,65.68345427513123,237.5
fear,4,60.4602575302124,241.66666666666666
angry,6,50.39276781039046,245.83333333333331
fear,4,33.21580488775998,250.0
neutral,0,55.61867952346802,254.16666666666666
neutral,0,76.48873925209045,258.3333333333333
neutral,0,94.32366490364075,262.5
neutral,0,96.55966203693605,266.66666666666663
neutral,0,87.43483424186707,270.8333333333333
neutral,0,93.07606816291809,275.0
neutral,0,75.64554810523987,279.16666666666663
sad,2,63.59493136405945,283.3333333333333
fear,4,62.367451190948486,287.5
neutral,0,48.168936371803284,291.66666666666663
neutral,0,53.201964688418194,295.8333333333333
angry,6,75.66336087425222,300.0
sad,2,50.54818391799927,304.16666666666663
fear,4,77.91951298713684,308.3333333333333
sad,2,46.24235011591614,312.5
neutral,0,79.1843831539154,316.66666666666663
Pass,7,Pass,320.8333333333333
