Datetime,emotion
2021-04-28T16:18:42.787639,sad
2021-04-28T16:18:51.157195,surprise
2021-04-28T16:18:59.109600,neutral
2021-04-28T16:19:06.963392,neutral
2021-04-28T16:19:14.821065,sad
2021-04-28T16:19:22.721957,sad
2021-04-28T16:19:31.611637,fear
2021-04-28T16:19:39.566446,happy
2021-04-28T16:19:47.471124,sad
2021-04-28T16:19:55.339364,neutral
2021-04-28T16:20:03.218688,fear
2021-04-28T16:20:11.114036,angry
2021-04-28T16:20:19.125586,sad
2021-04-28T16:20:27.014483,angry
2021-04-28T16:20:34.924394,sad
2021-04-28T16:20:42.783490,fear
2021-04-28T16:20:50.699057,sad
2021-04-28T16:20:58.722297,sad
2021-04-28T16:21:06.597356,sad
2021-04-28T16:21:14.458982,neutral
2021-04-28T16:21:22.343275,sad
2021-04-28T16:21:30.227314,neutral
2021-04-28T16:21:38.233567,fear
2021-04-28T16:21:46.160041,sad
2021-04-28T16:21:54.037845,fear
2021-04-28T16:22:01.913974,sad
2021-04-28T16:22:09.817098,fear
2021-04-28T16:22:17.856803,angry
2021-04-28T16:22:25.787603,sad
2021-04-28T16:22:33.661238,neutral
2021-04-28T16:22:41.604556,sad
2021-04-28T16:22:49.495431,sad
2021-04-28T16:22:57.583007,sad
2021-04-28T16:23:05.465687,sad
2021-04-28T16:23:13.349034,sad
2021-04-28T16:23:21.227040,sad
2021-04-28T16:23:29.092880,sad
2021-04-28T16:23:37.034076,fear
2021-04-28T16:23:44.959635,sad
2021-04-28T16:23:52.864058,sad
2021-04-28T16:24:00.742786,sad
2021-04-28T16:24:08.590786,fear
2021-04-28T16:24:16.568897,fear
2021-04-28T16:24:24.516722,sad
2021-04-28T16:24:32.349293,fear
2021-04-28T16:24:40.234265,sad
2021-04-28T16:24:48.074462,fear
2021-04-28T16:24:56.065530,sad
2021-04-28T16:25:03.930844,sad
2021-04-28T16:25:11.823270,sad
2021-04-28T16:25:19.705461,sad
2021-04-28T16:25:27.602042,sad
2021-04-28T16:25:35.615106,sad
2021-04-28T16:25:43.542912,sad
2021-04-28T16:25:51.444208,sad
2021-04-28T16:25:59.339860,sad
2021-04-28T16:26:07.197845,sad
