Datetime,emotion
2021-04-27T13:23:12.687020,neutral
2021-04-27T13:23:20.635108,neutral
2021-04-27T13:23:28.466805,neutral
2021-04-27T13:23:36.226180,neutral
2021-04-27T13:23:44.005822,neutral
2021-04-27T13:23:51.786682,happy
2021-04-27T13:23:59.592977,neutral
2021-04-27T13:24:07.571999,neutral
2021-04-27T13:24:15.353756,happy
2021-04-27T13:24:23.181084,sad
2021-04-27T13:24:30.991944,neutral
2021-04-27T13:24:40.891649,happy
2021-04-27T13:24:49.048374,neutral
2021-04-27T13:24:56.924641,neutral
2021-04-27T13:25:04.699852,neutral
2021-04-27T13:25:12.499055,neutral
2021-04-27T13:25:20.291231,neutral
2021-04-27T13:25:28.165071,neutral
2021-04-27T13:25:35.969941,neutral
2021-04-27T13:25:43.757145,neutral
2021-04-27T13:25:51.548911,neutral
2021-04-27T13:25:59.255376,neutral
2021-04-27T13:26:07.108987,neutral
2021-04-27T13:26:14.892752,neutral
2021-04-27T13:26:22.716408,neutral
2021-04-27T13:26:30.517558,neutral
2021-04-27T13:26:38.283409,neutral
2021-04-27T13:26:46.179507,neutral
2021-04-27T13:26:53.939696,neutral
2021-04-27T13:27:01.708869,neutral
2021-04-27T13:27:09.447292,fear
2021-04-27T13:27:17.225192,neutral
2021-04-27T13:27:25.110351,sad
2021-04-27T13:27:32.845830,sad
2021-04-27T13:27:40.587305,sad
2021-04-27T13:27:48.315977,neutral
2021-04-27T13:27:56.070203,neutral
2021-04-27T13:28:03.916898,neutral
2021-04-27T13:28:11.676091,fear
2021-04-27T13:28:19.393225,neutral
2021-04-27T13:28:27.181985,neutral
2021-04-27T13:28:34.949755,neutral
2021-04-27T13:28:42.901992,neutral
2021-04-27T13:28:50.663065,neutral
2021-04-27T13:28:58.455080,neutral
2021-04-27T13:29:06.206599,neutral
2021-04-27T13:29:13.963382,neutral
2021-04-27T13:29:21.798320,neutral
2021-04-27T13:29:29.552238,sad
2021-04-27T13:29:37.331142,neutral
2021-04-27T13:29:45.101189,sad
2021-04-27T13:29:52.896638,neutral
2021-04-27T13:30:00.773630,sad
2021-04-27T13:30:08.577462,neutral
2021-04-27T13:30:16.332756,neutral
2021-04-27T13:30:24.115119,neutral
2021-04-27T13:30:31.830553,neutral
2021-04-27T13:30:39.723331,neutral
2021-04-27T13:30:47.495316,neutral
2021-04-27T13:30:55.261977,neutral
2021-04-27T13:31:03.065220,neutral
2021-04-27T13:31:10.858841,neutral
2021-04-27T13:31:18.718169,neutral
2021-04-27T13:31:26.487756,sad
2021-04-27T13:31:34.241265,neutral
2021-04-27T13:31:42.013569,neutral
2021-04-27T13:31:49.805747,neutral
2021-04-27T13:31:57.675955,neutral
2021-04-27T13:32:05.398926,neutral
2021-04-27T13:32:13.181222,neutral
2021-04-27T13:32:20.960806,neutral
2021-04-27T13:32:28.738353,happy
2021-04-27T13:32:36.613719,happy
2021-04-27T13:32:44.396751,sad
2021-04-27T13:32:52.137008,happy
2021-04-27T13:32:59.843989,neutral
2021-04-27T13:33:07.624422,neutral
2021-04-27T13:33:15.521270,neutral
2021-04-27T13:33:23.288434,neutral
2021-04-27T13:33:31.087890,neutral
2021-04-27T13:33:38.875506,neutral
2021-04-27T13:33:46.648458,neutral
2021-04-27T13:33:54.567535,neutral
2021-04-27T13:34:02.366532,neutral
2021-04-27T13:34:10.119242,neutral
2021-04-27T13:34:17.924509,neutral
2021-04-27T13:34:25.675854,neutral
2021-04-27T13:34:33.558217,neutral
2021-04-27T13:34:41.338059,neutral
2021-04-27T13:34:49.106892,neutral
2021-04-27T13:34:56.941139,neutral
2021-04-27T13:35:04.740880,sad
2021-04-27T13:35:12.569132,neutral
2021-04-27T13:35:20.347239,neutral
2021-04-27T13:35:28.128964,neutral
2021-04-27T13:35:35.937766,fear
2021-04-27T13:35:43.834074,neutral
2021-04-27T13:35:51.636102,neutral
2021-04-27T13:35:59.379959,neutral
2021-04-27T13:36:07.174409,neutral
2021-04-27T13:36:15.015320,neutral
2021-04-27T13:36:22.780101,happy
2021-04-27T13:36:30.653290,neutral
2021-04-27T13:36:38.454027,neutral
2021-04-27T13:36:46.199966,neutral
2021-04-27T13:36:54.016726,neutral
2021-04-27T13:37:01.898230,neutral
2021-04-27T13:37:09.676020,neutral
2021-04-27T13:37:17.439773,neutral
2021-04-27T13:37:25.186207,fear
2021-04-27T13:37:32.932897,happy
2021-04-27T13:37:40.684787,happy
2021-04-27T13:37:48.550228,neutral
2021-04-27T13:37:56.317805,neutral
2021-04-27T13:38:04.117781,happy
2021-04-27T13:38:11.883079,neutral
2021-04-27T13:38:19.731374,neutral
2021-04-27T13:38:27.506191,neutral
2021-04-27T13:38:35.298162,neutral
2021-04-27T13:38:43.048376,neutral
2021-04-27T13:38:50.868674,neutral
2021-04-27T13:38:58.748747,neutral
2021-04-27T13:39:06.520430,neutral
2021-04-27T13:39:14.293229,neutral
2021-04-27T13:39:22.068429,happy
2021-04-27T13:39:29.904456,happy
2021-04-27T13:39:37.808377,neutral
2021-04-27T13:39:45.543965,neutral
2021-04-27T13:39:53.319826,neutral
2021-04-27T13:40:01.098275,surprise
2021-04-27T13:40:08.847128,happy
2021-04-27T13:40:16.719688,sad
2021-04-27T13:40:24.518068,neutral
2021-04-27T13:40:32.292017,neutral
2021-04-27T13:40:40.090204,neutral
2021-04-27T13:40:47.899217,happy
2021-04-27T13:40:55.538784,fear
2021-04-27T13:41:03.357736,neutral
2021-04-27T13:41:11.127886,neutral
2021-04-27T13:41:18.863420,neutral
2021-04-27T13:41:26.633245,neutral
2021-04-27T13:41:34.495447,sad
2021-04-27T13:41:42.292663,sad
2021-04-27T13:41:50.079044,neutral
2021-04-27T13:41:57.864027,neutral
2021-04-27T13:42:05.622142,neutral
2021-04-27T13:42:13.537229,neutral
2021-04-27T13:42:21.326687,neutral
2021-04-27T13:42:29.155225,happy
2021-04-27T13:42:36.924223,neutral
2021-04-27T13:42:44.711325,neutral
2021-04-27T13:42:52.562383,happy
2021-04-27T13:43:00.331660,sad
2021-04-27T13:43:08.158192,neutral
2021-04-27T13:43:15.948107,neutral
2021-04-27T13:43:23.712398,neutral
2021-04-27T13:43:31.607588,fear
2021-04-27T13:43:39.348770,neutral
2021-04-27T13:43:47.111285,neutral
2021-04-27T13:43:55.046860,fear
2021-04-27T13:44:02.861750,neutral
2021-04-27T13:44:10.748690,neutral
2021-04-27T13:44:18.518350,neutral
2021-04-27T13:44:26.254751,neutral
2021-04-27T13:44:34.093587,happy
2021-04-27T13:44:41.877067,neutral
2021-04-27T13:44:49.763286,neutral
2021-04-27T13:44:57.530502,neutral
2021-04-27T13:45:05.308765,neutral
2021-04-27T13:45:13.082962,happy
2021-04-27T13:45:20.868467,neutral
2021-04-27T13:45:28.821173,neutral
2021-04-27T13:45:36.615510,neutral
2021-04-27T13:45:44.385345,neutral
2021-04-27T13:45:52.136425,sad
2021-04-27T13:45:59.948996,neutral
2021-04-27T13:46:07.820103,fear
2021-04-27T13:46:15.641779,neutral
2021-04-27T13:46:23.450636,neutral
2021-04-27T13:46:31.233201,neutral
2021-04-27T13:46:39.003737,neutral
2021-04-27T13:46:46.922333,sad
2021-04-27T13:46:54.703143,neutral
2021-04-27T13:47:02.505633,sad
2021-04-27T13:47:10.275234,neutral
2021-04-27T13:47:18.188050,neutral
2021-04-27T13:47:26.033382,neutral
2021-04-27T13:47:33.820327,neutral
2021-04-27T13:47:41.632279,neutral
2021-04-27T13:47:49.414092,sad
2021-04-27T13:47:57.219452,neutral
2021-04-27T13:48:05.117236,neutral
2021-04-27T13:48:12.897971,neutral
2021-04-27T13:48:20.716445,neutral
2021-04-27T13:48:28.540584,neutral
2021-04-27T13:48:36.357413,neutral
2021-04-27T13:48:44.259245,neutral
2021-04-27T13:48:52.040479,neutral
2021-04-27T13:48:59.780269,sad
2021-04-27T13:49:07.558275,neutral
2021-04-27T13:49:15.086882,sad
2021-04-27T13:49:22.996106,neutral
2021-04-27T13:49:30.789704,neutral
2021-04-27T13:49:38.586070,neutral
2021-04-27T13:49:46.319193,happy
2021-04-27T13:49:54.106819,neutral
2021-04-27T13:50:01.993577,neutral
2021-04-27T13:50:09.743593,fear
2021-04-27T13:50:17.518490,neutral
2021-04-27T13:50:25.404993,happy
2021-04-27T13:50:33.161328,sad
2021-04-27T13:50:41.032745,happy
2021-04-27T13:50:48.839605,sad
2021-04-27T13:50:56.680413,neutral
2021-04-27T13:51:04.492710,sad
2021-04-27T13:51:12.315250,neutral
2021-04-27T13:51:20.222619,happy
2021-04-27T13:51:28.003964,neutral
2021-04-27T13:51:35.783738,sad
2021-04-27T13:51:43.585239,happy
2021-04-27T13:51:51.515873,fear
2021-04-27T13:51:59.304426,fear
2021-04-27T13:52:07.074429,fear
2021-04-27T13:52:14.878394,neutral
2021-04-27T13:52:22.662116,neutral
2021-04-27T13:52:30.531579,sad
2021-04-27T13:52:38.289727,sad
2021-04-27T13:52:45.851476,fear
2021-04-27T13:52:53.392388,fear
2021-04-27T13:53:01.190165,neutral
2021-04-27T13:53:08.708667,fear
2021-04-27T13:53:16.730865,happy
2021-04-27T13:53:24.492504,neutral
2021-04-27T13:53:32.261624,neutral
2021-04-27T13:53:40.018865,neutral
2021-04-27T13:53:47.825341,neutral
2021-04-27T13:53:55.730796,sad
2021-04-27T13:54:03.540549,neutral
2021-04-27T13:54:11.306355,neutral
2021-04-27T13:54:19.086683,sad
2021-04-27T13:54:26.737329,happy
2021-04-27T13:54:34.669074,sad
2021-04-27T13:54:42.441103,surprise
2021-04-27T13:54:50.249976,neutral
2021-04-27T13:54:58.050553,happy
2021-04-27T13:55:05.579467,happy
2021-04-27T13:55:13.507241,neutral
2021-04-27T13:55:21.055658,happy
2021-04-27T13:55:28.861658,neutral
2021-04-27T13:55:36.669934,neutral
2021-04-27T13:55:44.598131,happy
2021-04-27T13:55:52.454631,neutral
2021-04-27T13:56:00.266071,neutral
2021-04-27T13:56:08.037753,neutral
2021-04-27T13:56:15.819021,neutral
2021-04-27T13:56:23.601765,neutral
2021-04-27T13:56:31.488877,neutral
2021-04-27T13:56:39.229816,happy
2021-04-27T13:56:47.036444,neutral
2021-04-27T13:56:54.773940,neutral
2021-04-27T13:57:02.537725,neutral
2021-04-27T13:57:10.400860,neutral
2021-04-27T13:57:18.182138,neutral
2021-04-27T13:57:25.918145,sad
2021-04-27T13:57:33.703749,sad
2021-04-27T13:57:41.485412,neutral
2021-04-27T13:57:49.367347,neutral
2021-04-27T13:57:57.152427,neutral
2021-04-27T13:58:04.899341,neutral
2021-04-27T13:58:12.386350,sad
2021-04-27T13:58:20.321268,sad
2021-04-27T13:58:28.224032,neutral
2021-04-27T13:58:36.021622,neutral
2021-04-27T13:58:43.790369,neutral
2021-04-27T13:58:51.573966,happy
2021-04-27T13:58:59.292979,neutral
2021-04-27T13:59:07.183550,neutral
2021-04-27T13:59:14.938786,sad
2021-04-27T13:59:22.697038,neutral
2021-04-27T13:59:30.459533,sad
2021-04-27T13:59:38.247388,neutral
2021-04-27T13:59:46.076466,happy
2021-04-27T13:59:53.927235,neutral
2021-04-27T14:00:01.732433,sad
2021-04-27T14:00:09.521879,neutral
2021-04-27T14:00:17.296278,neutral
2021-04-27T14:00:25.185613,neutral
2021-04-27T14:00:32.914524,neutral
2021-04-27T14:00:40.666376,sad
2021-04-27T14:00:48.438331,neutral
2021-04-27T14:00:56.189914,neutral
2021-04-27T14:01:04.109227,neutral
2021-04-27T14:01:11.875083,neutral
2021-04-27T14:01:19.605368,neutral
2021-04-27T14:01:27.375053,neutral
2021-04-27T14:01:35.151144,sad
2021-04-27T14:01:43.037516,happy
2021-04-27T14:01:50.789992,neutral
2021-04-27T14:01:58.585170,sad
2021-04-27T14:02:06.354493,fear
2021-04-27T14:02:14.120043,fear
2021-04-27T14:02:21.991779,happy
2021-04-27T14:02:29.774830,neutral
2021-04-27T14:02:37.528016,happy
2021-04-27T14:02:45.256749,neutral
2021-04-27T14:02:53.113227,neutral
2021-04-27T14:03:00.878501,neutral
2021-04-27T14:03:08.650827,happy
2021-04-27T14:03:16.436025,neutral
2021-04-27T14:03:24.204334,happy
2021-04-27T14:03:31.969980,neutral
2021-04-27T14:03:40.122806,neutral
2021-04-27T14:03:47.884926,neutral
2021-04-27T14:03:55.644299,neutral
