Datetime,emotion
2021-04-27T14:26:46.613574,sad
2021-04-27T14:26:54.616558,neutral
2021-04-27T14:27:02.507699,neutral
2021-04-27T14:27:10.311302,fear
2021-04-27T14:27:17.859098,happy
2021-04-27T14:27:25.741976,neutral
2021-04-27T14:27:33.715190,happy
2021-04-27T14:27:41.572511,sad
2021-04-27T14:27:49.426120,sad
2021-04-27T14:27:57.211416,sad
2021-04-27T14:28:05.033935,sad
2021-04-27T14:28:13.004249,neutral
2021-04-27T14:28:20.880351,sad
2021-04-27T14:28:28.697945,sad
2021-04-27T14:28:36.474990,neutral
2021-04-27T14:28:44.248674,sad
2021-04-27T14:28:52.163645,neutral
2021-04-27T14:28:59.984306,sad
2021-04-27T14:29:07.860788,neutral
2021-04-27T14:29:15.687005,neutral
2021-04-27T14:29:23.563996,neutral
2021-04-27T14:29:31.519620,neutral
2021-04-27T14:29:41.390096,sad
2021-04-27T14:29:49.289505,neutral
2021-04-27T14:29:57.095945,neutral
2021-04-27T14:30:04.948407,neutral
2021-04-27T14:30:12.910708,sad
2021-04-27T14:30:20.741455,neutral
2021-04-27T14:30:28.604061,sad
2021-04-27T14:30:36.456427,neutral
2021-04-27T14:30:44.329571,neutral
2021-04-27T14:30:52.328208,neutral
2021-04-27T14:31:00.129655,sad
2021-04-27T14:31:07.991304,happy
2021-04-27T14:31:15.773404,neutral
2021-04-27T14:31:23.598433,neutral
2021-04-27T14:31:31.613312,sad
2021-04-27T14:31:39.450887,neutral
2021-04-27T14:31:47.244999,fear
2021-04-27T14:31:55.086890,sad
2021-04-27T14:32:02.881002,sad
2021-04-27T14:32:10.535420,neutral
2021-04-27T14:32:18.362145,neutral
2021-04-27T14:32:26.227238,neutral
2021-04-27T14:32:33.996870,neutral
2021-04-27T14:32:41.816667,neutral
2021-04-27T14:32:49.783321,neutral
2021-04-27T14:32:57.596015,sad
2021-04-27T14:33:05.432014,neutral
2021-04-27T14:33:13.276934,happy
2021-04-27T14:33:21.058773,sad
2021-04-27T14:33:28.992535,sad
2021-04-27T14:33:36.809742,sad
2021-04-27T14:33:44.608266,neutral
2021-04-27T14:33:52.421752,sad
2021-04-27T14:34:00.227524,sad
2021-04-27T14:34:08.041430,neutral
2021-04-27T14:34:15.915611,neutral
2021-04-27T14:34:23.681400,sad
2021-04-27T14:34:31.472107,neutral
2021-04-27T14:34:39.223542,sad
2021-04-27T14:34:47.090483,fear
2021-04-27T14:34:54.782776,sad
2021-04-27T14:35:02.597439,sad
2021-04-27T14:35:10.390057,sad
2021-04-27T14:35:18.172356,sad
2021-04-27T14:35:26.076350,neutral
2021-04-27T14:35:33.856634,neutral
2021-04-27T14:35:41.620909,neutral
2021-04-27T14:35:50.505273,happy
2021-04-27T14:35:58.315397,neutral
2021-04-27T14:36:06.249275,neutral
2021-04-27T14:36:14.100341,neutral
2021-04-27T14:36:21.949268,neutral
2021-04-27T14:36:29.784579,neutral
2021-04-27T14:36:37.574912,neutral
2021-04-27T14:36:45.450126,neutral
2021-04-27T14:36:53.280895,neutral
2021-04-27T14:37:01.087279,neutral
2021-04-27T14:37:08.855389,neutral
2021-04-27T14:37:16.687303,neutral
2021-04-27T14:37:24.604547,neutral
2021-04-27T14:37:32.382360,neutral
2021-04-27T14:37:40.200257,neutral
