Datetime,emotion
2021-04-29T10:05:29.528892,sad
2021-04-29T10:05:37.993463,sad
2021-04-29T10:05:46.111206,sad
2021-04-29T10:05:54.211179,neutral
2021-04-29T10:06:02.338358,sad
2021-04-29T10:06:11.635627,sad
2021-04-29T10:06:20.523860,sad
2021-04-29T10:06:29.380400,neutral
2021-04-29T10:06:38.129753,neutral
2021-04-29T10:06:48.814991,sad
2021-04-29T10:06:57.071603,neutral
2021-04-29T10:07:07.005538,neutral
2021-04-29T10:07:15.242548,fear
2021-04-29T10:07:23.354487,sad
2021-04-29T10:07:31.484493,sad
2021-04-29T10:07:39.570006,sad
2021-04-29T10:07:47.844107,fear
2021-04-29T10:07:55.952861,fear
2021-04-29T10:08:04.047281,neutral
2021-04-29T10:08:12.102243,sad
2021-04-29T10:08:20.254935,sad
2021-04-29T10:08:28.335825,neutral
2021-04-29T10:08:36.647690,fear
2021-04-29T10:08:44.756319,sad
2021-04-29T10:08:52.949335,sad
2021-04-29T10:09:01.084544,neutral
2021-04-29T10:09:09.358178,sad
2021-04-29T10:09:17.573350,fear
2021-04-29T10:09:25.725089,sad
2021-04-29T10:09:33.905235,sad
2021-04-29T10:09:41.938646,neutral
2021-04-29T10:09:50.216242,neutral
2021-04-29T10:09:58.322726,neutral
2021-04-29T10:10:06.471208,sad
2021-04-29T10:10:14.631329,fear
2021-04-29T10:10:22.812804,neutral
2021-04-29T10:10:30.985891,neutral
2021-04-29T10:10:39.082369,neutral
2021-04-29T10:10:47.189179,neutral
2021-04-29T10:10:55.326418,angry
2021-04-29T10:11:03.603464,sad
2021-04-29T10:11:11.784070,angry
2021-04-29T10:11:19.911045,fear
2021-04-29T10:11:28.082976,neutral
2021-04-29T10:11:36.242536,neutral
2021-04-29T10:11:44.480836,neutral
2021-04-29T10:11:52.748840,neutral
2021-04-29T10:12:00.882622,fear
2021-04-29T10:12:09.079231,happy
2021-04-29T10:12:17.255644,sad
2021-04-29T10:12:25.481618,fear
2021-04-29T10:12:33.625672,sad
2021-04-29T10:12:41.835121,neutral
2021-04-29T10:12:49.952724,sad
2021-04-29T10:12:58.051059,neutral
2021-04-29T10:13:06.347798,sad
2021-04-29T10:13:14.381989,neutral
2021-04-29T10:13:22.469378,fear
2021-04-29T10:13:30.497180,neutral
2021-04-29T10:13:38.480071,neutral
2021-04-29T10:13:46.766479,sad
2021-04-29T10:13:55.263463,fear
2021-04-29T10:14:03.352352,neutral
2021-04-29T10:14:11.534125,fear
2021-04-29T10:14:19.677786,angry
2021-04-29T10:14:27.891283,sad
