Datetime,emotion
2021-04-26T15:24:36.751554,sad
2021-04-26T15:24:44.982936,sad
2021-04-26T15:24:52.920591,happy
2021-04-26T15:25:00.871175,sad
2021-04-26T15:25:08.882171,sad
2021-04-26T15:25:16.897704,neutral
2021-04-26T15:25:25.004186,sad
2021-04-26T15:25:33.049154,sad
2021-04-26T15:25:41.066068,sad
2021-04-26T15:25:48.987220,fear
2021-04-26T15:25:56.920298,sad
2021-04-26T15:26:04.952803,sad
2021-04-26T15:26:12.920629,sad
2021-04-26T15:26:20.852849,sad
2021-04-26T15:26:28.830867,sad
2021-04-26T15:26:36.716470,sad
2021-04-26T15:26:44.731689,sad
2021-04-26T15:26:52.739375,neutral
2021-04-26T15:27:00.669832,neutral
2021-04-26T15:27:08.603890,sad
2021-04-26T15:27:16.499020,neutral
2021-04-26T15:27:24.555514,neutral
2021-04-26T15:27:32.434532,sad
2021-04-26T15:27:40.332966,fear
2021-04-26T15:27:48.222941,sad
2021-04-26T15:27:56.106685,neutral
2021-04-26T15:28:04.138799,sad
2021-04-26T15:28:12.035682,sad
2021-04-26T15:28:19.973387,neutral
2021-04-26T15:28:27.916278,fear
2021-04-26T15:28:35.880791,sad
2021-04-26T15:28:43.964252,fear
2021-04-26T15:28:51.869472,sad
2021-04-26T15:28:59.890519,sad
2021-04-26T15:29:07.826352,neutral
2021-04-26T15:29:15.876698,neutral
2021-04-26T15:29:23.890280,surprise
2021-04-26T15:29:31.793021,sad
2021-04-26T15:29:39.909902,neutral
2021-04-26T15:29:47.893796,sad
2021-04-26T15:29:55.876193,neutral
2021-04-26T15:30:04.047318,fear
2021-04-26T15:30:12.036898,sad
2021-04-26T15:30:19.998230,neutral
2021-04-26T15:30:27.942194,sad
2021-04-26T15:30:35.885702,happy
2021-04-26T15:30:43.902306,neutral
2021-04-26T15:30:51.781108,fear
