Datetime,emotion
2021-05-04T18:49:54.266028,happy
2021-05-04T18:50:02.118828,sad
2021-05-04T18:50:09.936654,neutral
2021-05-04T18:50:17.620785,sad
2021-05-04T18:50:25.328690,sad
2021-05-04T18:50:33.023509,neutral
2021-05-04T18:50:40.734675,neutral
2021-05-04T18:50:48.614659,sad
2021-05-04T18:50:56.343135,neutral
2021-05-04T18:51:04.067096,neutral
2021-05-04T18:51:11.788467,happy
2021-05-04T18:51:19.641588,happy
2021-05-04T18:51:27.376895,neutral
2021-05-04T18:51:35.107784,happy
2021-05-04T18:51:42.851095,happy
2021-05-04T18:51:50.575889,neutral
2021-05-04T18:51:58.514190,neutral
2021-05-04T18:52:06.300383,sad
2021-05-04T18:52:14.020857,neutral
2021-05-04T18:52:21.736984,neutral
2021-05-04T18:52:29.479895,sad
2021-05-04T18:52:37.301000,neutral
2021-05-04T18:52:45.059349,neutral
2021-05-04T18:52:52.784688,neutral
2021-05-04T18:53:00.509890,neutral
2021-05-04T18:53:08.275783,neutral
2021-05-04T18:53:16.178211,neutral
2021-05-04T18:53:23.875462,neutral
2021-05-04T18:53:31.595783,neutral
2021-05-04T18:53:39.289764,neutral
2021-05-04T18:53:47.034939,neutral
2021-05-04T18:53:54.884161,neutral
2021-05-04T18:54:02.651113,sad
2021-05-04T18:54:10.360875,sad
2021-05-04T18:54:18.125498,neutral
2021-05-04T18:54:28.289155,neutral
2021-05-04T18:54:36.213619,sad
2021-05-04T18:54:43.982030,sad
2021-05-04T18:54:51.754047,angry
2021-05-04T18:54:59.454457,fear
2021-05-04T18:55:09.510250,happy
2021-05-04T18:55:19.085755,neutral
2021-05-04T18:55:27.190682,neutral
2021-05-04T18:55:34.965793,sad
2021-05-04T18:55:42.708297,sad
2021-05-04T18:55:50.425307,sad
2021-05-04T18:55:58.273637,neutral
2021-05-04T18:56:06.013316,neutral
2021-05-04T18:56:13.766521,angry
2021-05-04T18:56:21.537201,sad
2021-05-04T18:56:29.270950,neutral
2021-05-04T18:56:37.134152,sad
2021-05-04T18:56:44.858711,neutral
2021-05-04T18:56:52.624394,sad
2021-05-04T18:57:00.387358,happy
2021-05-04T18:57:08.109284,neutral
2021-05-04T18:57:15.925642,neutral
2021-05-04T18:57:23.683091,sad
2021-05-04T18:57:31.461470,neutral
2021-05-04T18:57:39.214060,neutral
2021-05-04T18:57:46.957196,sad
2021-05-04T18:57:54.831123,neutral
2021-05-04T18:58:02.564711,sad
2021-05-04T18:58:10.309904,neutral
2021-05-04T18:58:18.044300,angry
2021-05-04T18:58:25.783427,neutral
2021-05-04T18:58:33.635198,neutral
2021-05-04T18:58:41.365778,angry
2021-05-04T18:58:49.136673,neutral
2021-05-04T18:58:56.881153,angry
2021-05-04T18:59:04.667363,sad
2021-05-04T18:59:12.525358,fear
2021-05-04T18:59:20.287042,neutral
2021-05-04T18:59:28.028243,sad
2021-05-04T18:59:35.760239,neutral
2021-05-04T18:59:43.523497,neutral
2021-05-04T18:59:51.289170,sad
2021-05-04T18:59:59.169850,sad
2021-05-04T19:00:06.939128,sad
2021-05-04T19:00:14.658002,angry
2021-05-04T19:00:22.345328,sad
2021-05-04T19:00:30.124653,sad
2021-05-04T19:00:38.002122,sad
2021-05-04T19:00:45.740801,neutral
2021-05-04T19:00:53.516827,sad
2021-05-04T19:01:01.287451,angry
2021-05-04T19:01:09.016640,neutral
2021-05-04T19:01:16.885657,sad
2021-05-04T19:01:24.605948,neutral
2021-05-04T19:01:32.307774,sad
2021-05-04T19:01:40.043070,angry
2021-05-04T19:01:47.930696,neutral
2021-05-04T19:01:55.635581,neutral
2021-05-04T19:02:03.419982,neutral
2021-05-04T19:02:11.179223,sad
2021-05-04T19:02:18.944387,neutral
2021-05-04T19:02:26.680192,neutral
2021-05-04T19:02:34.553023,angry
2021-05-04T19:02:42.299840,happy
2021-05-04T19:02:50.051156,neutral
2021-05-04T19:02:57.796803,neutral
2021-05-04T19:03:05.545163,neutral
2021-05-04T19:03:13.393246,neutral
2021-05-04T19:03:21.164431,neutral
2021-05-04T19:03:28.874277,neutral
2021-05-04T19:03:36.601268,neutral
2021-05-04T19:03:44.327639,neutral
2021-05-04T19:03:52.221038,fear
2021-05-04T19:04:00.006595,neutral
2021-05-04T19:04:07.794019,sad
2021-05-04T19:04:15.571313,neutral
2021-05-04T19:04:23.340728,neutral
2021-05-04T19:04:31.175276,neutral
2021-05-04T19:04:38.875008,neutral
2021-05-04T19:04:46.604776,sad
2021-05-04T19:04:54.338433,sad
2021-05-04T19:05:02.070273,neutral
2021-05-04T19:05:09.893038,neutral
2021-05-04T19:05:17.686001,neutral
2021-05-04T19:05:25.435788,sad
2021-05-04T19:05:33.182008,neutral
2021-05-04T19:05:40.871155,neutral
2021-05-04T19:05:48.708009,happy
2021-05-04T19:05:56.426861,neutral
2021-05-04T19:06:04.179184,sad
2021-05-04T19:06:11.926990,neutral
2021-05-04T19:06:19.693869,neutral
2021-05-04T19:06:27.517316,happy
2021-05-04T19:06:35.267332,happy
2021-05-04T19:06:42.969870,sad
2021-05-04T19:06:50.695860,sad
2021-05-04T19:06:58.471819,neutral
2021-05-04T19:07:06.335850,neutral
2021-05-04T19:07:14.077923,neutral
2021-05-04T19:07:21.798749,neutral
2021-05-04T19:07:29.538065,sad
2021-05-04T19:07:37.280542,sad
2021-05-04T19:07:45.104773,neutral
2021-05-04T19:07:52.941058,neutral
2021-05-04T19:08:00.674836,neutral
2021-05-04T19:08:08.454242,sad
2021-05-04T19:08:16.218997,sad
2021-05-04T19:08:24.110820,neutral
2021-05-04T19:08:31.840422,happy
2021-05-04T19:08:39.577560,neutral
2021-05-04T19:08:47.307902,sad
2021-05-04T19:08:55.064150,neutral
2021-05-04T19:09:02.912515,angry
2021-05-04T19:09:10.665842,angry
2021-05-04T19:09:18.429471,sad
2021-05-04T19:09:26.102295,sad
2021-05-04T19:09:33.839402,neutral
2021-05-04T19:09:41.655675,angry
2021-05-04T19:09:49.369048,happy
2021-05-04T19:09:57.124578,neutral
2021-05-04T19:10:04.877631,neutral
2021-05-04T19:10:12.665666,happy
2021-05-04T19:10:20.491806,neutral
2021-05-04T19:10:28.258312,neutral
2021-05-04T19:10:36.021336,happy
2021-05-04T19:10:43.851510,neutral
2021-05-04T19:10:51.565815,neutral
2021-05-04T19:10:59.404405,neutral
2021-05-04T19:11:07.081455,sad
2021-05-04T19:11:14.859068,sad
2021-05-04T19:11:22.637741,sad
2021-05-04T19:11:30.406280,neutral
2021-05-04T19:11:38.249558,sad
2021-05-04T19:11:45.997943,neutral
2021-05-04T19:11:53.705959,angry
2021-05-04T19:12:01.489434,neutral
2021-05-04T19:12:09.256570,sad
2021-05-04T19:12:17.126856,sad
2021-05-04T19:12:24.897234,sad
2021-05-04T19:12:32.657343,neutral
2021-05-04T19:12:40.377849,angry
2021-05-04T19:12:48.159241,fear
2021-05-04T19:12:56.013265,fear
2021-05-04T19:13:03.848893,sad
2021-05-04T19:13:11.568985,sad
2021-05-04T19:13:19.340158,neutral
2021-05-04T19:13:27.093977,sad
2021-05-04T19:13:34.973918,neutral
2021-05-04T19:13:42.706463,sad
2021-05-04T19:13:50.459138,sad
2021-05-04T19:13:58.182411,sad
2021-05-04T19:14:05.929512,neutral
2021-05-04T19:14:13.755387,neutral
2021-05-04T19:14:21.507014,sad
2021-05-04T19:14:29.218814,sad
2021-05-04T19:14:36.957263,neutral
2021-05-04T19:14:44.695761,neutral
2021-05-04T19:14:52.598771,angry
2021-05-04T19:15:00.357578,neutral
2021-05-04T19:15:08.096301,neutral
2021-05-04T19:15:15.867865,angry
2021-05-04T19:15:23.627821,angry
2021-05-04T19:15:31.495598,angry
2021-05-04T19:15:39.235404,angry
2021-05-04T19:15:47.025152,sad
2021-05-04T19:15:54.782571,angry
2021-05-04T19:16:02.573012,neutral
2021-05-04T19:16:10.445539,neutral
2021-05-04T19:16:18.171369,sad
2021-05-04T19:16:25.903943,neutral
2021-05-04T19:16:33.631146,sad
2021-05-04T19:16:41.397385,angry
2021-05-04T19:16:49.275982,neutral
2021-05-04T19:16:57.074081,angry
2021-05-04T19:17:04.826925,sad
2021-05-04T19:17:12.541820,sad
2021-05-04T19:17:20.291745,sad
2021-05-04T19:17:28.146243,sad
2021-05-04T19:17:35.875877,sad
2021-05-04T19:17:43.618015,sad
2021-05-04T19:17:51.372693,sad
2021-05-04T19:17:59.120617,fear
2021-05-04T19:18:06.987956,angry
2021-05-04T19:18:14.761419,fear
2021-05-04T19:18:22.500666,angry
2021-05-04T19:18:30.225391,fear
2021-05-04T19:18:37.917512,sad
2021-05-04T19:18:45.700617,sad
2021-05-04T19:18:53.496910,sad
2021-05-04T19:19:01.243020,neutral
2021-05-04T19:19:08.994507,sad
2021-05-04T19:19:16.786166,fear
2021-05-04T19:19:24.629131,neutral
2021-05-04T19:19:32.357412,neutral
2021-05-04T19:19:40.118021,angry
2021-05-04T19:19:47.897331,neutral
2021-05-04T19:19:55.647973,neutral
2021-05-04T19:20:03.508802,sad
2021-05-04T19:20:11.278266,neutral
2021-05-04T19:20:18.961667,neutral
2021-05-04T19:20:26.744357,sad
2021-05-04T19:20:34.510448,angry
2021-05-04T19:20:42.382287,sad
2021-05-04T19:20:50.108385,sad
2021-05-04T19:20:57.894146,angry
2021-05-04T19:21:05.647016,neutral
2021-05-04T19:21:13.424473,sad
2021-05-04T19:21:21.307412,neutral
2021-05-04T19:21:29.063125,sad
2021-05-04T19:21:36.810653,angry
2021-05-04T19:21:44.541899,angry
2021-05-04T19:21:52.267853,angry
2021-05-04T19:22:00.171111,angry
2021-05-04T19:22:07.924914,angry
2021-05-04T19:22:15.726140,angry
2021-05-04T19:22:23.587023,angry
2021-05-04T19:22:31.383774,fear
2021-05-04T19:22:39.212917,angry
2021-05-04T19:22:46.975030,fear
2021-05-04T19:22:54.709210,angry
2021-05-04T19:23:02.460007,fear
2021-05-04T19:23:10.247218,angry
