Datetime,emotion
2021-05-13T18:53:37.420426,neutral
2021-05-13T18:53:45.941965,sad
2021-05-13T18:53:53.761036,neutral
2021-05-13T18:54:01.592995,sad
2021-05-13T18:54:09.450482,neutral
2021-05-13T18:54:17.596568,sad
2021-05-13T18:54:25.557152,neutral
2021-05-13T18:54:33.772409,sad
2021-05-13T18:54:42.031395,sad
2021-05-13T18:54:50.264886,sad
2021-05-13T18:54:58.215326,neutral
2021-05-13T18:55:06.248671,neutral
2021-05-13T18:55:14.172147,angry
2021-05-13T18:55:21.856405,fear
2021-05-13T18:55:29.806488,sad
2021-05-13T18:55:37.747930,neutral
2021-05-13T18:55:45.814479,sad
2021-05-13T18:55:53.742776,sad
2021-05-13T18:56:01.692727,angry
2021-05-13T18:56:09.838458,fear
2021-05-13T18:56:17.904403,sad
2021-05-13T18:56:25.969028,happy
2021-05-13T18:56:33.952196,fear
2021-05-13T18:56:41.878298,neutral
2021-05-13T18:56:49.873036,happy
2021-05-13T18:56:57.788335,neutral
2021-05-13T18:57:05.825448,neutral
2021-05-13T18:57:13.759060,neutral
2021-05-13T18:57:21.664248,sad
2021-05-13T18:57:29.578494,sad
2021-05-13T18:57:37.549834,neutral
2021-05-13T18:57:45.570096,surprise
2021-05-13T18:57:53.492265,neutral
2021-05-13T18:58:01.417249,neutral
2021-05-13T18:58:09.333618,neutral
2021-05-13T18:58:17.325306,sad
2021-05-13T18:58:25.432697,sad
2021-05-13T18:58:33.368358,angry
2021-05-13T18:58:41.284433,happy
2021-05-13T18:58:49.206901,neutral
2021-05-13T18:58:57.392736,neutral
2021-05-13T18:59:05.560687,surprise
2021-05-13T18:59:13.496448,neutral
2021-05-13T18:59:21.424475,fear
2021-05-13T18:59:29.392283,fear
2021-05-13T18:59:37.339918,fear
2021-05-13T18:59:45.431370,fear
2021-05-13T18:59:53.347807,sad
2021-05-13T19:00:01.244381,neutral
2021-05-13T19:00:09.141569,neutral
2021-05-13T19:00:17.207853,neutral
2021-05-13T19:00:25.455089,sad
2021-05-13T19:00:33.395754,fear
2021-05-13T19:00:41.330734,neutral
2021-05-13T19:00:49.252485,fear
2021-05-13T19:00:57.181613,sad
2021-05-13T19:01:05.309847,fear
2021-05-13T19:01:12.982546,neutral
2021-05-13T19:01:20.681436,fear
2021-05-13T19:01:28.674238,sad
2021-05-13T19:01:36.696414,neutral
2021-05-13T19:01:44.753850,sad
2021-05-13T19:01:52.699303,sad
2021-05-13T19:02:00.681366,sad
2021-05-13T19:02:08.754148,neutral
2021-05-13T19:02:16.738849,surprise
2021-05-13T19:02:24.823888,neutral
2021-05-13T19:02:32.865339,neutral
2021-05-13T19:02:40.811213,sad
2021-05-13T19:02:48.763825,neutral
2021-05-13T19:02:56.809257,neutral
2021-05-13T19:03:04.675211,fear
2021-05-13T19:03:12.400131,fear
2021-05-13T19:03:20.349392,neutral
2021-05-13T19:03:28.280874,fear
2021-05-13T19:03:36.279876,neutral
2021-05-13T19:03:44.407024,neutral
2021-05-13T19:03:52.315949,neutral
2021-05-13T19:04:00.260684,angry
2021-05-13T19:04:08.263452,fear
2021-05-13T19:04:16.200281,sad
2021-05-13T19:04:24.273757,neutral
2021-05-13T19:04:32.231676,fear
2021-05-13T19:04:40.181425,neutral
2021-05-13T19:04:48.116374,sad
2021-05-13T19:04:56.030220,sad
2021-05-13T19:05:04.103936,neutral
2021-05-13T19:05:12.134936,fear
2021-05-13T19:05:20.155682,fear
2021-05-13T19:05:28.166456,sad
2021-05-13T19:05:36.101061,neutral
2021-05-13T19:05:44.195148,sad
2021-05-13T19:05:52.114303,sad
2021-05-13T19:06:00.068971,sad
2021-05-13T19:06:07.987019,sad
2021-05-13T19:06:15.919936,sad
2021-05-13T19:06:23.966792,sad
2021-05-13T19:06:31.904499,neutral
2021-05-13T19:06:39.795674,fear
2021-05-13T19:06:47.713725,fear
2021-05-13T19:06:55.759387,fear
2021-05-13T19:07:03.768948,fear
2021-05-13T19:07:11.628495,fear
2021-05-13T19:07:19.572394,neutral
2021-05-13T19:07:27.495205,neutral
2021-05-13T19:07:35.422934,sad
2021-05-13T19:07:43.605871,neutral
2021-05-13T19:07:51.528513,angry
2021-05-13T19:07:59.482625,angry
2021-05-13T19:08:07.461318,neutral
2021-05-13T19:08:15.428359,fear
2021-05-13T19:08:23.491026,neutral
2021-05-13T19:08:31.440280,neutral
2021-05-13T19:08:39.386796,sad
2021-05-13T19:08:47.303754,sad
2021-05-13T19:08:55.215961,neutral
2021-05-13T19:09:03.285583,neutral
2021-05-13T19:09:11.253520,fear
2021-05-13T19:09:19.219256,fear
2021-05-13T19:09:27.162523,fear
2021-05-13T19:09:35.122456,fear
2021-05-13T19:09:43.195957,fear
2021-05-13T19:09:51.114158,neutral
2021-05-13T19:09:59.068366,neutral
2021-05-13T19:10:07.021533,fear
2021-05-13T19:10:14.939287,neutral
2021-05-13T19:10:23.069375,fear
2021-05-13T19:10:30.992718,fear
2021-05-13T19:10:38.692231,fear
2021-05-13T19:10:46.643612,neutral
2021-05-13T19:10:54.558108,neutral
2021-05-13T19:11:02.623099,fear
2021-05-13T19:11:10.529213,fear
2021-05-13T19:11:18.427563,fear
2021-05-13T19:11:26.315578,sad
2021-05-13T19:11:34.188026,fear
2021-05-13T19:11:42.407116,fear
2021-05-13T19:11:50.376166,fear
2021-05-13T19:11:58.265154,fear
2021-05-13T19:12:06.240777,sad
2021-05-13T19:12:14.138819,fear
2021-05-13T19:12:22.178304,fear
2021-05-13T19:12:30.055326,sad
2021-05-13T19:12:37.994355,fear
2021-05-13T19:12:45.929862,fear
2021-05-13T19:12:53.884215,fear
2021-05-13T19:13:02.012285,sad
2021-05-13T19:13:09.940538,fear
2021-05-13T19:13:17.835347,sad
2021-05-13T19:13:25.790986,fear
2021-05-13T19:13:33.722841,fear
2021-05-13T19:13:41.784721,sad
2021-05-13T19:13:49.723582,sad
2021-05-13T19:13:57.687548,fear
2021-05-13T19:14:05.552456,neutral
2021-05-13T19:14:13.671784,sad
2021-05-13T19:14:21.753100,neutral
2021-05-13T19:14:29.708306,fear
2021-05-13T19:14:37.639087,neutral
2021-05-13T19:14:45.578133,sad
2021-05-13T19:14:53.503632,angry
2021-05-13T19:15:01.577095,neutral
2021-05-13T19:15:09.512182,neutral
2021-05-13T19:15:17.478765,sad
2021-05-13T19:15:25.426195,angry
2021-05-13T19:15:33.368245,fear
2021-05-13T19:15:41.435945,neutral
2021-05-13T19:15:49.413647,neutral
2021-05-13T19:15:57.387219,sad
2021-05-13T19:16:05.568347,neutral
2021-05-13T19:16:13.541728,neutral
2021-05-13T19:16:21.569747,sad
2021-05-13T19:16:29.514854,neutral
2021-05-13T19:16:37.468747,sad
2021-05-13T19:16:45.429388,neutral
2021-05-13T19:16:53.403098,sad
2021-05-13T19:17:01.484989,sad
2021-05-13T19:17:09.386350,fear
2021-05-13T19:17:17.342541,fear
2021-05-13T19:17:25.306794,fear
2021-05-13T19:17:33.294760,neutral
2021-05-13T19:17:41.374072,sad
2021-05-13T19:17:49.320629,fear
2021-05-13T19:17:57.255260,angry
2021-05-13T19:18:05.182227,neutral
2021-05-13T19:18:13.078065,neutral
2021-05-13T19:18:21.148993,sad
2021-05-13T19:18:29.062965,neutral
2021-05-13T19:18:36.979106,neutral
2021-05-13T19:18:44.988155,sad
2021-05-13T19:18:52.912888,sad
2021-05-13T19:19:00.972190,neutral
2021-05-13T19:19:08.684068,fear
2021-05-13T19:19:16.635273,neutral
2021-05-13T19:19:24.601691,neutral
2021-05-13T19:19:32.542315,neutral
2021-05-13T19:19:40.590539,fear
2021-05-13T19:19:48.568064,sad
2021-05-13T19:19:56.507497,fear
2021-05-13T19:20:04.482933,sad
2021-05-13T19:20:12.420406,neutral
2021-05-13T19:20:20.746437,sad
2021-05-13T19:20:28.684562,sad
2021-05-13T19:20:36.645787,sad
2021-05-13T19:20:44.614071,sad
2021-05-13T19:20:52.537120,neutral
2021-05-13T19:21:00.588269,neutral
2021-05-13T19:21:08.541415,fear
2021-05-13T19:21:16.481849,fear
2021-05-13T19:21:24.462391,sad
2021-05-13T19:21:32.408976,neutral
2021-05-13T19:21:40.502056,sad
2021-05-13T19:21:48.419847,sad
2021-05-13T19:21:56.346005,sad
2021-05-13T19:22:04.326978,neutral
2021-05-13T19:22:12.258031,sad
2021-05-13T19:22:20.313226,sad
2021-05-13T19:22:28.260884,sad
2021-05-13T19:22:36.191779,sad
2021-05-13T19:22:44.419300,sad
2021-05-13T19:22:52.365319,sad
2021-05-13T19:23:00.465704,sad
2021-05-13T19:23:08.431968,sad
2021-05-13T19:23:16.370195,sad
2021-05-13T19:23:24.344225,fear
2021-05-13T19:23:32.296745,sad
2021-05-13T19:23:40.349268,angry
2021-05-13T19:23:48.268073,sad
2021-05-13T19:23:56.258086,fear
2021-05-13T19:24:04.206608,fear
2021-05-13T19:24:12.186829,fear
2021-05-13T19:24:20.240949,fear
2021-05-13T19:24:28.147182,sad
2021-05-13T19:24:36.067311,sad
2021-05-13T19:24:44.021347,sad
2021-05-13T19:24:51.920029,angry
2021-05-13T19:25:00.035226,neutral
2021-05-13T19:25:07.978388,angry
2021-05-13T19:25:15.897831,fear
2021-05-13T19:25:23.792124,fear
2021-05-13T19:25:31.734754,fear
2021-05-13T19:25:39.740368,sad
2021-05-13T19:25:47.663280,sad
2021-05-13T19:25:55.563491,fear
2021-05-13T19:26:03.487677,fear
2021-05-13T19:26:11.430329,fear
2021-05-13T19:26:19.463727,fear
2021-05-13T19:26:27.396229,fear
2021-05-13T19:26:35.310334,sad
2021-05-13T19:26:43.286256,fear
2021-05-13T19:26:51.275395,fear
2021-05-13T19:26:59.334404,sad
2021-05-13T19:27:07.239370,sad
2021-05-13T19:27:15.167687,neutral
2021-05-13T19:27:23.107894,sad
2021-05-13T19:27:31.099865,fear
2021-05-13T19:27:39.226438,fear
2021-05-13T19:27:47.188983,fear
2021-05-13T19:27:55.100194,neutral
2021-05-13T19:28:03.120362,fear
2021-05-13T19:28:11.122125,fear
2021-05-13T19:28:19.191233,angry
2021-05-13T19:28:27.128773,angry
2021-05-13T19:28:35.079992,angry
2021-05-13T19:28:42.973207,sad
2021-05-13T19:28:50.929902,sad
2021-05-13T19:28:58.954737,fear
2021-05-13T19:29:06.895442,sad
2021-05-13T19:29:14.900747,fear
2021-05-13T19:29:22.827182,fear
2021-05-13T19:29:30.792949,fear
2021-05-13T19:29:38.924666,fear
2021-05-13T19:29:46.860372,angry
2021-05-13T19:29:54.785185,sad
2021-05-13T19:30:02.793579,fear
