Datetime,emotion
2021-05-06T18:52:49.140943,happy
2021-05-06T18:52:57.238576,happy
2021-05-06T18:53:05.410835,happy
2021-05-06T18:53:13.428107,happy
2021-05-06T18:53:21.312538,happy
2021-05-06T18:53:29.355377,happy
2021-05-06T18:53:37.276230,happy
2021-05-06T18:53:45.292817,happy
2021-05-06T18:53:53.217589,happy
2021-05-06T18:54:01.150384,happy
2021-05-06T18:54:09.187095,happy
2021-05-06T18:54:17.088297,happy
2021-05-06T18:54:25.121030,happy
2021-05-06T18:54:33.009602,happy
2021-05-06T18:54:40.919764,happy
2021-05-06T18:54:48.773974,happy
2021-05-06T18:54:56.709558,happy
2021-05-06T18:55:04.896937,happy
2021-05-06T18:55:13.035710,happy
2021-05-06T18:55:21.112038,happy
2021-05-06T18:55:29.232448,happy
2021-05-06T18:55:37.153037,angry
2021-05-06T18:55:45.143416,sad
2021-05-06T18:55:53.034843,neutral
2021-05-06T18:56:00.915843,sad
2021-05-06T18:56:08.824719,fear
2021-05-06T18:56:16.699189,neutral
2021-05-06T18:56:24.743809,angry
2021-05-06T18:56:32.636341,neutral
2021-05-06T18:56:40.490828,angry
2021-05-06T18:56:48.347369,neutral
2021-05-06T18:56:56.185406,angry
2021-05-06T18:57:04.100009,neutral
2021-05-06T18:57:11.940531,neutral
2021-05-06T18:57:19.811062,sad
2021-05-06T18:57:27.692281,neutral
2021-05-06T18:57:35.604579,fear
2021-05-06T18:57:43.585296,neutral
2021-05-06T18:57:51.437253,angry
2021-05-06T18:57:59.432855,neutral
2021-05-06T18:58:07.368440,neutral
2021-05-06T18:58:15.255366,angry
2021-05-06T18:58:23.288782,neutral
2021-05-06T18:58:31.134764,fear
2021-05-06T18:58:38.995076,fear
2021-05-06T18:58:46.839081,angry
2021-05-06T18:58:54.748152,fear
2021-05-06T18:59:02.748284,angry
2021-05-06T18:59:10.591702,angry
2021-05-06T18:59:18.471327,angry
2021-05-06T18:59:26.315383,fear
2021-05-06T18:59:34.177097,fear
2021-05-06T18:59:42.166151,angry
2021-05-06T18:59:50.277257,fear
2021-05-06T18:59:58.123166,sad
2021-05-06T19:00:05.998979,neutral
2021-05-06T19:00:13.849918,neutral
2021-05-06T19:00:21.891639,sad
2021-05-06T19:00:29.822784,neutral
2021-05-06T19:00:37.709277,angry
2021-05-06T19:00:45.609197,sad
2021-05-06T19:00:53.480603,sad
2021-05-06T19:01:01.518948,sad
2021-05-06T19:01:09.402457,sad
2021-05-06T19:01:17.254418,sad
2021-05-06T19:01:25.121701,sad
2021-05-06T19:01:33.002608,sad
2021-05-06T19:01:40.823672,sad
2021-05-06T19:01:48.964461,angry
2021-05-06T19:01:56.852280,angry
2021-05-06T19:02:04.700473,angry
2021-05-06T19:02:12.544621,angry
2021-05-06T19:02:20.383027,angry
2021-05-06T19:02:28.368637,fear
2021-05-06T19:02:36.278560,angry
2021-05-06T19:02:44.193957,neutral
2021-05-06T19:02:52.108167,angry
2021-05-06T19:03:00.002913,sad
2021-05-06T19:03:07.990538,angry
2021-05-06T19:03:15.829227,fear
2021-05-06T19:03:23.795435,fear
2021-05-06T19:03:31.684986,angry
2021-05-06T19:03:39.638779,angry
2021-05-06T19:03:47.811108,angry
2021-05-06T19:03:55.670699,sad
2021-05-06T19:04:03.463848,angry
2021-05-06T19:04:11.307156,fear
2021-05-06T19:04:19.216917,angry
2021-05-06T19:04:27.185871,angry
2021-05-06T19:04:35.039885,sad
2021-05-06T19:04:42.913929,neutral
2021-05-06T19:04:50.811032,angry
2021-05-06T19:04:58.670481,fear
2021-05-06T19:05:06.656686,fear
2021-05-06T19:05:14.524252,fear
2021-05-06T19:05:22.460172,neutral
2021-05-06T19:05:30.296189,angry
2021-05-06T19:05:38.212732,angry
2021-05-06T19:05:46.220259,angry
2021-05-06T19:05:54.092508,angry
2021-05-06T19:06:01.994250,angry
2021-05-06T19:06:09.863390,angry
2021-05-06T19:06:17.729990,angry
2021-05-06T19:06:25.748257,fear
2021-05-06T19:06:33.617490,fear
2021-05-06T19:06:41.419420,sad
2021-05-06T19:06:49.261485,sad
2021-05-06T19:06:57.145611,fear
2021-05-06T19:07:05.086714,angry
2021-05-06T19:07:12.920675,sad
2021-05-06T19:07:20.808130,sad
2021-05-06T19:07:28.662927,angry
2021-05-06T19:07:36.527620,sad
2021-05-06T19:07:44.548872,angry
2021-05-06T19:07:52.404011,sad
2021-05-06T19:08:00.320608,angry
2021-05-06T19:08:08.210998,angry
2021-05-06T19:08:16.048099,neutral
2021-05-06T19:08:24.259872,fear
2021-05-06T19:08:32.176257,fear
2021-05-06T19:08:40.021132,angry
2021-05-06T19:08:47.895069,fear
2021-05-06T19:08:55.743156,sad
2021-05-06T19:09:03.721985,sad
2021-05-06T19:09:11.543437,neutral
