Datetime,emotion
2021-05-05T11:30:35.485935,happy
2021-05-05T11:30:44.002966,sad
2021-05-05T11:30:52.136378,happy
2021-05-05T11:31:02.540809,sad
2021-05-05T11:31:13.485980,happy
2021-05-05T11:31:23.536169,neutral
2021-05-05T11:31:33.532420,neutral
2021-05-05T11:31:44.075343,sad
2021-05-05T11:31:54.172589,sad
2021-05-05T11:32:03.005032,sad
2021-05-05T11:32:11.864241,neutral
2021-05-05T11:32:20.768734,happy
2021-05-05T11:32:29.353854,sad
2021-05-05T11:32:38.446549,sad
2021-05-05T11:32:46.783285,happy
2021-05-05T11:32:54.839692,sad
2021-05-05T11:33:02.835197,sad
2021-05-05T11:33:11.074495,neutral
2021-05-05T11:33:19.101627,sad
2021-05-05T11:33:27.164199,sad
2021-05-05T11:33:35.248925,sad
2021-05-05T11:33:43.627322,fear
2021-05-05T11:33:51.863556,sad
2021-05-05T11:33:59.930975,neutral
2021-05-05T11:34:07.985385,happy
2021-05-05T11:34:16.053293,happy
2021-05-05T11:34:24.078654,fear
2021-05-05T11:34:32.330985,neutral
2021-05-05T11:34:40.405212,sad
2021-05-05T11:34:48.546890,sad
2021-05-05T11:34:58.655496,happy
2021-05-05T11:35:08.996067,neutral
2021-05-05T11:35:19.650096,sad
2021-05-05T11:35:30.572332,happy
2021-05-05T11:35:40.747954,happy
2021-05-05T11:35:50.965740,neutral
2021-05-05T11:36:01.200759,sad
2021-05-05T11:36:11.780391,happy
2021-05-05T11:36:21.199159,happy
