Datetime,emotion
2021-05-12T13:20:35.628513,neutral
2021-05-12T13:20:43.681643,fear
2021-05-12T13:20:53.712120,fear
2021-05-12T13:21:01.870017,fear
2021-05-12T13:21:12.217883,sad
2021-05-12T13:21:20.181677,sad
2021-05-12T13:21:28.161424,sad
2021-05-12T13:21:36.249828,sad
2021-05-12T13:21:44.179831,sad
2021-05-12T13:21:52.368043,fear
2021-05-12T13:22:00.321005,sad
2021-05-12T13:22:08.249364,angry
2021-05-12T13:22:16.347052,sad
2021-05-12T13:22:24.115087,fear
2021-05-12T13:22:32.062905,sad
2021-05-12T13:22:39.979883,sad
2021-05-12T13:22:47.907678,sad
2021-05-12T13:22:55.984506,sad
2021-05-12T13:23:03.926958,sad
2021-05-12T13:23:11.921922,sad
2021-05-12T13:23:19.868113,sad
2021-05-12T13:23:27.822113,sad
2021-05-12T13:23:35.925819,sad
2021-05-12T13:23:43.916299,sad
2021-05-12T13:23:51.903416,sad
2021-05-12T13:24:04.641174,fear
2021-05-12T13:24:12.645848,sad
2021-05-12T13:24:20.815466,sad
2021-05-12T13:24:29.320645,sad
2021-05-12T13:24:37.248236,sad
2021-05-12T13:24:45.122740,neutral
2021-05-12T13:24:53.111305,neutral
2021-05-12T13:25:01.193013,neutral
2021-05-12T13:25:09.140314,sad
2021-05-12T13:25:17.137688,sad
2021-05-12T13:25:25.112087,sad
2021-05-12T13:25:33.170533,sad
2021-05-12T13:25:41.252646,sad
2021-05-12T13:25:49.263071,sad
2021-05-12T13:25:57.260739,sad
2021-05-12T13:26:05.130677,neutral
2021-05-12T13:26:13.102734,sad
2021-05-12T13:26:21.179679,sad
2021-05-12T13:26:29.132148,sad
2021-05-12T13:26:37.083687,sad
2021-05-12T13:26:45.073393,sad
2021-05-12T13:26:53.030872,sad
2021-05-12T13:27:01.152902,sad
2021-05-12T13:27:11.135125,sad
2021-05-12T13:27:19.090663,sad
2021-05-12T13:27:27.168565,sad
2021-05-12T13:27:35.090321,sad
