Datetime,emotion
2021-05-03T16:25:40.489831,sad
2021-05-03T16:25:48.518619,sad
2021-05-03T16:25:56.430466,neutral
2021-05-03T16:26:04.258795,fear
2021-05-03T16:26:12.115608,neutral
2021-05-03T16:26:19.936560,neutral
2021-05-03T16:26:27.973879,neutral
2021-05-03T16:26:35.879300,sad
2021-05-03T16:26:43.736973,sad
2021-05-03T16:26:51.530045,neutral
2021-05-03T16:26:59.435392,neutral
2021-05-03T16:27:07.429810,neutral
2021-05-03T16:27:15.290783,fear
2021-05-03T16:27:23.204415,sad
2021-05-03T16:27:31.067929,sad
2021-05-03T16:27:38.899775,sad
2021-05-03T16:27:46.883708,fear
2021-05-03T16:27:54.778047,happy
2021-05-03T16:28:02.668286,neutral
2021-05-03T16:28:10.563448,fear
2021-05-03T16:28:18.443144,sad
2021-05-03T16:28:26.401605,neutral
2021-05-03T16:28:34.289393,fear
2021-05-03T16:28:42.199050,neutral
2021-05-03T16:28:50.116111,happy
2021-05-03T16:28:58.013896,neutral
2021-05-03T16:29:06.080452,sad
2021-05-03T16:29:13.909363,happy
2021-05-03T16:29:21.776743,happy
2021-05-03T16:29:29.660312,fear
2021-05-03T16:29:37.595465,fear
2021-05-03T16:29:45.607700,fear
2021-05-03T16:29:53.529773,fear
2021-05-03T16:30:01.380183,happy
2021-05-03T16:30:09.231597,sad
2021-05-03T16:30:17.102042,sad
2021-05-03T16:30:25.059182,sad
2021-05-03T16:30:32.926741,neutral
2021-05-03T16:30:40.741474,sad
2021-05-03T16:30:48.569942,sad
2021-05-03T16:30:56.463932,sad
2021-05-03T16:31:04.480513,sad
2021-05-03T16:31:12.396171,fear
2021-05-03T16:31:20.261548,fear
2021-05-03T16:31:28.109286,sad
2021-05-03T16:31:35.990778,neutral
2021-05-03T16:31:43.958220,sad
2021-05-03T16:31:51.691760,sad
2021-05-03T16:31:59.548954,happy
2021-05-03T16:32:07.437222,sad
2021-05-03T16:32:15.297809,sad
2021-05-03T16:32:23.214504,sad
2021-05-03T16:32:31.173551,sad
2021-05-03T16:32:39.031660,sad
2021-05-03T16:32:46.898221,fear
2021-05-03T16:32:54.763526,sad
2021-05-03T16:33:02.751411,neutral
2021-05-03T16:33:10.645796,sad
2021-05-03T16:33:18.490219,neutral
2021-05-03T16:33:26.354238,sad
2021-05-03T16:33:34.222461,sad
2021-05-03T16:33:42.070701,neutral
2021-05-03T16:33:50.030712,sad
2021-05-03T16:33:57.913235,fear
2021-05-03T16:34:05.801845,fear
2021-05-03T16:34:13.697428,fear
2021-05-03T16:34:21.531645,sad
2021-05-03T16:34:29.515002,sad
2021-05-03T16:34:37.358446,sad
2021-05-03T16:34:45.215497,sad
2021-05-03T16:34:53.003443,sad
2021-05-03T16:35:00.868429,fear
2021-05-03T16:35:08.878184,fear
2021-05-03T16:35:16.760390,fear
2021-05-03T16:35:24.698327,fear
2021-05-03T16:35:32.590448,sad
2021-05-03T16:35:40.436459,sad
2021-05-03T16:35:48.445887,sad
2021-05-03T16:35:56.308490,sad
2021-05-03T16:36:04.137605,neutral
2021-05-03T16:36:12.025926,sad
2021-05-03T16:36:20.015493,sad
2021-05-03T16:36:28.009817,happy
2021-05-03T16:36:35.797728,sad
2021-05-03T16:36:43.672296,sad
2021-05-03T16:36:51.493132,sad
2021-05-03T16:36:59.348983,sad
2021-05-03T16:37:07.334913,neutral
2021-05-03T16:37:15.192030,fear
2021-05-03T16:37:23.118137,neutral
2021-05-03T16:37:31.023892,neutral
2021-05-03T16:37:38.880062,neutral
2021-05-03T16:37:46.871273,sad
2021-05-03T16:37:54.784128,fear
2021-05-03T16:38:02.664955,fear
2021-05-03T16:38:10.552365,sad
2021-05-03T16:38:18.429488,sad
2021-05-03T16:38:26.419886,happy
2021-05-03T16:38:34.298544,fear
2021-05-03T16:38:42.183803,fear
2021-05-03T16:38:50.048695,sad
2021-05-03T16:38:57.920496,fear
2021-05-03T16:39:05.856129,fear
2021-05-03T16:39:13.716326,happy
2021-05-03T16:39:21.568112,sad
2021-05-03T16:39:29.457042,sad
2021-05-03T16:39:37.599512,fear
2021-05-03T16:39:45.609255,sad
2021-05-03T16:39:53.433478,sad
2021-05-03T16:40:01.316008,sad
2021-05-03T16:40:09.173980,fear
2021-05-03T16:40:17.068966,sad
2021-05-03T16:40:25.058960,sad
2021-05-03T16:40:32.947152,fear
2021-05-03T16:40:40.844930,fear
2021-05-03T16:40:48.698609,sad
2021-05-03T16:40:56.608905,sad
2021-05-03T16:41:04.611359,sad
2021-05-03T16:41:12.545120,sad
2021-05-03T16:41:20.409954,sad
2021-05-03T16:41:28.262864,neutral
2021-05-03T16:41:36.221878,sad
2021-05-03T16:41:44.135844,neutral
2021-05-03T16:41:51.983673,sad
2021-05-03T16:41:59.846009,sad
2021-05-03T16:42:07.742028,sad
2021-05-03T16:42:15.605801,sad
2021-05-03T16:42:23.596003,sad
2021-05-03T16:42:31.455102,sad
2021-05-03T16:42:39.349175,sad
2021-05-03T16:42:47.214406,sad
2021-05-03T16:42:55.059148,sad
2021-05-03T16:43:03.058182,sad
2021-05-03T16:43:10.939719,sad
2021-05-03T16:43:18.835335,sad
2021-05-03T16:43:26.697323,sad
2021-05-03T16:43:34.505774,sad
2021-05-03T16:43:42.486793,neutral
2021-05-03T16:43:50.334574,sad
2021-05-03T16:43:58.166557,neutral
2021-05-03T16:44:06.017061,fear
2021-05-03T16:44:13.904134,neutral
2021-05-03T16:44:21.774456,sad
2021-05-03T16:44:29.814111,fear
2021-05-03T16:44:37.628935,sad
2021-05-03T16:44:45.493114,sad
2021-05-03T16:44:53.403215,sad
2021-05-03T16:45:01.288015,fear
2021-05-03T16:45:09.263659,fear
2021-05-03T16:45:17.109256,sad
2021-05-03T16:45:25.114482,fear
2021-05-03T16:45:33.018129,sad
2021-05-03T16:45:40.866681,fear
2021-05-03T16:45:48.807157,neutral
2021-05-03T16:45:56.667540,sad
2021-05-03T16:46:04.500277,sad
2021-05-03T16:46:12.375443,fear
2021-05-03T16:46:20.212428,fear
2021-05-03T16:46:28.416491,neutral
2021-05-03T16:46:36.296253,sad
2021-05-03T16:46:44.156549,sad
2021-05-03T16:46:52.067987,sad
2021-05-03T16:46:59.901068,neutral
2021-05-03T16:47:07.908333,neutral
2021-05-03T16:47:15.812468,sad
2021-05-03T16:47:23.901315,neutral
2021-05-03T16:47:31.744975,neutral
2021-05-03T16:47:39.543957,sad
2021-05-03T16:47:47.564367,sad
2021-05-03T16:47:55.383603,neutral
2021-05-03T16:48:03.232231,angry
2021-05-03T16:48:11.044483,sad
2021-05-03T16:48:18.852135,fear
2021-05-03T16:48:26.817283,sad
2021-05-03T16:48:34.661520,sad
2021-05-03T16:48:42.457127,neutral
2021-05-03T16:48:50.330355,sad
2021-05-03T16:48:58.167129,sad
2021-05-03T16:49:06.120723,sad
2021-05-03T16:49:13.951202,neutral
2021-05-03T16:49:21.824793,sad
2021-05-03T16:49:29.690120,sad
2021-05-03T16:49:37.539573,neutral
2021-05-03T16:49:45.535078,neutral
2021-05-03T16:49:53.407123,happy
2021-05-03T16:50:01.124805,sad
2021-05-03T16:50:08.961419,sad
2021-05-03T16:50:16.864101,sad
2021-05-03T16:50:24.818273,neutral
2021-05-03T16:50:32.663272,sad
2021-05-03T16:50:40.547998,sad
2021-05-03T16:50:48.526315,sad
2021-05-03T16:50:56.369158,sad
2021-05-03T16:51:04.352543,neutral
2021-05-03T16:51:12.208024,sad
2021-05-03T16:51:20.100449,sad
2021-05-03T16:51:27.946200,sad
2021-05-03T16:51:35.951082,fear
2021-05-03T16:51:43.932612,fear
2021-05-03T16:51:51.781505,sad
2021-05-03T16:51:59.645803,sad
2021-05-03T16:52:07.547691,sad
2021-05-03T16:52:15.324502,sad
2021-05-03T16:52:23.246217,sad
2021-05-03T16:52:31.054509,sad
2021-05-03T16:52:38.881996,sad
2021-05-03T16:52:47.029566,sad
2021-05-03T16:52:54.902668,happy
2021-05-03T16:53:02.873439,sad
2021-05-03T16:53:10.779899,sad
2021-05-03T16:53:18.623575,sad
2021-05-03T16:53:26.484023,neutral
2021-05-03T16:53:34.354636,neutral
2021-05-03T16:53:42.342024,sad
2021-05-03T16:53:50.128360,sad
2021-05-03T16:53:58.023864,sad
2021-05-03T16:54:05.844819,neutral
2021-05-03T16:54:13.691455,neutral
2021-05-03T16:54:21.652450,neutral
2021-05-03T16:54:29.439970,sad
2021-05-03T16:54:37.245164,sad
2021-05-03T16:54:45.125702,sad
2021-05-03T16:54:53.020867,sad
2021-05-03T16:55:01.034490,neutral
2021-05-03T16:55:08.915150,fear
2021-05-03T16:55:16.886016,fear
2021-05-03T16:55:24.756826,neutral
2021-05-03T16:55:32.717042,sad
2021-05-03T16:55:40.679970,fear
2021-05-03T16:55:48.540561,sad
2021-05-03T16:55:56.396532,fear
2021-05-03T16:56:04.205917,fear
2021-05-03T16:56:12.014579,sad
2021-05-03T16:56:19.972076,sad
2021-05-03T16:56:27.841035,sad
2021-05-03T16:56:35.850243,neutral
2021-05-03T16:56:43.734177,sad
2021-05-03T16:56:51.542305,sad
2021-05-03T16:56:59.498597,sad
2021-05-03T16:57:07.378710,sad
2021-05-03T16:57:15.286260,sad
2021-05-03T16:57:23.169511,sad
2021-05-03T16:57:31.081426,fear
2021-05-03T16:57:39.057181,sad
2021-05-03T16:57:46.912064,sad
2021-05-03T16:57:54.671558,sad
2021-05-03T16:58:02.547023,fear
2021-05-03T16:58:10.354047,fear
2021-05-03T16:58:18.324217,neutral
2021-05-03T16:58:26.088984,sad
2021-05-03T16:58:33.934762,sad
2021-05-03T16:58:41.739810,fear
2021-05-03T16:58:49.609172,sad
2021-05-03T16:58:57.627077,sad
2021-05-03T16:59:05.541269,fear
2021-05-03T16:59:13.351018,sad
