Datetime,emotion
2021-05-08T17:07:45.300018,sad
2021-05-08T17:07:53.517774,sad
2021-05-08T17:08:02.921443,fear
2021-05-08T17:08:10.797239,sad
2021-05-08T17:08:18.741247,fear
2021-05-08T17:08:26.628688,fear
2021-05-08T17:08:34.646467,neutral
2021-05-08T17:08:42.574038,fear
2021-05-08T17:08:50.512338,happy
2021-05-08T17:08:58.423172,sad
2021-05-08T17:09:06.361442,fear
2021-05-08T17:09:14.508855,sad
2021-05-08T17:09:22.465858,fear
2021-05-08T17:09:30.406891,fear
2021-05-08T17:09:38.364090,sad
2021-05-08T17:09:46.295948,sad
2021-05-08T17:09:54.415188,sad
2021-05-08T17:10:02.366778,sad
2021-05-08T17:10:10.350627,sad
2021-05-08T17:10:18.338742,angry
2021-05-08T17:10:26.280595,sad
2021-05-08T17:10:34.406628,fear
2021-05-08T17:10:42.381025,sad
2021-05-08T17:10:50.363169,fear
2021-05-08T17:10:58.271974,fear
2021-05-08T17:11:06.240463,sad
2021-05-08T17:11:14.322056,sad
2021-05-08T17:11:22.305492,sad
2021-05-08T17:11:30.233844,neutral
2021-05-08T17:11:38.167833,sad
2021-05-08T17:11:46.119102,sad
2021-05-08T17:11:54.215704,sad
2021-05-08T17:12:02.142649,sad
2021-05-08T17:12:10.089804,neutral
2021-05-08T17:12:18.020646,fear
2021-05-08T17:12:25.974437,sad
2021-05-08T17:12:34.043680,sad
2021-05-08T17:12:41.996853,sad
2021-05-08T17:12:49.910301,fear
2021-05-08T17:12:57.856162,sad
2021-05-08T17:13:05.776486,sad
2021-05-08T17:13:13.820680,fear
2021-05-08T17:13:21.765862,sad
2021-05-08T17:13:29.743814,fear
2021-05-08T17:13:37.659270,neutral
2021-05-08T17:13:45.577943,sad
2021-05-08T17:13:53.620667,fear
2021-05-08T17:14:01.774863,sad
2021-05-08T17:14:09.747316,sad
2021-05-08T17:14:17.679029,sad
2021-05-08T17:14:25.564258,sad
2021-05-08T17:14:33.674480,fear
2021-05-08T17:14:41.629532,fear
2021-05-08T17:14:49.526044,fear
2021-05-08T17:14:57.390903,fear
2021-05-08T17:15:05.269841,sad
2021-05-08T17:15:13.345243,fear
2021-05-08T17:15:21.212116,sad
2021-05-08T17:15:29.113747,fear
2021-05-08T17:15:37.033436,sad
2021-05-08T17:15:44.949413,fear
2021-05-08T17:15:53.112080,fear
2021-05-08T17:16:01.041459,fear
2021-05-08T17:16:08.975651,angry
2021-05-08T17:16:17.023767,angry
2021-05-08T17:16:24.986853,sad
2021-05-08T17:16:33.103989,sad
2021-05-08T17:16:41.086499,fear
2021-05-08T17:16:49.024282,sad
2021-05-08T17:16:56.945724,fear
2021-05-08T17:17:05.008707,fear
2021-05-08T17:17:13.180771,angry
2021-05-08T17:17:21.102826,sad
2021-05-08T17:17:29.072154,fear
2021-05-08T17:17:37.002009,sad
2021-05-08T17:17:44.937965,angry
2021-05-08T17:17:52.989935,sad
2021-05-08T17:18:00.925755,angry
2021-05-08T17:18:08.800262,fear
2021-05-08T17:18:16.715997,fear
2021-05-08T17:18:24.736771,sad
2021-05-08T17:18:32.794769,sad
2021-05-08T17:18:40.698396,sad
2021-05-08T17:18:48.686252,sad
2021-05-08T17:18:56.592170,fear
2021-05-08T17:19:04.574255,fear
2021-05-08T17:19:12.679143,fear
2021-05-08T17:19:20.607339,sad
2021-05-08T17:19:28.651796,sad
2021-05-08T17:19:36.609422,sad
2021-05-08T17:19:44.621207,sad
2021-05-08T17:19:52.704372,sad
2021-05-08T17:20:00.685448,fear
2021-05-08T17:20:08.688775,sad
2021-05-08T17:20:16.666424,angry
2021-05-08T17:20:24.636325,angry
2021-05-08T17:20:32.697233,fear
2021-05-08T17:20:40.710073,sad
2021-05-08T17:20:48.699366,sad
2021-05-08T17:20:56.654292,sad
2021-05-08T17:21:04.720241,fear
2021-05-08T17:21:12.816428,fear
2021-05-08T17:21:20.769592,fear
2021-05-08T17:21:28.714062,fear
2021-05-08T17:21:36.639424,fear
2021-05-08T17:21:44.646084,fear
2021-05-08T17:21:52.785750,sad
2021-05-08T17:22:00.756932,fear
2021-05-08T17:22:08.680850,sad
2021-05-08T17:22:16.615691,sad
2021-05-08T17:22:24.583433,sad
2021-05-08T17:22:32.653301,sad
2021-05-08T17:22:40.582788,fear
2021-05-08T17:22:48.464032,sad
2021-05-08T17:22:56.368329,sad
2021-05-08T17:23:04.289429,sad
2021-05-08T17:23:12.336336,fear
2021-05-08T17:23:20.292989,fear
2021-05-08T17:23:28.206349,angry
2021-05-08T17:23:36.106921,fear
2021-05-08T17:23:43.996627,sad
2021-05-08T17:23:52.110619,fear
2021-05-08T17:24:00.040198,fear
2021-05-08T17:24:08.036376,fear
2021-05-08T17:24:16.002502,sad
2021-05-08T17:24:23.939380,fear
2021-05-08T17:24:31.998164,sad
2021-05-08T17:24:39.985314,fear
2021-05-08T17:24:47.955511,sad
2021-05-08T17:24:55.923317,fear
2021-05-08T17:25:03.894172,fear
2021-05-08T17:25:11.968093,fear
2021-05-08T17:25:19.924268,fear
2021-05-08T17:25:27.939351,sad
2021-05-08T17:25:35.904116,sad
2021-05-08T17:25:43.899522,fear
2021-05-08T17:25:51.939634,sad
2021-05-08T17:25:59.899931,sad
2021-05-08T17:26:07.890585,sad
2021-05-08T17:26:15.848925,fear
2021-05-08T17:26:23.830878,sad
2021-05-08T17:26:31.872815,surprise
2021-05-08T17:26:39.802877,sad
2021-05-08T17:26:47.736952,fear
2021-05-08T17:26:55.656120,sad
2021-05-08T17:27:03.665795,sad
2021-05-08T17:27:11.723338,fear
2021-05-08T17:27:19.653037,fear
2021-05-08T17:27:27.606531,fear
2021-05-08T17:27:35.576257,angry
2021-05-08T17:27:43.530531,sad
2021-05-08T17:27:51.610229,fear
2021-05-08T17:27:59.563533,sad
2021-05-08T17:28:07.483483,sad
2021-05-08T17:28:15.405429,fear
2021-05-08T17:28:23.352447,fear
2021-05-08T17:28:31.495128,sad
2021-05-08T17:28:39.413915,fear
2021-05-08T17:28:47.405832,sad
2021-05-08T17:28:55.331167,sad
2021-05-08T17:29:03.311456,fear
2021-05-08T17:29:11.347103,fear
2021-05-08T17:29:19.286300,sad
2021-05-08T17:29:27.211578,sad
2021-05-08T17:29:35.165662,sad
2021-05-08T17:29:43.102866,fear
2021-05-08T17:29:51.136331,sad
2021-05-08T17:29:59.047271,sad
2021-05-08T17:30:06.940614,sad
2021-05-08T17:30:14.904828,happy
2021-05-08T17:30:22.833004,sad
2021-05-08T17:30:30.901375,happy
2021-05-08T17:30:38.818974,fear
2021-05-08T17:30:46.748020,sad
2021-05-08T17:30:54.717960,angry
2021-05-08T17:31:02.612504,sad
2021-05-08T17:31:10.714814,fear
2021-05-08T17:31:18.833389,fear
2021-05-08T17:31:26.769603,fear
2021-05-08T17:31:34.678723,surprise
2021-05-08T17:31:42.632628,fear
2021-05-08T17:31:50.749266,fear
2021-05-08T17:31:58.675600,fear
2021-05-08T17:32:06.670697,fear
2021-05-08T17:32:14.612800,sad
2021-05-08T17:32:22.582458,sad
2021-05-08T17:32:30.647604,sad
2021-05-08T17:32:38.684536,sad
2021-05-08T17:32:46.658493,fear
2021-05-08T17:32:54.634158,fear
2021-05-08T17:33:02.589557,fear
2021-05-08T17:33:10.621583,fear
2021-05-08T17:33:18.577085,sad
2021-05-08T17:33:26.813983,sad
2021-05-08T17:33:34.751870,sad
2021-05-08T17:33:42.783471,fear
2021-05-08T17:33:50.860509,sad
2021-05-08T17:33:58.873369,fear
2021-05-08T17:34:06.826103,fear
2021-05-08T17:34:14.787470,fear
2021-05-08T17:34:22.740617,fear
2021-05-08T17:34:30.818448,fear
2021-05-08T17:34:38.755173,sad
2021-05-08T17:34:46.753204,fear
2021-05-08T17:34:54.725604,fear
2021-05-08T17:35:02.636116,angry
2021-05-08T17:35:10.713683,fear
2021-05-08T17:35:18.700090,fear
2021-05-08T17:35:26.657186,fear
2021-05-08T17:35:34.632240,sad
2021-05-08T17:35:42.608631,fear
2021-05-08T17:35:50.656017,fear
2021-05-08T17:35:58.672162,sad
2021-05-08T17:36:06.639394,sad
2021-05-08T17:36:14.624526,fear
2021-05-08T17:36:22.620795,sad
2021-05-08T17:36:30.772712,sad
2021-05-08T17:36:38.703421,fear
2021-05-08T17:36:46.653511,happy
2021-05-08T17:36:54.575251,fear
2021-05-08T17:37:02.506475,sad
2021-05-08T17:37:10.561109,sad
2021-05-08T17:37:18.539701,sad
2021-05-08T17:37:26.493189,fear
2021-05-08T17:37:34.427601,sad
2021-05-08T17:37:42.368848,sad
2021-05-08T17:37:50.465783,fear
2021-05-08T17:37:58.450854,sad
2021-05-08T17:38:06.352034,sad
2021-05-08T17:38:14.305462,sad
2021-05-08T17:38:22.224868,fear
2021-05-08T17:38:30.277443,sad
2021-05-08T17:38:38.288492,fear
2021-05-08T17:38:46.236768,sad
2021-05-08T17:38:54.173428,angry
2021-05-08T17:39:02.055012,angry
2021-05-08T17:39:10.115878,sad
2021-05-08T17:39:18.061196,neutral
2021-05-08T17:39:25.972845,fear
2021-05-08T17:39:33.933352,angry
2021-05-08T17:39:41.814938,fear
2021-05-08T17:39:49.874203,angry
2021-05-08T17:39:57.802206,angry
2021-05-08T17:40:05.743022,fear
2021-05-08T17:40:13.661654,sad
2021-05-08T17:40:21.589419,fear
2021-05-08T17:40:29.716947,fear
2021-05-08T17:40:37.686513,fear
2021-05-08T17:40:45.634920,fear
2021-05-08T17:40:53.582873,sad
2021-05-08T17:41:01.650516,fear
2021-05-08T17:41:09.779404,fear
2021-05-08T17:41:17.715959,fear
2021-05-08T17:41:25.663804,fear
2021-05-08T17:41:33.599745,sad
2021-05-08T17:41:41.565383,fear
2021-05-08T17:41:49.670880,fear
2021-05-08T17:41:57.600981,sad
2021-05-08T17:42:05.576285,sad
2021-05-08T17:42:13.501226,fear
2021-05-08T17:42:21.450996,angry
2021-05-08T17:42:29.857892,angry
2021-05-08T17:42:37.803650,fear
2021-05-08T17:42:45.726731,happy
2021-05-08T17:42:53.700669,fear
2021-05-08T17:43:01.589724,sad
2021-05-08T17:43:09.625384,fear
2021-05-08T17:43:17.552730,sad
2021-05-08T17:43:25.497520,sad
2021-05-08T17:43:33.442672,sad
2021-05-08T17:43:41.381311,sad
2021-05-08T17:43:49.498891,fear
2021-05-08T17:43:57.462308,fear
2021-05-08T17:44:05.393246,sad
2021-05-08T17:44:13.387646,happy
2021-05-08T17:44:21.336496,angry
2021-05-08T17:44:29.461109,fear
2021-05-08T17:44:37.368070,fear
2021-05-08T17:44:45.297936,neutral
2021-05-08T17:44:53.213475,fear
2021-05-08T17:45:01.082748,fear
2021-05-08T17:45:09.134933,sad
2021-05-08T17:45:17.086417,happy
2021-05-08T17:45:25.014189,happy
2021-05-08T17:45:32.915298,fear
2021-05-08T17:45:40.833916,sad
2021-05-08T17:45:48.841300,fear
2021-05-08T17:45:56.735486,fear
2021-05-08T17:46:04.627111,sad
2021-05-08T17:46:12.518939,sad
2021-05-08T17:46:20.463487,sad
2021-05-08T17:46:28.554464,sad
2021-05-08T17:46:36.470900,fear
2021-05-08T17:46:44.447808,fear
2021-05-08T17:46:52.393721,fear
2021-05-08T17:47:00.282758,sad
2021-05-08T17:47:08.385906,sad
2021-05-08T17:47:16.510660,neutral
2021-05-08T17:47:24.440499,sad
2021-05-08T17:47:32.355311,sad
2021-05-08T17:47:40.269398,sad
2021-05-08T17:47:48.314760,sad
2021-05-08T17:47:56.259906,sad
2021-05-08T17:48:04.236368,fear
2021-05-08T17:48:12.173977,fear
2021-05-08T17:48:20.111004,fear
2021-05-08T17:48:28.229411,fear
2021-05-08T17:48:36.133266,sad
2021-05-08T17:48:44.089244,fear
2021-05-08T17:48:52.189472,sad
2021-05-08T17:49:00.281953,sad
2021-05-08T17:49:08.525269,angry
2021-05-08T17:49:16.489237,angry
2021-05-08T17:49:24.459541,angry
2021-05-08T17:49:32.390133,sad
2021-05-08T17:49:40.301520,sad
2021-05-08T17:49:48.350714,fear
2021-05-08T17:49:56.273658,fear
2021-05-08T17:50:04.208763,fear
2021-05-08T17:50:12.097778,fear
2021-05-08T17:50:20.000320,sad
2021-05-08T17:50:28.024585,fear
2021-05-08T17:50:35.979318,sad
2021-05-08T17:50:43.916112,fear
2021-05-08T17:50:51.841385,sad
2021-05-08T17:50:59.808753,fear
2021-05-08T17:51:07.823627,fear
2021-05-08T17:51:15.806520,fear
2021-05-08T17:51:23.686450,fear
2021-05-08T17:51:31.562552,fear
2021-05-08T17:51:39.422049,fear
2021-05-08T17:51:47.431064,sad
2021-05-08T17:51:55.264558,sad
2021-05-08T17:52:03.179211,fear
2021-05-08T17:52:11.107560,fear
2021-05-08T17:52:19.040601,sad
2021-05-08T17:52:27.139153,angry
2021-05-08T17:52:35.116547,fear
2021-05-08T17:52:43.406823,sad
2021-05-08T17:52:51.341975,fear
2021-05-08T17:52:59.284054,fear
2021-05-08T17:53:07.387441,fear
2021-05-08T17:53:15.308784,fear
2021-05-08T17:53:23.258418,fear
2021-05-08T17:53:31.163912,fear
2021-05-08T17:53:39.087799,sad
2021-05-08T17:53:47.155465,sad
2021-05-08T17:53:55.102431,angry
2021-05-08T17:54:03.013023,sad
2021-05-08T17:54:10.913899,sad
2021-05-08T17:54:18.832706,sad
2021-05-08T17:54:26.882675,sad
2021-05-08T17:54:34.865163,angry
2021-05-08T17:54:43.234488,sad
2021-05-08T17:54:51.221264,fear
2021-05-08T17:54:59.142229,fear
2021-05-08T17:55:07.236551,angry
2021-05-08T17:55:15.225976,sad
2021-05-08T17:55:23.177392,fear
2021-05-08T17:55:31.159034,sad
2021-05-08T17:55:41.030001,sad
2021-05-08T17:55:49.098659,fear
2021-05-08T17:55:57.014905,fear
2021-05-08T17:56:04.980239,sad
2021-05-08T17:56:12.918757,sad
2021-05-08T17:56:20.834578,sad
2021-05-08T17:56:30.243833,sad
2021-05-08T17:56:38.187327,fear
2021-05-08T17:56:46.392206,sad
2021-05-08T17:56:54.376678,fear
2021-05-08T17:57:02.345781,fear
2021-05-08T17:57:10.407657,sad
2021-05-08T17:57:18.323697,surprise
2021-05-08T17:57:26.236909,fear
2021-05-08T17:57:34.150124,happy
