Datetime,emotion
2021-05-04T10:08:31.813932,angry
2021-05-04T10:08:41.216553,sad
2021-05-04T10:08:50.815315,neutral
2021-05-04T10:08:59.328311,sad
2021-05-04T10:09:07.870409,sad
2021-05-04T10:09:16.396350,sad
2021-05-04T10:09:24.730722,sad
2021-05-04T10:09:33.416403,sad
2021-05-04T10:09:41.882412,sad
2021-05-04T10:09:50.439321,sad
2021-05-04T10:09:58.904354,sad
2021-05-04T10:10:07.364234,sad
2021-05-04T10:10:15.892296,fear
2021-05-04T10:10:24.267314,sad
2021-05-04T10:10:32.688386,sad
2021-05-04T10:10:41.175718,sad
2021-05-04T10:10:49.587842,sad
2021-05-04T10:10:58.225328,fear
2021-05-04T10:11:06.741275,neutral
2021-05-04T10:11:15.221487,sad
2021-05-04T10:11:23.745579,sad
2021-05-04T10:11:32.268423,sad
2021-05-04T10:11:40.974438,angry
2021-05-04T10:11:49.404037,sad
2021-05-04T10:11:57.879945,sad
2021-05-04T10:12:06.238967,sad
2021-05-04T10:12:14.797391,sad
2021-05-04T10:12:23.386174,neutral
2021-05-04T10:12:31.775564,sad
2021-05-04T10:12:40.197142,sad
2021-05-04T10:12:48.645860,fear
2021-05-04T10:12:57.181324,sad
2021-05-04T10:13:05.846258,sad
2021-05-04T10:13:14.224200,sad
2021-05-04T10:13:22.742034,sad
2021-05-04T10:13:31.162102,sad
2021-05-04T10:13:39.582400,angry
2021-05-04T10:13:48.221406,sad
2021-05-04T10:13:56.596103,sad
2021-05-04T10:14:05.093165,fear
2021-05-04T10:14:13.473985,sad
2021-05-04T10:14:21.823357,sad
2021-05-04T10:14:30.415376,sad
2021-05-04T10:14:39.010069,sad
2021-05-04T10:14:47.376876,sad
2021-05-04T10:14:55.596205,sad
2021-05-04T10:15:04.046105,happy
2021-05-04T10:15:12.665763,sad
2021-05-04T10:15:21.182094,sad
2021-05-04T10:15:29.550105,sad
2021-05-04T10:15:37.947694,sad
2021-05-04T10:15:46.471236,sad
2021-05-04T10:15:55.039989,sad
2021-05-04T10:16:03.934917,neutral
2021-05-04T10:16:12.525236,happy
2021-05-04T10:16:21.096132,happy
2021-05-04T10:16:29.703809,happy
2021-05-04T10:16:38.235843,neutral
2021-05-04T10:16:46.681538,sad
2021-05-04T10:16:55.111980,sad
2021-05-04T10:17:03.717598,sad
2021-05-04T10:17:12.270782,sad
2021-05-04T10:17:20.849576,sad
2021-05-04T10:17:29.257193,sad
2021-05-04T10:17:37.705077,sad
2021-05-04T10:17:46.072148,sad
2021-05-04T10:17:54.428940,happy
2021-05-04T10:18:03.054487,sad
2021-05-04T10:18:11.475852,fear
2021-05-04T10:18:19.760777,neutral
2021-05-04T10:18:28.236897,sad
2021-05-04T10:18:36.750236,sad
2021-05-04T10:18:45.281727,sad
2021-05-04T10:18:53.638921,sad
2021-05-04T10:19:02.041569,sad
2021-05-04T10:19:10.437099,sad
2021-05-04T10:19:18.875186,sad
2021-05-04T10:19:27.436612,sad
2021-05-04T10:19:35.887524,sad
2021-05-04T10:19:44.332872,sad
2021-05-04T10:19:52.781956,angry
2021-05-04T10:20:01.238425,sad
2021-05-04T10:20:09.940919,sad
2021-05-04T10:20:18.375006,fear
2021-05-04T10:20:26.964765,angry
2021-05-04T10:20:35.459455,sad
2021-05-04T10:20:43.819964,fear
2021-05-04T10:20:52.371553,sad
2021-05-04T10:21:00.957693,neutral
2021-05-04T10:21:09.358620,sad
2021-05-04T10:21:17.759404,sad
2021-05-04T10:21:26.130644,sad
2021-05-04T10:21:34.622431,fear
2021-05-04T10:21:43.078278,sad
2021-05-04T10:21:51.490838,sad
2021-05-04T10:21:59.904668,sad
2021-05-04T10:22:08.426986,sad
2021-05-04T10:22:16.939040,angry
2021-05-04T10:22:25.477740,sad
2021-05-04T10:22:33.962456,neutral
2021-05-04T10:22:42.370497,happy
2021-05-04T10:22:50.753549,fear
2021-05-04T10:22:59.344661,sad
2021-05-04T10:23:07.807594,sad
2021-05-04T10:23:16.292436,angry
2021-05-04T10:23:24.769395,fear
2021-05-04T10:23:33.303436,angry
2021-05-04T10:23:41.917771,neutral
2021-05-04T10:23:50.395320,fear
2021-05-04T10:23:58.896438,sad
2021-05-04T10:24:07.278326,sad
2021-05-04T10:24:15.693354,neutral
2021-05-04T10:24:24.308279,sad
2021-05-04T10:24:32.771396,sad
2021-05-04T10:24:41.233156,sad
2021-05-04T10:24:49.710398,sad
2021-05-04T10:24:58.230944,sad
2021-05-04T10:25:06.770579,neutral
2021-05-04T10:25:15.201383,sad
2021-05-04T10:25:23.687345,sad
2021-05-04T10:25:32.187447,sad
2021-05-04T10:25:40.652119,sad
2021-05-04T10:25:49.228896,sad
2021-05-04T10:25:58.145221,neutral
2021-05-04T10:26:06.493475,angry
2021-05-04T10:26:15.462942,angry
2021-05-04T10:26:23.924555,sad
2021-05-04T10:26:32.438005,sad
2021-05-04T10:26:40.906150,fear
2021-05-04T10:26:49.315308,sad
2021-05-04T10:26:57.742769,angry
2021-05-04T10:27:06.171591,happy
2021-05-04T10:27:14.707967,happy
2021-05-04T10:27:23.138865,fear
2021-05-04T10:27:31.685608,angry
2021-05-04T10:27:40.119087,sad
2021-05-04T10:27:48.565029,sad
2021-05-04T10:27:57.192631,fear
2021-05-04T10:28:05.590999,angry
2021-05-04T10:28:14.172643,angry
2021-05-04T10:28:22.576976,sad
2021-05-04T10:28:30.997035,sad
2021-05-04T10:28:39.548057,fear
2021-05-04T10:28:48.110343,angry
2021-05-04T10:28:56.496142,sad
2021-05-04T10:29:04.967184,sad
2021-05-04T10:29:13.384759,sad
2021-05-04T10:29:21.827140,sad
2021-05-04T10:29:30.305240,sad
2021-05-04T10:29:38.878818,angry
2021-05-04T10:29:47.269870,sad
2021-05-04T10:29:55.720801,sad
2021-05-04T10:30:04.134918,sad
2021-05-04T10:30:12.759301,sad
2021-05-04T10:30:21.286827,sad
2021-05-04T10:30:29.648856,sad
2021-05-04T10:30:38.558828,neutral
2021-05-04T10:30:47.160738,sad
2021-05-04T10:30:55.559864,fear
2021-05-04T10:31:03.907863,sad
2021-05-04T10:31:12.250900,sad
2021-05-04T10:31:20.637015,sad
2021-05-04T10:31:29.055191,sad
2021-05-04T10:31:37.600652,sad
2021-05-04T10:31:45.996766,neutral
2021-05-04T10:31:54.824959,happy
