Datetime,emotion
2021-05-04T11:13:49.858824,sad
2021-05-04T11:13:59.796516,sad
2021-05-04T11:14:09.448428,sad
2021-05-04T11:14:19.238211,sad
2021-05-04T11:14:29.165790,sad
2021-05-04T11:14:39.056682,sad
2021-05-04T11:14:48.798765,sad
2021-05-04T11:14:58.840402,neutral
2021-05-04T11:15:09.062576,sad
2021-05-04T11:15:19.333817,fear
2021-05-04T11:15:29.410272,angry
2021-05-04T11:15:39.114437,sad
2021-05-04T11:15:47.839520,neutral
2021-05-04T11:15:56.278897,fear
2021-05-04T11:16:04.380917,sad
2021-05-04T11:16:12.277304,fear
2021-05-04T11:16:20.325946,sad
2021-05-04T11:16:28.143102,neutral
2021-05-04T11:16:36.041800,happy
2021-05-04T11:16:43.987042,sad
2021-05-04T11:16:51.961245,sad
2021-05-04T11:17:00.067011,sad
2021-05-04T11:17:08.008740,sad
2021-05-04T11:17:15.919410,sad
2021-05-04T11:17:23.812197,sad
2021-05-04T11:17:31.737814,sad
2021-05-04T11:17:39.615695,sad
2021-05-04T11:17:47.613851,sad
2021-05-04T11:17:55.511939,fear
2021-05-04T11:18:03.389094,neutral
2021-05-04T11:18:11.340661,fear
2021-05-04T11:18:19.354138,sad
2021-05-04T11:18:27.498500,surprise
2021-05-04T11:18:35.399375,sad
2021-05-04T11:18:43.296382,fear
2021-05-04T11:18:51.190713,fear
2021-05-04T11:18:59.111376,neutral
2021-05-04T11:19:07.120801,sad
2021-05-04T11:19:15.060894,sad
2021-05-04T11:19:22.971235,fear
2021-05-04T11:19:30.837998,sad
2021-05-04T11:19:38.680954,fear
2021-05-04T11:19:46.672585,fear
2021-05-04T11:19:54.538665,neutral
2021-05-04T11:20:02.658909,sad
2021-05-04T11:20:10.652178,sad
2021-05-04T11:20:18.425680,angry
2021-05-04T11:20:26.405526,sad
2021-05-04T11:20:34.288945,sad
2021-05-04T11:20:42.179298,sad
2021-05-04T11:20:50.052302,fear
2021-05-04T11:20:57.936931,sad
2021-05-04T11:21:05.974830,sad
2021-05-04T11:21:13.898723,fear
2021-05-04T11:21:21.792696,sad
2021-05-04T11:21:29.674913,neutral
2021-05-04T11:21:37.565219,sad
2021-05-04T11:21:45.654224,sad
2021-05-04T11:21:53.520150,sad
2021-05-04T11:22:01.395342,sad
2021-05-04T11:22:09.243239,sad
2021-05-04T11:22:17.107743,sad
2021-05-04T11:22:25.072222,sad
2021-05-04T11:22:32.938217,sad
2021-05-04T11:22:40.796132,neutral
