Datetime,emotion
2021-05-27T15:10:42.036371,sad
2021-05-27T15:10:50.227623,sad
2021-05-27T15:10:58.248747,sad
2021-05-27T15:11:09.031002,sad
2021-05-27T15:11:17.019913,neutral
2021-05-27T15:11:25.000456,neutral
2021-05-27T15:11:33.097099,sad
2021-05-27T15:11:41.095559,sad
2021-05-27T15:11:49.156571,sad
2021-05-27T15:11:57.072435,sad
2021-05-27T15:12:05.055096,neutral
2021-05-27T15:12:13.183914,sad
2021-05-27T15:12:21.164742,sad
2021-05-27T15:12:29.191764,sad
2021-05-27T15:12:37.175429,neutral
2021-05-27T15:12:45.171475,sad
2021-05-27T15:12:53.155047,neutral
2021-05-27T15:13:01.332470,sad
2021-05-27T15:13:09.334732,neutral
2021-05-27T15:13:17.441327,happy
2021-05-27T15:13:25.480019,happy
2021-05-27T15:13:33.694829,angry
2021-05-27T15:13:41.967086,neutral
2021-05-27T15:13:50.125999,neutral
2021-05-27T15:13:58.228677,happy
2021-05-27T15:14:06.165180,sad
2021-05-27T15:14:14.288006,sad
2021-05-27T15:14:22.195724,sad
2021-05-27T15:14:33.427443,fear
2021-05-27T15:14:42.315334,sad
2021-05-27T15:14:50.313519,sad
2021-05-27T15:14:58.451592,fear
2021-05-27T15:15:06.407243,neutral
2021-05-27T15:15:14.348486,sad
2021-05-27T15:15:22.293891,neutral
2021-05-27T15:15:30.258268,neutral
2021-05-27T15:15:38.414002,neutral
2021-05-27T15:15:46.325621,sad
2021-05-27T15:15:54.273005,sad
2021-05-27T15:16:02.206551,neutral
2021-05-27T15:16:10.190705,neutral
2021-05-27T15:16:18.297270,neutral
2021-05-27T15:16:26.307212,neutral
2021-05-27T15:16:34.266435,neutral
2021-05-27T15:16:42.216129,neutral
2021-05-27T15:16:50.186836,neutral
2021-05-27T15:16:58.304353,neutral
2021-05-27T15:17:06.270185,fear
2021-05-27T15:17:14.208057,fear
2021-05-27T15:17:22.157509,sad
2021-05-27T15:17:30.107425,sad
2021-05-27T15:17:38.172061,fear
2021-05-27T15:17:46.159486,neutral
2021-05-27T15:17:54.154442,happy
2021-05-27T15:18:02.152405,sad
2021-05-27T15:18:10.128507,neutral
2021-05-27T15:18:18.274884,sad
2021-05-27T15:18:26.241300,neutral
2021-05-27T15:18:34.241635,neutral
2021-05-27T15:18:42.188236,neutral
2021-05-27T15:18:50.119440,neutral
2021-05-27T15:18:58.252515,neutral
2021-05-27T15:19:06.219617,sad
2021-05-27T15:19:14.473137,sad
