EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
Pass,7,Pass,4.166666666666666
Pass,7,Pass,8.333333333333332
Pass,7,Pass,12.5
Pass,7,Pass,16.666666666666664
Pass,7,Pass,20.833333333333332
Pass,7,Pass,25.0
Pass,7,Pass,29.166666666666664
Pass,7,Pass,33.33333333333333
Pass,7,Pass,37.5
Pass,7,Pass,41.666666666666664
Pass,7,Pass,45.83333333333333
Pass,7,Pass,50.0
Pass,7,Pass,54.166666666666664
Pass,7,Pass,58.33333333333333
Pass,7,Pass,62.5
Pass,7,Pass,66.66666666666666
Pass,7,Pass,70.83333333333333
Pass,7,Pass,75.0
Pass,7,Pass,79.16666666666666
Pass,7,Pass,83.33333333333333
neutral,0,63.837043275656896,87.5
happy,3,99.94893669777731,91.66666666666666
angry,6,65.04290491598277,95.83333333333333
neutral,0,45.13970911502838,100.0
sad,2,72.16989232122256,104.16666666666666
neutral,0,75.14893412590027,108.33333333333333
neutral,0,52.67954186675202,112.5
Pass,7,Pass,116.66666666666666
sad,2,86.81810937143676,120.83333333333333
neutral,0,86.65935397148132,125.0
Pass,7,Pass,129.16666666666666
sad,2,66.0446286201477,133.33333333333331
sad,2,96.99308854300311,137.5
Pass,7,Pass,141.66666666666666
sad,2,98.06817793033386,145.83333333333331
Pass,7,Pass,150.0
Pass,7,Pass,154.16666666666666
Pass,7,Pass,158.33333333333331
happy,3,99.17239546775818,162.5
neutral,0,86.13429830857535,166.66666666666666
sad,2,42.101362347602844,170.83333333333331
neutral,0,81.79121017456055,175.0
sad,2,61.74195408821106,179.16666666666666
Pass,7,Pass,183.33333333333331
sad,2,48.51739424259731,187.5
Pass,7,Pass,191.66666666666666
Pass,7,Pass,195.83333333333331
Pass,7,Pass,200.0
neutral,0,76.99267864227295,204.16666666666666
Pass,7,Pass,208.33333333333331
neutral,0,62.27899193763733,212.5
happy,3,85.44025421142578,216.66666666666666
neutral,0,31.80311918258667,220.83333333333331
neutral,0,96.30057215690613,225.0
neutral,0,87.1017209948135,229.16666666666666
happy,3,48.938384652137756,233.33333333333331
happy,3,69.22668218612671,237.5
neutral,0,87.49205470085144,241.66666666666666
neutral,0,89.9109423160553,245.83333333333331
neutral,0,51.03583335876465,250.0
happy,3,86.70323491096497,254.16666666666666
neutral,0,89.70401164341112,258.3333333333333
