EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
sad,2,97.64332757254407,4.166666666666666
Pass,7,Pass,8.333333333333332
Pass,7,Pass,12.5
Pass,7,Pass,16.666666666666664
Pass,7,Pass,20.833333333333332
Pass,7,Pass,25.0
Pass,7,Pass,29.166666666666664
Pass,7,Pass,33.33333333333333
Pass,7,Pass,37.5
Pass,7,Pass,41.666666666666664
Pass,7,Pass,45.83333333333333
Pass,7,Pass,50.0
Pass,7,Pass,54.166666666666664
Pass,7,Pass,58.33333333333333
Pass,7,Pass,62.5
Pass,7,Pass,66.66666666666666
Pass,7,Pass,70.83333333333333
Pass,7,Pass,75.0
neutral,0,63.42760920524597,79.16666666666666
Pass,7,Pass,83.33333333333333
Pass,7,Pass,87.5
Pass,7,Pass,91.66666666666666
Pass,7,Pass,95.83333333333333
Pass,7,Pass,100.0
neutral,0,92.41923093795776,104.16666666666666
Pass,7,Pass,108.33333333333333
Pass,7,Pass,112.5
Pass,7,Pass,116.66666666666666
Pass,7,Pass,120.83333333333333
Pass,7,Pass,125.0
Pass,7,Pass,129.16666666666666
Pass,7,Pass,133.33333333333331
Pass,7,Pass,137.5
Pass,7,Pass,141.66666666666666
Pass,7,Pass,145.83333333333331
neutral,0,62.389105558395386,150.0
neutral,0,75.46215653419495,154.16666666666666
sad,2,77.38584876060486,158.33333333333331
sad,2,94.96851623433635,162.5
Pass,7,Pass,166.66666666666666
sad,2,95.65850496292114,170.83333333333331
Pass,7,Pass,175.0
Pass,7,Pass,179.16666666666666
Pass,7,Pass,183.33333333333331
Pass,7,Pass,187.5
Pass,7,Pass,191.66666666666666
Pass,7,Pass,195.83333333333331
Pass,7,Pass,200.0
sad,2,92.24502398044014,204.16666666666666
Pass,7,Pass,208.33333333333331
Pass,7,Pass,212.5
Pass,7,Pass,216.66666666666666
sad,2,92.48035550117493,220.83333333333331
sad,2,98.4164420565505,225.0
Pass,7,Pass,229.16666666666666
Pass,7,Pass,233.33333333333331
Pass,7,Pass,237.5
Pass,7,Pass,241.66666666666666
sad,2,68.94726383057402,245.83333333333331
sad,2,51.21496901333701,250.0
Pass,7,Pass,254.16666666666666
Pass,7,Pass,258.3333333333333
Pass,7,Pass,262.5
Pass,7,Pass,266.66666666666663
Pass,7,Pass,270.8333333333333
Pass,7,Pass,275.0
Pass,7,Pass,279.16666666666663
Pass,7,Pass,283.3333333333333
sad,2,56.09347558578703,287.5
Pass,7,Pass,291.66666666666663
Pass,7,Pass,295.8333333333333
Pass,7,Pass,300.0
Pass,7,Pass,304.16666666666663
sad,2,94.58037679429331,308.3333333333333
Pass,7,Pass,312.5
Pass,7,Pass,316.66666666666663
sad,2,57.575106620788574,320.8333333333333
fear,4,71.01874774806188,325.0
Pass,7,Pass,329.16666666666663
neutral,0,87.97261118888855,333.3333333333333
Pass,7,Pass,337.5
Pass,7,Pass,341.66666666666663
neutral,0,75.88001777171877,345.8333333333333
sad,2,96.13180160522461,350.0
Pass,7,Pass,354.16666666666663
Pass,7,Pass,358.3333333333333
Pass,7,Pass,362.5
fear,4,57.087994466780955,366.66666666666663
Pass,7,Pass,370.8333333333333
Pass,7,Pass,375.0
Pass,7,Pass,379.16666666666663
Pass,7,Pass,383.3333333333333
Pass,7,Pass,387.5
Pass,7,Pass,391.66666666666663
Pass,7,Pass,395.8333333333333
Pass,7,Pass,400.0
Pass,7,Pass,404.16666666666663
Pass,7,Pass,408.3333333333333
Pass,7,Pass,412.5
Pass,7,Pass,416.66666666666663
Pass,7,Pass,420.8333333333333
Pass,7,Pass,425.0
Pass,7,Pass,429.16666666666663
Pass,7,Pass,433.3333333333333
Pass,7,Pass,437.5
Pass,7,Pass,441.66666666666663
Pass,7,Pass,445.8333333333333
Pass,7,Pass,450.0
Pass,7,Pass,454.16666666666663
