Datetime,emotion
2021-03-16T18:44:11.111137,angry
2021-03-16T18:44:19.028379,fear
2021-03-16T18:44:27.846397,angry
2021-03-16T18:44:35.627522,fear
2021-03-16T18:44:43.420520,fear
2021-03-16T18:44:51.366761,angry
2021-03-16T18:44:59.274881,angry
2021-03-16T18:45:07.459864,neutral
2021-03-16T18:45:15.256939,neutral
2021-03-16T18:45:23.112098,neutral
2021-03-16T18:45:31.162126,neutral
2021-03-16T18:45:39.206434,fear
2021-03-16T18:45:47.104075,sad
2021-03-16T18:45:55.147448,neutral
2021-03-16T18:46:03.150438,surprise
2021-03-16T18:46:11.090436,neutral
2021-03-16T18:46:19.004190,fear
2021-03-16T18:46:26.794105,sad
2021-03-16T18:46:34.530777,sad
2021-03-16T18:46:42.332166,sad
2021-03-16T18:46:50.079493,sad
2021-03-16T18:46:57.928314,sad
2021-03-16T18:47:05.684754,neutral
2021-03-16T18:47:13.468679,angry
2021-03-16T18:47:21.192447,neutral
2021-03-16T18:47:28.920432,sad
2021-03-16T18:47:36.771363,sad
2021-03-16T18:47:44.467725,sad
2021-03-16T18:47:52.240984,fear
2021-03-16T18:48:00.204714,sad
2021-03-16T18:48:08.061801,sad
2021-03-16T18:48:15.925896,sad
2021-03-16T18:48:24.031549,sad
2021-03-16T18:48:31.794138,sad
2021-03-16T18:48:39.573505,fear
2021-03-16T18:48:47.350191,sad
2021-03-16T18:48:55.275934,sad
2021-03-16T18:49:03.150016,sad
2021-03-16T18:49:11.065155,sad
2021-03-16T18:49:18.801198,sad
2021-03-16T18:49:26.529048,sad
2021-03-16T18:49:34.422733,sad
2021-03-16T18:49:42.233076,neutral
2021-03-16T18:49:49.997651,neutral
2021-03-16T18:49:57.775870,neutral
2021-03-16T18:50:05.531797,sad
2021-03-16T18:50:13.286761,sad
2021-03-16T18:50:21.157420,neutral
2021-03-16T18:50:29.032429,neutral
2021-03-16T18:50:36.769735,neutral
2021-03-16T18:50:44.604661,neutral
2021-03-16T18:50:52.358159,fear
2021-03-16T18:51:00.356276,angry
2021-03-16T18:51:08.249764,neutral
2021-03-16T18:51:16.192221,sad
2021-03-16T18:51:23.966123,neutral
2021-03-16T18:51:31.883226,sad
2021-03-16T18:51:39.875187,neutral
2021-03-16T18:51:47.635927,neutral
2021-03-16T18:51:55.414900,neutral
2021-03-16T18:52:03.199695,neutral
2021-03-16T18:52:10.968556,sad
2021-03-16T18:52:18.872904,sad
2021-03-16T18:52:26.719722,neutral
2021-03-16T18:52:34.732005,sad
2021-03-16T18:52:42.612506,fear
2021-03-16T18:52:50.407807,sad
2021-03-16T18:52:58.250092,sad
2021-03-16T18:53:06.049192,sad
2021-03-16T18:53:13.937274,angry
2021-03-16T18:53:21.749396,sad
2021-03-16T18:53:29.578639,angry
2021-03-16T18:53:37.510571,angry
2021-03-16T18:53:45.381418,sad
2021-03-16T18:53:53.164854,fear
2021-03-16T18:54:01.066261,fear
2021-03-16T18:54:08.934573,angry
2021-03-16T18:54:16.825673,sad
2021-03-16T18:54:24.655269,sad
2021-03-16T18:54:32.549301,neutral
2021-03-16T18:54:40.408429,sad
2021-03-16T18:54:48.256621,neutral
2021-03-16T18:54:56.261998,neutral
2021-03-16T18:55:04.002857,neutral
2021-03-16T18:55:11.750566,neutral
2021-03-16T18:55:19.518199,sad
2021-03-16T18:55:27.198634,sad
2021-03-16T18:55:35.079767,sad
2021-03-16T18:55:42.844920,angry
2021-03-16T18:55:50.603925,sad
2021-03-16T18:55:58.376090,sad
2021-03-16T18:56:06.152059,angry
2021-03-16T18:56:13.953299,neutral
2021-03-16T18:56:21.686397,sad
2021-03-16T18:56:29.406953,surprise
2021-03-16T18:56:37.188008,fear
2021-03-16T18:56:44.942681,sad
2021-03-16T18:56:52.781224,neutral
2021-03-16T18:57:00.487616,fear
2021-03-16T18:57:08.199036,neutral
2021-03-16T18:57:16.144875,angry
2021-03-16T18:57:23.903140,sad
2021-03-16T18:57:31.743886,fear
2021-03-16T18:57:39.529329,sad
2021-03-16T18:57:47.321616,neutral
2021-03-16T18:57:55.192051,sad
2021-03-16T18:58:03.155148,neutral
2021-03-16T18:58:10.994859,sad
2021-03-16T18:58:18.957964,angry
2021-03-16T18:58:26.985573,angry
2021-03-16T18:58:34.778602,sad
2021-03-16T18:58:42.539081,fear
2021-03-16T18:58:50.331138,sad
2021-03-16T18:58:58.101278,sad
2021-03-16T18:59:05.849859,sad
2021-03-16T18:59:13.588616,sad
2021-03-16T18:59:21.374773,sad
2021-03-16T18:59:29.257949,neutral
2021-03-16T18:59:37.041324,angry
2021-03-16T18:59:44.870588,sad
2021-03-16T18:59:52.672960,sad
2021-03-16T19:00:00.443039,fear
2021-03-16T19:00:08.289514,angry
2021-03-16T19:00:16.062911,fear
2021-03-16T19:00:23.871814,sad
2021-03-16T19:00:31.720072,sad
2021-03-16T19:00:39.516153,angry
2021-03-16T19:00:47.351406,angry
2021-03-16T19:00:55.152180,neutral
2021-03-16T19:01:02.927533,angry
2021-03-16T19:01:10.658540,fear
2021-03-16T19:01:18.476888,fear
2021-03-16T19:01:26.357425,angry
2021-03-16T19:01:34.077200,sad
2021-03-16T19:01:41.815797,sad
2021-03-16T19:01:49.608308,sad
2021-03-16T19:01:57.426762,angry
2021-03-16T19:02:05.250433,sad
2021-03-16T19:02:13.008382,sad
2021-03-16T19:02:20.737134,sad
2021-03-16T19:02:28.485832,sad
2021-03-16T19:02:36.220667,sad
2021-03-16T19:02:44.164158,sad
2021-03-16T19:02:52.095698,neutral
2021-03-16T19:02:59.874625,angry
2021-03-16T19:03:07.644657,sad
2021-03-16T19:03:15.506154,sad
2021-03-16T19:03:23.358668,neutral
2021-03-16T19:03:31.313017,sad
2021-03-16T19:03:39.136229,sad
2021-03-16T19:03:46.851509,sad
2021-03-16T19:03:54.594913,neutral
2021-03-16T19:04:02.439785,neutral
2021-03-16T19:04:10.253517,neutral
2021-03-16T19:04:18.309923,angry
2021-03-16T19:04:26.232864,sad
2021-03-16T19:04:34.073679,sad
2021-03-16T19:04:41.889943,sad
2021-03-16T19:04:49.814069,angry
2021-03-16T19:04:57.560718,sad
2021-03-16T19:05:05.294265,sad
2021-03-16T19:05:13.058168,fear
2021-03-16T19:05:21.064571,neutral
2021-03-16T19:05:28.864242,neutral
2021-03-16T19:05:36.789766,fear
2021-03-16T19:05:44.616822,surprise
2021-03-16T19:05:52.405672,sad
2021-03-16T19:06:00.420254,fear
2021-03-16T19:06:08.350271,neutral
2021-03-16T19:06:16.429338,neutral
2021-03-16T19:06:24.206021,sad
2021-03-16T19:06:32.011098,angry
2021-03-16T19:06:39.962647,neutral
2021-03-16T19:06:47.673684,fear
2021-03-16T19:06:55.547561,fear
2021-03-16T19:07:03.447127,angry
2021-03-16T19:07:11.365179,fear
2021-03-16T19:07:19.415161,fear
2021-03-16T19:07:27.209574,fear
2021-03-16T19:07:34.909615,neutral
2021-03-16T19:07:42.614517,neutral
2021-03-16T19:07:50.357132,angry
2021-03-16T19:07:58.189366,sad
2021-03-16T19:08:05.910919,angry
2021-03-16T19:08:13.677822,sad
2021-03-16T19:08:21.414884,angry
2021-03-16T19:08:29.287409,neutral
2021-03-16T19:08:37.230315,sad
