Datetime,emotion
2021-03-18T18:56:06.342519,angry
2021-03-18T18:56:14.457907,happy
2021-03-18T18:56:22.329747,fear
2021-03-18T18:56:30.385861,sad
2021-03-18T18:56:38.523334,sad
2021-03-18T18:56:46.565842,sad
2021-03-18T18:56:54.540041,sad
2021-03-18T18:57:02.414567,angry
2021-03-18T18:57:10.404332,sad
2021-03-18T18:57:18.244893,sad
2021-03-18T18:57:26.264467,happy
2021-03-18T18:57:34.128056,happy
2021-03-18T18:57:42.139715,sad
2021-03-18T18:57:49.956185,neutral
2021-03-18T18:57:57.860605,neutral
2021-03-18T18:58:05.646155,neutral
2021-03-18T18:58:13.469545,neutral
2021-03-18T18:58:21.618911,happy
2021-03-18T18:58:29.429919,sad
2021-03-18T18:58:37.281290,neutral
2021-03-18T18:58:45.233803,sad
2021-03-18T18:58:53.391704,happy
2021-03-18T18:59:01.433428,sad
2021-03-18T18:59:09.474127,sad
2021-03-18T18:59:17.312516,sad
2021-03-18T18:59:25.177265,sad
2021-03-18T18:59:33.122776,sad
2021-03-18T18:59:40.990246,sad
2021-03-18T18:59:49.108085,sad
2021-03-18T18:59:56.937689,angry
2021-03-18T19:00:04.804977,sad
2021-03-18T19:00:12.747967,sad
2021-03-18T19:00:20.548291,happy
2021-03-18T19:00:28.382487,neutral
2021-03-18T19:00:36.212799,neutral
2021-03-18T19:00:43.923886,neutral
2021-03-18T19:00:51.794945,sad
2021-03-18T19:00:59.693367,sad
2021-03-18T19:01:07.477901,neutral
2021-03-18T19:01:15.284320,angry
2021-03-18T19:01:23.099791,happy
2021-03-18T19:01:30.911203,neutral
2021-03-18T19:01:38.758977,sad
2021-03-18T19:01:46.510611,happy
2021-03-18T19:01:54.240201,fear
2021-03-18T19:02:02.285676,sad
2021-03-18T19:02:10.088533,sad
2021-03-18T19:02:18.099524,sad
2021-03-18T19:02:26.000555,fear
2021-03-18T19:02:33.904272,neutral
2021-03-18T19:02:41.833583,fear
2021-03-18T19:02:49.752955,neutral
2021-03-18T19:02:57.771463,neutral
2021-03-18T19:03:05.642691,fear
2021-03-18T19:03:13.542804,happy
2021-03-18T19:03:21.660384,sad
2021-03-18T19:03:29.608747,neutral
2021-03-18T19:03:37.640474,neutral
2021-03-18T19:03:45.786774,neutral
2021-03-18T19:03:53.920195,neutral
2021-03-18T19:04:01.992397,happy
2021-03-18T19:04:09.886742,sad
2021-03-18T19:04:17.879788,sad
2021-03-18T19:04:25.818677,sad
2021-03-18T19:04:33.739744,sad
2021-03-18T19:04:41.699298,angry
2021-03-18T19:04:49.622186,neutral
2021-03-18T19:04:57.827820,neutral
2021-03-18T19:05:05.765510,neutral
2021-03-18T19:05:13.666739,sad
2021-03-18T19:05:21.555773,neutral
2021-03-18T19:05:29.428777,sad
2021-03-18T19:05:37.437789,sad
2021-03-18T19:05:45.508644,neutral
2021-03-18T19:05:53.386786,neutral
2021-03-18T19:06:01.225480,sad
2021-03-18T19:06:09.087826,angry
2021-03-18T19:06:17.060947,neutral
2021-03-18T19:06:24.897838,angry
2021-03-18T19:06:32.725584,sad
2021-03-18T19:06:40.741767,neutral
2021-03-18T19:06:48.631371,sad
2021-03-18T19:06:56.587656,fear
2021-03-18T19:07:04.528924,neutral
2021-03-18T19:07:12.414388,angry
2021-03-18T19:07:20.282037,sad
2021-03-18T19:07:28.222151,neutral
2021-03-18T19:07:36.432196,sad
2021-03-18T19:07:44.313749,sad
2021-03-18T19:07:52.157693,neutral
2021-03-18T19:08:00.059231,sad
2021-03-18T19:08:07.922334,sad
2021-03-18T19:08:15.959392,sad
2021-03-18T19:08:23.859049,neutral
2021-03-18T19:08:31.770102,neutral
2021-03-18T19:08:39.624515,neutral
2021-03-18T19:08:47.470756,sad
2021-03-18T19:08:55.463954,sad
2021-03-18T19:09:03.398631,neutral
2021-03-18T19:09:11.244541,fear
2021-03-18T19:09:19.092767,neutral
2021-03-18T19:09:26.982051,neutral
2021-03-18T19:09:35.118495,angry
2021-03-18T19:09:43.052741,neutral
2021-03-18T19:09:50.982985,sad
2021-03-18T19:09:58.878373,sad
2021-03-18T19:10:06.933904,angry
2021-03-18T19:10:14.944982,neutral
2021-03-18T19:10:22.827526,sad
2021-03-18T19:10:30.721780,sad
2021-03-18T19:10:38.620921,sad
2021-03-18T19:10:46.571510,angry
2021-03-18T19:10:54.540467,sad
2021-03-18T19:11:02.431190,sad
2021-03-18T19:11:10.411196,sad
2021-03-18T19:11:18.294672,angry
2021-03-18T19:11:26.258489,sad
2021-03-18T19:11:34.270988,angry
2021-03-18T19:11:42.187712,angry
2021-03-18T19:11:50.029687,angry
2021-03-18T19:11:57.815296,angry
2021-03-18T19:12:05.647869,sad
2021-03-18T19:12:13.614407,neutral
2021-03-18T19:12:21.453554,neutral
2021-03-18T19:12:29.483196,neutral
2021-03-18T19:12:37.374429,fear
2021-03-18T19:12:45.249809,sad
2021-03-18T19:12:53.260262,sad
2021-03-18T19:13:01.162237,neutral
2021-03-18T19:13:09.214276,sad
2021-03-18T19:13:17.131204,angry
2021-03-18T19:13:24.979459,sad
2021-03-18T19:13:32.979776,sad
2021-03-18T19:13:40.874301,sad
2021-03-18T19:13:48.857849,sad
2021-03-18T19:13:56.751147,neutral
2021-03-18T19:14:04.614140,sad
2021-03-18T19:14:12.551588,neutral
2021-03-18T19:14:20.397492,neutral
2021-03-18T19:14:28.262570,sad
2021-03-18T19:14:36.081690,sad
2021-03-18T19:14:43.936991,sad
2021-03-18T19:14:51.898771,neutral
2021-03-18T19:14:59.773620,sad
2021-03-18T19:15:07.656851,neutral
2021-03-18T19:15:15.579676,sad
2021-03-18T19:15:23.510778,neutral
2021-03-18T19:15:31.607019,sad
2021-03-18T19:15:39.469709,neutral
2021-03-18T19:15:47.272593,fear
2021-03-18T19:15:55.166566,neutral
