Datetime,emotion
2021-03-19T10:16:51.310392,neutral
2021-03-19T10:17:00.356792,neutral
2021-03-19T10:17:09.033246,angry
2021-03-19T10:17:17.498009,angry
2021-03-19T10:17:26.046260,neutral
2021-03-19T10:17:34.648933,neutral
2021-03-19T10:17:43.076573,neutral
2021-03-19T10:17:51.562807,neutral
2021-03-19T10:18:00.039931,neutral
2021-03-19T10:18:08.428564,neutral
2021-03-19T10:18:16.846243,sad
2021-03-19T10:18:25.183212,angry
2021-03-19T10:18:33.756914,sad
2021-03-19T10:18:42.168184,neutral
2021-03-19T10:18:50.483864,neutral
2021-03-19T10:18:58.823205,neutral
2021-03-19T10:19:07.267236,neutral
2021-03-19T10:19:15.911224,neutral
2021-03-19T10:19:24.330407,neutral
2021-03-19T10:19:32.726649,sad
2021-03-19T10:19:41.111733,neutral
2021-03-19T10:19:51.001488,neutral
2021-03-19T10:20:00.104297,sad
2021-03-19T10:20:09.130088,sad
2021-03-19T10:20:19.559041,neutral
2021-03-19T10:20:29.830577,neutral
2021-03-19T10:20:40.264403,neutral
2021-03-19T10:20:49.585096,neutral
2021-03-19T10:20:59.581209,neutral
2021-03-19T10:21:09.242363,neutral
2021-03-19T10:21:19.053149,neutral
2021-03-19T10:21:29.065918,neutral
2021-03-19T10:21:39.007832,sad
2021-03-19T10:21:48.860146,neutral
2021-03-19T10:21:58.287072,neutral
2021-03-19T10:22:08.128686,neutral
2021-03-19T10:22:17.898274,neutral
2021-03-19T10:22:27.982796,sad
2021-03-19T10:22:37.406086,sad
2021-03-19T10:22:46.975151,sad
2021-03-19T10:22:56.771663,neutral
2021-03-19T10:23:06.654880,neutral
2021-03-19T10:23:16.797094,neutral
2021-03-19T10:23:27.288618,sad
2021-03-19T10:23:36.211895,sad
2021-03-19T10:23:45.015937,neutral
2021-03-19T10:23:54.035825,neutral
2021-03-19T10:24:03.001991,sad
2021-03-19T10:24:11.413376,sad
2021-03-19T10:24:19.844920,neutral
2021-03-19T10:24:28.310941,neutral
2021-03-19T10:24:36.886581,neutral
2021-03-19T10:24:45.564315,neutral
2021-03-19T10:24:54.048622,neutral
2021-03-19T10:25:02.518235,neutral
2021-03-19T10:25:11.060333,neutral
2021-03-19T10:25:19.626529,neutral
2021-03-19T10:25:28.808881,neutral
2021-03-19T10:25:37.787130,neutral
2021-03-19T10:25:47.417806,neutral
2021-03-19T10:25:57.945990,neutral
2021-03-19T10:26:08.347893,neutral
2021-03-19T10:26:19.152206,neutral
2021-03-19T10:26:29.673034,neutral
2021-03-19T10:26:39.518242,sad
2021-03-19T10:26:49.182995,neutral
2021-03-19T10:26:58.205360,sad
2021-03-19T10:27:07.402713,neutral
2021-03-19T10:27:16.854676,sad
2021-03-19T10:27:26.609138,sad
2021-03-19T10:27:36.420163,neutral
2021-03-19T10:27:46.053637,neutral
2021-03-19T10:27:55.663176,sad
2021-03-19T10:28:05.328061,neutral
2021-03-19T10:28:14.959883,neutral
2021-03-19T10:28:24.975412,sad
2021-03-19T10:28:33.486368,neutral
2021-03-19T10:28:42.120086,neutral
2021-03-19T10:28:50.532146,neutral
2021-03-19T10:28:59.054967,sad
2021-03-19T10:29:07.472014,neutral
2021-03-19T10:29:15.939620,neutral
2021-03-19T10:29:24.562536,neutral
2021-03-19T10:29:33.013341,neutral
2021-03-19T10:29:41.824299,sad
2021-03-19T10:29:50.247115,neutral
2021-03-19T10:29:58.658455,neutral
2021-03-19T10:30:07.264294,neutral
2021-03-19T10:30:15.754717,neutral
2021-03-19T10:30:24.179818,neutral
2021-03-19T10:30:32.649258,angry
2021-03-19T10:30:41.126699,sad
2021-03-19T10:30:49.711696,sad
2021-03-19T10:30:58.112525,angry
2021-03-19T10:31:06.477240,sad
2021-03-19T10:31:14.985628,neutral
2021-03-19T10:31:23.715392,angry
2021-03-19T10:31:32.409221,happy
2021-03-19T10:31:41.108796,sad
2021-03-19T10:31:49.834853,neutral
2021-03-19T10:31:58.296457,neutral
2021-03-19T10:32:06.764324,sad
2021-03-19T10:32:16.806263,neutral
2021-03-19T10:32:26.340481,neutral
2021-03-19T10:32:37.150580,neutral
2021-03-19T10:32:47.843051,neutral
2021-03-19T10:32:56.620955,neutral
2021-03-19T10:33:05.415262,neutral
2021-03-19T10:33:14.160742,neutral
2021-03-19T10:33:22.804550,neutral
2021-03-19T10:33:31.524670,neutral
2021-03-19T10:33:40.314257,neutral
2021-03-19T10:33:48.984424,neutral
2021-03-19T10:33:57.538877,neutral
2021-03-19T10:34:06.083342,fear
2021-03-19T10:34:14.574068,fear
2021-03-19T10:34:23.082028,neutral
2021-03-19T10:34:31.693068,neutral
2021-03-19T10:34:40.220762,neutral
2021-03-19T10:34:48.833327,neutral
2021-03-19T10:34:57.356475,neutral
2021-03-19T10:35:06.529123,neutral
2021-03-19T10:35:16.054048,happy
2021-03-19T10:35:24.614628,neutral
2021-03-19T10:35:35.137665,neutral
2021-03-19T10:35:45.928845,fear
2021-03-19T10:35:56.882465,sad
2021-03-19T10:36:07.481877,neutral
2021-03-19T10:36:16.103515,sad
2021-03-19T10:36:24.578653,sad
2021-03-19T10:36:33.125526,neutral
2021-03-19T10:36:41.654619,neutral
2021-03-19T10:36:50.878810,sad
2021-03-19T10:36:59.861645,neutral
2021-03-19T10:37:08.730550,angry
2021-03-19T10:37:17.611255,neutral
2021-03-19T10:37:26.720589,neutral
2021-03-19T10:37:36.174876,neutral
2021-03-19T10:37:44.961086,neutral
2021-03-19T10:37:53.618336,sad
2021-03-19T10:38:02.207403,sad
2021-03-19T10:38:11.032651,neutral
2021-03-19T10:38:19.773323,neutral
2021-03-19T10:38:28.506009,neutral
2021-03-19T10:38:37.079187,angry
2021-03-19T10:38:45.553334,sad
2021-03-19T10:38:54.216388,neutral
2021-03-19T10:39:02.822774,neutral
2021-03-19T10:39:11.268409,sad
2021-03-19T10:39:19.777573,sad
2021-03-19T10:39:28.324013,sad
2021-03-19T10:39:36.931444,neutral
2021-03-19T10:39:46.897360,neutral
2021-03-19T10:39:56.714918,neutral
2021-03-19T10:40:06.517952,sad
2021-03-19T10:40:16.254479,sad
2021-03-19T10:40:26.284217,fear
2021-03-19T10:40:35.952062,sad
2021-03-19T10:40:45.592021,sad
2021-03-19T10:40:55.441201,sad
2021-03-19T10:41:05.107332,sad
