Datetime,emotion
2021-03-25T15:20:30.338796,fear
2021-03-25T15:20:40.149489,neutral
2021-03-25T15:20:48.121440,neutral
2021-03-25T15:20:56.100672,sad
2021-03-25T15:21:04.058686,sad
2021-03-25T15:21:12.152957,sad
2021-03-25T15:21:20.356541,sad
2021-03-25T15:21:28.412696,sad
2021-03-25T15:21:36.520485,sad
2021-03-25T15:21:59.081874,fear
2021-03-25T15:22:07.429841,sad
2021-03-25T15:22:15.563402,fear
2021-03-25T15:22:23.549263,fear
2021-03-25T15:22:31.204121,fear
2021-03-25T15:22:38.892620,neutral
2021-03-25T15:22:46.898328,sad
2021-03-25T15:22:54.544641,fear
2021-03-25T15:23:02.715762,sad
2021-03-25T15:23:10.761253,sad
2021-03-25T15:23:18.746155,sad
2021-03-25T15:23:26.728917,sad
2021-03-25T15:23:34.728909,sad
2021-03-25T15:23:42.860079,neutral
2021-03-25T15:23:50.843627,happy
2021-03-25T15:23:58.827894,sad
2021-03-25T15:24:06.840713,happy
2021-03-25T15:24:14.854884,happy
2021-03-25T15:24:22.996042,happy
2021-03-25T15:24:30.990110,neutral
2021-03-25T15:24:38.990122,fear
2021-03-25T15:24:46.959901,happy
2021-03-25T15:24:54.999190,neutral
2021-03-25T15:25:03.178824,happy
2021-03-25T15:25:11.174375,sad
2021-03-25T15:25:19.182969,sad
2021-03-25T15:25:27.226103,sad
2021-03-25T15:25:35.253475,fear
2021-03-25T15:25:43.347526,fear
2021-03-25T15:25:51.318135,fear
2021-03-25T15:25:59.300103,sad
2021-03-25T15:26:07.348601,sad
2021-03-25T15:26:15.355787,sad
2021-03-25T15:26:23.644994,fear
2021-03-25T15:26:31.342351,sad
2021-03-25T15:26:39.058463,sad
2021-03-25T15:26:47.051313,sad
2021-03-25T15:26:55.077167,happy
2021-03-25T15:27:03.134196,happy
2021-03-25T15:27:11.184661,sad
2021-03-25T15:27:19.122247,sad
2021-03-25T15:27:27.204707,neutral
2021-03-25T15:27:35.254295,fear
2021-03-25T15:27:43.364024,sad
2021-03-25T15:27:52.188072,sad
2021-03-25T15:28:00.062183,neutral
2021-03-25T15:28:07.898742,neutral
2021-03-25T15:28:16.005771,sad
2021-03-25T15:28:24.259446,sad
2021-03-25T15:28:32.293214,sad
2021-03-25T15:28:40.304602,sad
2021-03-25T15:28:48.314636,sad
2021-03-25T15:28:56.053337,neutral
2021-03-25T15:29:04.249617,neutral
2021-03-25T15:29:12.288664,sad
2021-03-25T15:29:20.367501,sad
2021-03-25T15:29:28.362026,sad
2021-03-25T15:29:36.384956,sad
2021-03-25T15:29:44.539011,sad
2021-03-25T15:29:52.533269,fear
2021-03-25T15:30:00.513737,sad
2021-03-25T15:30:08.480173,sad
2021-03-25T15:30:16.483512,sad
2021-03-25T15:30:24.646287,sad
2021-03-25T15:30:32.639118,sad
2021-03-25T15:30:40.620743,sad
2021-03-25T15:30:48.603556,sad
2021-03-25T15:30:56.616811,sad
2021-03-25T15:31:04.713983,sad
2021-03-25T15:31:12.675349,sad
2021-03-25T15:31:20.722351,sad
2021-03-25T15:31:28.737264,sad
2021-03-25T15:31:36.714722,sad
2021-03-25T15:31:44.801861,happy
2021-03-25T15:31:52.800387,sad
2021-03-25T15:32:00.804872,sad
2021-03-25T15:32:08.795231,sad
2021-03-25T15:32:16.756011,sad
2021-03-25T15:32:24.862909,sad
2021-03-25T15:32:32.582984,fear
2021-03-25T15:32:40.616693,sad
2021-03-25T15:32:48.750051,neutral
2021-03-25T15:32:56.815867,neutral
2021-03-25T15:33:04.839466,neutral
2021-03-25T15:33:12.787696,sad
2021-03-25T15:33:20.911342,sad
2021-03-25T15:33:28.917505,sad
2021-03-25T15:33:36.925904,neutral
2021-03-25T15:33:45.061890,sad
2021-03-25T15:33:53.106294,sad
2021-03-25T15:34:01.090338,sad
2021-03-25T15:34:09.079391,sad
2021-03-25T15:34:17.071367,sad
2021-03-25T15:34:25.305631,sad
2021-03-25T15:34:33.277222,sad
2021-03-25T15:34:41.214031,sad
2021-03-25T15:34:49.149673,sad
2021-03-25T15:34:57.149474,sad
2021-03-25T15:35:05.343572,sad
2021-03-25T15:35:13.284775,sad
2021-03-25T15:35:21.243535,sad
2021-03-25T15:35:29.206177,sad
2021-03-25T15:35:37.206238,sad
2021-03-25T15:35:45.294771,sad
2021-03-25T15:35:53.268529,sad
2021-03-25T15:36:01.375442,sad
2021-03-25T15:36:09.435550,sad
2021-03-25T15:36:17.480181,sad
2021-03-25T15:36:25.552340,neutral
2021-03-25T15:36:33.219892,neutral
2021-03-25T15:36:41.200625,sad
2021-03-25T15:36:48.908349,neutral
2021-03-25T15:36:57.022556,sad
2021-03-25T15:37:05.001253,sad
2021-03-25T15:37:13.005464,neutral
2021-03-25T15:37:21.054502,sad
2021-03-25T15:37:29.059264,sad
2021-03-25T15:37:37.237552,sad
2021-03-25T15:37:45.275491,neutral
2021-03-25T15:37:53.290791,sad
2021-03-25T15:38:01.278809,neutral
2021-03-25T15:38:09.450080,sad
2021-03-25T15:38:17.581676,happy
2021-03-25T15:38:25.510750,happy
2021-03-25T15:38:33.387612,happy
2021-03-25T15:38:41.429028,fear
2021-03-25T15:38:49.558836,neutral
2021-03-25T15:38:57.635993,sad
2021-03-25T15:39:05.631190,sad
2021-03-25T15:39:13.282705,sad
2021-03-25T15:39:20.938956,sad
2021-03-25T15:39:28.949801,neutral
2021-03-25T15:39:37.060360,sad
2021-03-25T15:39:45.082445,sad
2021-03-25T15:39:53.086467,sad
2021-03-25T15:40:01.091922,sad
2021-03-25T15:40:09.061254,sad
