EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
Pass,7,Pass,4.166666666666666
Pass,7,Pass,8.333333333333332
Pass,7,Pass,12.5
Pass,7,Pass,16.666666666666664
Pass,7,Pass,20.833333333333332
Pass,7,Pass,25.0
Pass,7,Pass,29.166666666666664
Pass,7,Pass,33.33333333333333
Pass,7,Pass,37.5
Pass,7,Pass,41.666666666666664
Pass,7,Pass,45.83333333333333
Pass,7,Pass,50.0
Pass,7,Pass,54.166666666666664
Pass,7,Pass,58.33333333333333
Pass,7,Pass,62.5
Pass,7,Pass,66.66666666666666
Pass,7,Pass,70.83333333333333
Pass,7,Pass,75.0
Pass,7,Pass,79.16666666666666
Pass,7,Pass,83.33333333333333
Pass,7,Pass,87.5
Pass,7,Pass,91.66666666666666
Pass,7,Pass,95.83333333333333
Pass,7,Pass,100.0
Pass,7,Pass,104.16666666666666
Pass,7,Pass,108.33333333333333
Pass,7,Pass,112.5
Pass,7,Pass,116.66666666666666
Pass,7,Pass,120.83333333333333
Pass,7,Pass,125.0
Pass,7,Pass,129.16666666666666
Pass,7,Pass,133.33333333333331
Pass,7,Pass,137.5
Pass,7,Pass,141.66666666666666
Pass,7,Pass,145.83333333333331
Pass,7,Pass,150.0
Pass,7,Pass,154.16666666666666
sad,2,52.49143838882446,158.33333333333331
happy,3,76.40987494050711,162.5
happy,3,88.22053600672102,166.66666666666666
happy,3,97.93274390296601,170.83333333333331
Pass,7,Pass,175.0
happy,3,57.68420100212097,179.16666666666666
Pass,7,Pass,183.33333333333331
Pass,7,Pass,187.5
Pass,7,Pass,191.66666666666666
neutral,0,95.31244039535522,195.83333333333331
Pass,7,Pass,200.0
Pass,7,Pass,204.16666666666666
Pass,7,Pass,208.33333333333331
sad,2,43.17991056202776,212.5
neutral,0,50.83773136138916,216.66666666666666
sad,2,95.10352582356488,220.83333333333331
neutral,0,53.837984800338745,225.0
Pass,7,Pass,229.16666666666666
happy,3,98.92677062313382,233.33333333333331
neutral,0,53.06615233421326,237.5
sad,2,45.65682113170624,241.66666666666666
neutral,0,95.26984691619873,245.83333333333331
neutral,0,84.10716652870178,250.0
happy,3,92.55819916725159,254.16666666666666
Pass,7,Pass,258.3333333333333
Pass,7,Pass,262.5
Pass,7,Pass,266.66666666666663
angry,6,76.00263953208923,270.8333333333333
Pass,7,Pass,275.0
