EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
angry,6,86.56146090490093,4.166666666666666
Pass,7,Pass,8.333333333333332
neutral,0,58.02983045578003,12.5
neutral,0,44.66293156147003,16.666666666666664
neutral,0,42.48128026947018,20.833333333333332
sad,2,78.37844491004944,25.0
sad,2,92.87760938672908,29.166666666666664
sad,2,57.70789384841919,33.33333333333333
sad,2,88.8514690906685,37.5
sad,2,83.49806666374207,41.666666666666664
sad,2,70.00749349683446,45.83333333333333
neutral,0,80.05921840667725,50.0
neutral,0,49.33634400367737,54.166666666666664
angry,6,75.56535588136771,58.33333333333333
neutral,0,72.89455533027649,62.5
Pass,7,Pass,66.66666666666666
sad,2,66.35666489601135,70.83333333333333
angry,6,54.53776446209934,75.0
angry,6,89.13895423048461,79.16666666666666
angry,6,57.334816455841064,83.33333333333333
angry,6,95.77829837799072,87.5
neutral,0,81.60086274147034,91.66666666666666
neutral,0,68.15173842331629,95.83333333333333
sad,2,50.43151679226856,100.0
neutral,0,64.80873999699831,104.16666666666666
angry,6,54.45892810821533,108.33333333333333
sad,2,55.721681628026765,112.5
angry,6,63.105690479278564,116.66666666666666
Pass,7,Pass,120.83333333333333
Pass,7,Pass,125.0
angry,6,95.0266182422638,129.16666666666666
neutral,0,62.96401619911194,133.33333333333331
Pass,7,Pass,137.5
Pass,7,Pass,141.66666666666666
angry,6,98.76383543014526,145.83333333333331
Pass,7,Pass,150.0
Pass,7,Pass,154.16666666666666
angry,6,46.47233188152313,158.33333333333331
Pass,7,Pass,162.5
Pass,7,Pass,166.66666666666666
angry,6,89.35248065337193,170.83333333333331
sad,2,60.635097102534424,175.0
Pass,7,Pass,179.16666666666666
angry,6,77.60965494994463,183.33333333333331
Pass,7,Pass,187.5
angry,6,97.84058358185487,191.66666666666666
angry,6,96.86015229583694,195.83333333333331
angry,6,91.42667651176453,200.0
neutral,0,96.14781714366777,204.16666666666666
sad,2,78.83310914039612,208.33333333333331
angry,6,98.926693137091,212.5
angry,6,81.03119730949402,216.66666666666666
angry,6,87.99286627854511,220.83333333333331
angry,6,95.45424580574036,225.0
angry,6,66.64024989125134,229.16666666666666
neutral,0,58.37576737259432,233.33333333333331
angry,6,85.29148873192206,237.5
Pass,7,Pass,241.66666666666666
angry,6,83.5467278957367,245.83333333333331
angry,6,73.27646294551646,250.0
Pass,7,Pass,254.16666666666666
angry,6,58.69123935699463,258.3333333333333
Pass,7,Pass,262.5
sad,2,65.90121781237231,266.66666666666663
sad,2,52.69073247909546,270.8333333333333
sad,2,54.29908633232117,275.0
Pass,7,Pass,279.16666666666663
angry,6,92.56938188441016,283.3333333333333
angry,6,97.90288234914752,287.5
Pass,7,Pass,291.66666666666663
angry,6,47.165098786354065,295.8333333333333
angry,6,67.46253371238708,300.0
angry,6,96.08600186276414,304.16666666666663
angry,6,94.88977193832397,308.3333333333333
angry,6,99.58940749294669,312.5
angry,6,94.3977650641063,316.66666666666663
angry,6,75.7304578148773,320.8333333333333
angry,6,87.6937404043984,325.0
neutral,0,57.48765468597412,329.16666666666663
sad,2,94.48967576026917,333.3333333333333
angry,6,63.251838877906735,337.5
neutral,0,52.6804836201956,341.66666666666663
sad,2,56.267523765563965,345.8333333333333
sad,2,91.17262363433838,350.0
angry,6,99.09600030231472,354.16666666666663
angry,6,81.2200535070928,358.3333333333333
angry,6,99.82094764709473,362.5
angry,6,99.88586902618408,366.66666666666663
Pass,7,Pass,370.8333333333333
Pass,7,Pass,375.0
angry,6,86.42824211288942,379.16666666666663
angry,6,42.33351647853851,383.3333333333333
angry,6,88.9483915505876,387.5
angry,6,94.96676445799721,391.66666666666663
sad,2,61.51453256607056,395.8333333333333
sad,2,74.30610656738281,400.0
neutral,0,77.94913053512573,404.16666666666663
angry,6,95.38508653640747,408.3333333333333
Pass,7,Pass,412.5
neutral,0,51.951471087424224,416.66666666666663
angry,6,70.85017313359104,420.8333333333333
neutral,0,70.17757892608643,425.0
Pass,7,Pass,429.16666666666663
Pass,7,Pass,433.3333333333333
angry,6,80.49692148006898,437.5
angry,6,46.28129005432129,441.66666666666663
angry,6,99.77623226925942,445.8333333333333
sad,2,86.768306879007,450.0
angry,6,95.92666029930115,454.16666666666663
angry,6,99.15106877405681,458.3333333333333
angry,6,86.19918391714288,462.5
angry,6,99.93299841481438,466.66666666666663
angry,6,41.35057330131531,470.8333333333333
angry,6,72.05115889893068,475.0
angry,6,98.26538552435551,479.16666666666663
angry,6,97.87402127671496,483.3333333333333
angry,6,99.68172905932242,487.5
Pass,7,Pass,491.66666666666663
Pass,7,Pass,495.8333333333333
angry,6,99.63434342928608,500.0
Pass,7,Pass,504.16666666666663
Pass,7,Pass,508.3333333333333
Pass,7,Pass,512.5
Pass,7,Pass,516.6666666666666
Pass,7,Pass,520.8333333333333
sad,2,99.6556043624878,525.0
sad,2,97.40750789642334,529.1666666666666
Pass,7,Pass,533.3333333333333
neutral,0,85.64662337303162,537.5
sad,2,89.69846963882446,541.6666666666666
Pass,7,Pass,545.8333333333333
Pass,7,Pass,550.0
Pass,7,Pass,554.1666666666666
sad,2,98.92396939707167,558.3333333333333
Pass,7,Pass,562.5
angry,6,45.68915367126465,566.6666666666666
angry,6,55.21960792307759,570.8333333333333
neutral,0,41.38917028903961,575.0
sad,2,54.70447540283203,579.1666666666666
neutral,0,61.91677224140002,583.3333333333333
angry,6,91.23420014789106,587.5
angry,6,62.35988140106201,591.6666666666666
Pass,7,Pass,595.8333333333333
angry,6,63.19420337677002,600.0
angry,6,81.10862003462076,604.1666666666666
angry,6,95.50815331741492,608.3333333333333
sad,2,69.94768977165222,612.5
angry,6,86.97019737781271,616.6666666666666
angry,6,99.85142351968008,620.8333333333333
angry,6,71.58207893371582,625.0
angry,6,99.8539686203003,629.1666666666666
Pass,7,Pass,633.3333333333333
sad,2,61.223018169403076,637.5
angry,6,63.08222257110803,641.6666666666666
Pass,7,Pass,645.8333333333333
Pass,7,Pass,650.0
Pass,7,Pass,654.1666666666666
Pass,7,Pass,658.3333333333333
sad,2,87.9975273612109,662.5
angry,6,97.87385451041784,666.6666666666666
angry,6,99.88142251968384,670.8333333333333
angry,6,98.29945584542085,675.0
sad,2,86.489999294281,679.1666666666666
sad,2,89.711993932724,683.3333333333333
sad,2,81.31336569786072,687.5
angry,6,53.337869247071104,691.6666666666666
angry,6,90.33859372138977,695.8333333333333
sad,2,49.31236803531647,700.0
neutral,0,69.33475732803345,704.1666666666666
angry,6,99.92609619213297,708.3333333333333
angry,6,53.70734974233505,712.5
angry,6,99.99314546585083,716.6666666666666
angry,6,98.8346041638131,720.8333333333333
angry,6,99.0629791654932,725.0
Pass,7,Pass,729.1666666666666
neutral,0,99.5635449886322,733.3333333333333
neutral,0,86.9408130645752,737.5
sad,2,88.37302853900364,741.6666666666666
sad,2,99.28286671638489,745.8333333333333
