EmotionDetected,EmotionNumber,Percentage,Second
sad,2,99.86376166343689,0.0
neutral,0,62.62051463127136,4.166666666666666
sad,2,70.86006999015808,8.333333333333332
neutral,0,34.8468542098999,12.5
happy,3,66.36325716972351,16.666666666666664
fear,4,74.04180014382602,20.833333333333332
happy,3,94.05218958854675,25.0
happy,3,64.59941267967224,29.166666666666664
Pass,7,Pass,33.33333333333333
angry,6,78.94875407218933,37.5
angry,6,55.9004340112468,41.666666666666664
fear,4,57.49420434305616,45.83333333333333
sad,2,37.181153893470764,50.0
happy,3,46.37260182230451,54.166666666666664
happy,3,97.43344187736511,58.33333333333333
happy,3,92.19095064347688,62.5
happy,3,78.90870445422557,66.66666666666666
happy,3,65.50347784223756,70.83333333333333
fear,4,66.39103689140302,75.0
sad,2,56.22093677520752,79.16666666666666
neutral,0,77.37297280865745,83.33333333333333
neutral,0,57.806432247161865,87.5
neutral,0,50.32992959022522,91.66666666666666
neutral,0,68.04303526878357,95.83333333333333
neutral,0,45.38986384868622,100.0
sad,2,40.888333320617676,104.16666666666666
fear,4,62.900302582997234,108.33333333333333
Pass,7,Pass,112.5
sad,2,44.13476288318634,116.66666666666666
fear,4,52.263134717941284,120.83333333333333
Pass,7,Pass,125.0
Pass,7,Pass,129.16666666666666
fear,4,63.35456967353821,133.33333333333331
Pass,7,Pass,137.5
Pass,7,Pass,141.66666666666666
Pass,7,Pass,145.83333333333331
sad,2,52.45755910873413,150.0
fear,4,44.663872996799526,154.16666666666666
fear,4,60.2701711332594,158.33333333333331
fear,4,54.0689560216043,162.5
fear,4,58.55489722221477,166.66666666666666
neutral,0,53.91945242881775,170.83333333333331
sad,2,66.51459336280823,175.0
neutral,0,44.87836628427304,179.16666666666666
fear,4,37.005117535591125,183.33333333333331
neutral,0,49.79691206198407,187.5
neutral,0,56.126999855041504,191.66666666666666
fear,4,40.52468055192464,195.83333333333331
sad,2,42.2139048576355,200.0
neutral,0,38.3578612377809,204.16666666666666
fear,4,87.35530821744301,208.33333333333331
fear,4,68.46700310707092,212.5
Pass,7,Pass,216.66666666666666
Pass,7,Pass,220.83333333333331
angry,6,56.29695989471435,225.0
Pass,7,Pass,229.16666666666666
fear,4,93.38234584121058,233.33333333333331
angry,6,37.824766299156394,237.5
angry,6,44.626235641612745,241.66666666666666
fear,4,77.7323067188263,245.83333333333331
Pass,7,Pass,250.0
Pass,7,Pass,254.16666666666666
fear,4,95.07110773669389,258.3333333333333
Pass,7,Pass,262.5
Pass,7,Pass,266.66666666666663
happy,3,47.76615189112138,270.8333333333333
fear,4,83.0779870655552,275.0
surprise,1,93.50132903464609,279.16666666666663
surprise,1,75.36593079566956,283.3333333333333
angry,6,35.909550542208585,287.5
fear,4,57.24778857800824,291.66666666666663
fear,4,79.60100769996643,295.8333333333333
neutral,0,39.38411049653417,300.0
neutral,0,91.18505663782696,304.16666666666663
neutral,0,82.92173641453603,308.3333333333333
neutral,0,85.2408629942969,312.5
sad,2,37.69638167002092,316.66666666666663
neutral,0,94.2814998962283,320.8333333333333
surprise,1,76.28856301307678,325.0
neutral,0,36.75737977027893,329.16666666666663
neutral,0,84.22719240188599,333.3333333333333
fear,4,48.30713868141174,337.5
Pass,7,Pass,341.66666666666663
fear,4,34.93437469005585,345.8333333333333
Pass,7,Pass,350.0
sad,2,38.28245997428894,354.16666666666663
fear,4,82.37559795379639,358.3333333333333
neutral,0,59.64477062225342,362.5
neutral,0,92.56679371397458,366.66666666666663
Pass,7,Pass,370.8333333333333
