EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
Pass,7,Pass,4.166666666666666
Pass,7,Pass,8.333333333333332
Pass,7,Pass,12.5
sad,2,86.40035552974277,16.666666666666664
sad,2,67.79459118843079,20.833333333333332
neutral,0,99.67718720436096,25.0
neutral,0,96.29945136901446,29.166666666666664
Pass,7,Pass,33.33333333333333
Pass,7,Pass,37.5
Pass,7,Pass,41.666666666666664
neutral,0,93.32436323165894,45.83333333333333
Pass,7,Pass,50.0
neutral,0,98.49025002063811,54.166666666666664
neutral,0,97.48708009719849,58.33333333333333
Pass,7,Pass,62.5
neutral,0,97.51860499382019,66.66666666666666
Pass,7,Pass,70.83333333333333
happy,3,51.24912567431484,75.0
Pass,7,Pass,79.16666666666666
Pass,7,Pass,83.33333333333333
Pass,7,Pass,87.5
Pass,7,Pass,91.66666666666666
sad,2,99.98922347893995,95.83333333333333
sad,2,99.13397431373596,100.0
neutral,0,98.25513979731323,104.16666666666666
Pass,7,Pass,108.33333333333333
sad,2,81.47390484809875,112.5
neutral,0,76.43245914175863,116.66666666666666
sad,2,99.37183856964111,120.83333333333333
Pass,7,Pass,125.0
Pass,7,Pass,129.16666666666666
Pass,7,Pass,133.33333333333331
Pass,7,Pass,137.5
Pass,7,Pass,141.66666666666666
Pass,7,Pass,145.83333333333331
Pass,7,Pass,150.0
Pass,7,Pass,154.16666666666666
Pass,7,Pass,158.33333333333331
Pass,7,Pass,162.5
neutral,0,99.61987731575235,166.66666666666666
Pass,7,Pass,170.83333333333331
Pass,7,Pass,175.0
Pass,7,Pass,179.16666666666666
Pass,7,Pass,183.33333333333331
neutral,0,99.61720702750725,187.5
neutral,0,99.98730421066284,191.66666666666666
Pass,7,Pass,195.83333333333331
Pass,7,Pass,200.0
neutral,0,99.99984502792358,204.16666666666666
Pass,7,Pass,208.33333333333331
Pass,7,Pass,212.5
Pass,7,Pass,216.66666666666666
angry,6,99.99476671218872,220.83333333333331
Pass,7,Pass,225.0
angry,6,99.14549599343586,229.16666666666666
Pass,7,Pass,233.33333333333331
Pass,7,Pass,237.5
angry,6,65.17270595864689,241.66666666666666
angry,6,78.45224738121033,245.83333333333331
Pass,7,Pass,250.0
sad,2,67.39141345024109,254.16666666666666
neutral,0,96.32380604743958,258.3333333333333
neutral,0,89.75744843482971,262.5
Pass,7,Pass,266.66666666666663
