EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
Pass,7,Pass,4.166666666666666
Pass,7,Pass,8.333333333333332
Pass,7,Pass,12.5
Pass,7,Pass,16.666666666666664
neutral,0,99.53367114067078,20.833333333333332
neutral,0,98.83291707431282,25.0
neutral,0,95.203298330307,29.166666666666664
happy,3,99.1747260093689,33.33333333333333
neutral,0,99.69872234456076,37.5
happy,3,53.90361868760697,41.666666666666664
Pass,7,Pass,45.83333333333333
Pass,7,Pass,50.0
Pass,7,Pass,54.166666666666664
Pass,7,Pass,58.33333333333333
Pass,7,Pass,62.5
Pass,7,Pass,66.66666666666666
Pass,7,Pass,70.83333333333333
Pass,7,Pass,75.0
Pass,7,Pass,79.16666666666666
Pass,7,Pass,83.33333333333333
Pass,7,Pass,87.5
Pass,7,Pass,91.66666666666666
Pass,7,Pass,95.83333333333333
neutral,0,32.25538730621338,100.0
neutral,0,99.60569143295288,104.16666666666666
neutral,0,99.12794232368469,108.33333333333333
neutral,0,99.94333386421204,112.5
sad,2,99.05489087104797,116.66666666666666
neutral,0,98.18168271670835,120.83333333333333
neutral,0,94.19720768928528,125.0
sad,2,98.7475572523543,129.16666666666666
neutral,0,99.73611232472805,133.33333333333331
Pass,7,Pass,137.5
neutral,0,92.66964284543481,141.66666666666666
Pass,7,Pass,145.83333333333331
Pass,7,Pass,150.0
Pass,7,Pass,154.16666666666666
Pass,7,Pass,158.33333333333331
Pass,7,Pass,162.5
Pass,7,Pass,166.66666666666666
Pass,7,Pass,170.83333333333331
Pass,7,Pass,175.0
Pass,7,Pass,179.16666666666666
Pass,7,Pass,183.33333333333331
Pass,7,Pass,187.5
Pass,7,Pass,191.66666666666666
Pass,7,Pass,195.83333333333331
happy,3,45.70717811584473,200.0
Pass,7,Pass,204.16666666666666
neutral,0,91.37777090072632,208.33333333333331
neutral,0,76.19758248329163,212.5
Pass,7,Pass,216.66666666666666
Pass,7,Pass,220.83333333333331
Pass,7,Pass,225.0
Pass,7,Pass,229.16666666666666
Pass,7,Pass,233.33333333333331
happy,3,80.06023645760038,237.5
Pass,7,Pass,241.66666666666666
neutral,0,77.31611132621765,245.83333333333331
Pass,7,Pass,250.0
Pass,7,Pass,254.16666666666666
Pass,7,Pass,258.3333333333333
Pass,7,Pass,262.5
neutral,0,63.32017183303833,266.66666666666663
