EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
Pass,7,Pass,4.166666666666666
Pass,7,Pass,8.333333333333332
sad,2,99.50028648977634,12.5
sad,2,59.49762463569641,16.666666666666664
neutral,0,39.94289278643684,20.833333333333332
happy,3,32.13348686695099,25.0
sad,2,53.07556390762329,29.166666666666664
sad,2,88.53588700294495,33.33333333333333
sad,2,53.19854021072388,37.5
sad,2,95.35780549049377,41.666666666666664
sad,2,87.37517149744373,45.83333333333333
neutral,0,65.51434993743896,50.0
Pass,7,Pass,54.166666666666664
Pass,7,Pass,58.33333333333333
Pass,7,Pass,62.5
neutral,0,51.00533366203308,66.66666666666666
Pass,7,Pass,70.83333333333333
Pass,7,Pass,75.0
Pass,7,Pass,79.16666666666666
Pass,7,Pass,83.33333333333333
Pass,7,Pass,87.5
Pass,7,Pass,91.66666666666666
Pass,7,Pass,95.83333333333333
Pass,7,Pass,100.0
Pass,7,Pass,104.16666666666666
Pass,7,Pass,108.33333333333333
Pass,7,Pass,112.5
Pass,7,Pass,116.66666666666666
Pass,7,Pass,120.83333333333333
Pass,7,Pass,125.0
sad,2,36.246055364608765,129.16666666666666
sad,2,69.26445960998535,133.33333333333331
sad,2,94.83456077163687,137.5
neutral,0,88.0816638469696,141.66666666666666
Pass,7,Pass,145.83333333333331
sad,2,93.08890700340271,150.0
sad,2,69.83970403671265,154.16666666666666
sad,2,99.93647933006287,158.33333333333331
Pass,7,Pass,162.5
Pass,7,Pass,166.66666666666666
neutral,0,98.73580932617188,170.83333333333331
sad,2,99.25716519355774,175.0
sad,2,99.99809265136719,179.16666666666666
Pass,7,Pass,183.33333333333331
Pass,7,Pass,187.5
sad,2,99.95507001609027,191.66666666666666
sad,2,93.46575814893744,195.83333333333331
sad,2,99.17930970438603,200.0
sad,2,99.79763029799642,204.16666666666666
fear,4,96.55638337135315,208.33333333333331
sad,2,95.46038508415222,212.5
neutral,0,98.65195147108743,216.66666666666666
Pass,7,Pass,220.83333333333331
neutral,0,48.6441969871521,225.0
neutral,0,85.8936599429643,229.16666666666666
sad,2,65.91265594438647,233.33333333333331
neutral,0,76.00775957107544,237.5
neutral,0,52.221524715423584,241.66666666666666
Pass,7,Pass,245.83333333333331
Pass,7,Pass,250.0
Pass,7,Pass,254.16666666666666
fear,4,84.96971726417542,258.3333333333333
