EmotionDetected,EmotionNumber,Percentage,Second
neutral,0,95.31694650650024,0.0
neutral,0,46.56354486942291,4.166666666666666
neutral,0,95.670033017393,8.333333333333332
neutral,0,76.56323313713074,12.5
neutral,0,51.14126205444336,16.666666666666664
fear,4,33.7581654642919,20.833333333333332
fear,4,32.870598606502924,25.0
sad,2,42.31226146221161,29.166666666666664
fear,4,78.6508560180664,33.33333333333333
neutral,0,75.88474154472351,37.5
neutral,0,75.14777183532715,41.666666666666664
fear,4,50.458756116554504,45.83333333333333
surprise,1,44.02680623850897,50.0
Pass,7,Pass,54.166666666666664
Pass,7,Pass,58.33333333333333
Pass,7,Pass,62.5
Pass,7,Pass,66.66666666666666
sad,2,46.87298573577574,70.83333333333333
fear,4,93.48455628660656,75.0
Pass,7,Pass,79.16666666666666
Pass,7,Pass,83.33333333333333
Pass,7,Pass,87.5
Pass,7,Pass,91.66666666666666
fear,4,40.57944360848925,95.83333333333333
Pass,7,Pass,100.0
surprise,1,98.49023222923279,104.16666666666666
surprise,1,98.1737494468689,108.33333333333333
Pass,7,Pass,112.5
Pass,7,Pass,116.66666666666666
neutral,0,55.57073950767517,120.83333333333333
Pass,7,Pass,125.0
Pass,7,Pass,129.16666666666666
fear,4,89.28299673998394,133.33333333333331
fear,4,96.20227791084515,137.5
fear,4,93.97974014282227,141.66666666666666
fear,4,99.3583977987292,145.83333333333331
fear,4,84.48660877267174,150.0
fear,4,98.45865964889526,154.16666666666666
fear,4,98.41646552085876,158.33333333333331
fear,4,98.06068562737875,162.5
sad,2,50.73740188702356,166.66666666666666
neutral,0,56.35045691127099,170.83333333333331
fear,4,99.0242480650096,175.0
Pass,7,Pass,179.16666666666666
fear,4,61.950719356536865,183.33333333333331
fear,4,79.4804548597878,187.5
fear,4,93.17834932675059,191.66666666666666
fear,4,79.96166348457336,195.83333333333331
fear,4,81.82043433189392,200.0
fear,4,94.35321654994587,204.16666666666666
Pass,7,Pass,208.33333333333331
fear,4,97.60646195488715,212.5
Pass,7,Pass,216.66666666666666
sad,2,68.52869203857732,220.83333333333331
fear,4,59.8038911819458,225.0
fear,4,98.11904430389404,229.16666666666666
Pass,7,Pass,233.33333333333331
fear,4,96.98277711868286,237.5
fear,4,97.85271286964417,241.66666666666666
Pass,7,Pass,245.83333333333331
Pass,7,Pass,250.0
Pass,7,Pass,254.16666666666666
neutral,0,41.02455675601959,258.3333333333333
Pass,7,Pass,262.5
Pass,7,Pass,266.66666666666663
Pass,7,Pass,270.8333333333333
Pass,7,Pass,275.0
Pass,7,Pass,279.16666666666663
neutral,0,50.106972468730504,283.3333333333333
happy,3,47.614261507987976,287.5
Pass,7,Pass,291.66666666666663
fear,4,94.68110799789429,295.8333333333333
Pass,7,Pass,300.0
Pass,7,Pass,304.16666666666663
Pass,7,Pass,308.3333333333333
Pass,7,Pass,312.5
Pass,7,Pass,316.66666666666663
Pass,7,Pass,320.8333333333333
Pass,7,Pass,325.0
Pass,7,Pass,329.16666666666663
neutral,0,65.1860773563385,333.3333333333333
fear,4,52.79178652665455,337.5
fear,4,49.391135573387146,341.66666666666663
fear,4,32.799795269966125,345.8333333333333
fear,4,57.74745848805207,350.0
Pass,7,Pass,354.16666666666663
neutral,0,86.74421310424805,358.3333333333333
happy,3,72.07453680482726,362.5
Pass,7,Pass,366.66666666666663
fear,4,45.815545320510864,370.8333333333333
neutral,0,58.82183067928735,375.0
neutral,0,98.04558753967285,379.16666666666663
happy,3,43.31457018852234,383.3333333333333
