EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
Pass,7,Pass,4.166666666666666
Pass,7,Pass,8.333333333333332
sad,2,97.5529134273529,12.5
Pass,7,Pass,16.666666666666664
neutral,0,90.98680019378662,20.833333333333332
Pass,7,Pass,25.0
Pass,7,Pass,29.166666666666664
sad,2,80.84569205693101,33.33333333333333
Pass,7,Pass,37.5
Pass,7,Pass,41.666666666666664
Pass,7,Pass,45.83333333333333
Pass,7,Pass,50.0
Pass,7,Pass,54.166666666666664
Pass,7,Pass,58.33333333333333
sad,2,88.8157738666804,62.5
Pass,7,Pass,66.66666666666666
sad,2,97.32178433667328,70.83333333333333
sad,2,98.74134063720703,75.0
Pass,7,Pass,79.16666666666666
Pass,7,Pass,83.33333333333333
sad,2,71.12381286166983,87.5
Pass,7,Pass,91.66666666666666
sad,2,99.71430299963373,95.83333333333333
Pass,7,Pass,100.0
Pass,7,Pass,104.16666666666666
sad,2,44.886470450583644,108.33333333333333
sad,2,63.086874853000026,112.5
neutral,0,31.465744972229004,116.66666666666666
Pass,7,Pass,120.83333333333333
Pass,7,Pass,125.0
sad,2,99.94219541549683,129.16666666666666
Pass,7,Pass,133.33333333333331
Pass,7,Pass,137.5
Pass,7,Pass,141.66666666666666
Pass,7,Pass,145.83333333333331
Pass,7,Pass,150.0
Pass,7,Pass,154.16666666666666
Pass,7,Pass,158.33333333333331
neutral,0,78.58684531371864,162.5
sad,2,74.98962134060987,166.66666666666666
angry,6,54.22905683517456,170.83333333333331
neutral,0,64.19805715107236,175.0
sad,2,78.83284091949463,179.16666666666666
sad,2,80.77368621669329,183.33333333333331
sad,2,96.75624351240656,187.5
sad,2,98.17998387574957,191.66666666666666
Pass,7,Pass,195.83333333333331
sad,2,76.69011215508652,200.0
sad,2,50.47138333320618,204.16666666666666
neutral,0,85.08198768389151,208.33333333333331
fear,4,69.82234536542566,212.5
sad,2,93.94400715827942,216.66666666666666
fear,4,35.3284469442634,220.83333333333331
sad,2,94.02852058410645,225.0
fear,4,70.37723660469055,229.16666666666666
happy,3,58.258867263793945,233.33333333333331
Pass,7,Pass,237.5
sad,2,95.68552374839783,241.66666666666666
Pass,7,Pass,245.83333333333331
angry,6,60.37225127220154,250.0
sad,2,92.83519344539603,254.16666666666666
sad,2,91.92309879339919,258.3333333333333
sad,2,91.74488733678385,262.5
