EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
Pass,7,Pass,4.166666666666666
sad,2,75.37015676498413,8.333333333333332
Pass,7,Pass,12.5
neutral,0,82.30932354927063,16.666666666666664
neutral,0,94.50156655916969,20.833333333333332
neutral,0,93.20103485590427,25.0
neutral,0,96.91110886202945,29.166666666666664
neutral,0,96.2815523147583,33.33333333333333
neutral,0,96.01120948791504,37.5
neutral,0,93.32795739173889,41.666666666666664
neutral,0,67.88056492805481,45.83333333333333
sad,2,60.21191477775574,50.0
neutral,0,60.91119647026062,54.166666666666664
neutral,0,79.56461310386658,58.33333333333333
sad,2,51.071375608444214,62.5
neutral,0,70.47789692878723,66.66666666666666
neutral,0,86.96878552436829,70.83333333333333
sad,2,64.80960845947266,75.0
neutral,0,95.46710225743665,79.16666666666666
neutral,0,53.37584614753723,83.33333333333333
neutral,0,95.72948217391968,87.5
neutral,0,96.35501503944397,91.66666666666666
neutral,0,54.93868589401245,95.83333333333333
neutral,0,90.27541279792786,100.0
neutral,0,64.24850225448608,104.16666666666666
neutral,0,93.69432292546766,108.33333333333333
Pass,7,Pass,112.5
neutral,0,79.65249419212341,116.66666666666666
neutral,0,91.15413970673917,120.83333333333333
neutral,0,77.20031142234802,125.0
neutral,0,71.2955117225647,129.16666666666666
neutral,0,84.0684285204666,133.33333333333331
sad,2,84.41993594169617,137.5
Pass,7,Pass,141.66666666666666
Pass,7,Pass,145.83333333333331
Pass,7,Pass,150.0
sad,2,93.66152286529541,154.16666666666666
sad,2,91.87050413313533,158.33333333333331
neutral,0,51.69358849525452,162.5
neutral,0,84.09418057272666,166.66666666666666
neutral,0,89.46880102157593,170.83333333333331
neutral,0,86.59144639968872,175.0
neutral,0,65.28173089027405,179.16666666666666
neutral,0,76.12801790237427,183.33333333333331
sad,2,55.303895473480225,187.5
sad,2,72.30105730282577,191.66666666666666
sad,2,76.58455232289745,195.83333333333331
sad,2,69.28962469100952,200.0
Pass,7,Pass,204.16666666666666
neutral,0,70.88831067085266,208.33333333333331
neutral,0,81.35337233543396,212.5
neutral,0,92.68508553504944,216.66666666666666
sad,2,79.84617592737962,220.83333333333331
neutral,0,96.63463810888756,225.0
neutral,0,61.159032583236694,229.16666666666666
neutral,0,60.69977283477783,233.33333333333331
neutral,0,69.52086091041565,237.5
sad,2,56.25966787338257,241.66666666666666
