EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
neutral,0,40.798134708626904,4.166666666666666
fear,4,94.29487586021423,8.333333333333332
neutral,0,55.94267249107361,12.5
neutral,0,94.53350305557251,16.666666666666664
neutral,0,83.94432067871094,20.833333333333332
neutral,0,62.62672543525696,25.0
neutral,0,48.839345436018164,29.166666666666664
sad,2,71.7200968599204,33.33333333333333
sad,2,57.19675335922797,37.5
Pass,7,Pass,41.666666666666664
neutral,0,86.65750026702881,45.83333333333333
sad,2,54.27618350244662,50.0
neutral,0,57.372814416885376,54.166666666666664
neutral,0,90.14632105827332,58.33333333333333
fear,4,63.85461472598402,62.5
Pass,7,Pass,66.66666666666666
neutral,0,94.21861171722412,70.83333333333333
neutral,0,44.1993772983551,75.0
neutral,0,93.92663836479187,79.16666666666666
neutral,0,47.94620598003793,83.33333333333333
fear,4,90.93394387555792,87.5
sad,2,50.263214111328125,91.66666666666666
Pass,7,Pass,95.83333333333333
Pass,7,Pass,100.0
Pass,7,Pass,104.16666666666666
neutral,0,56.65321946144104,108.33333333333333
surprise,1,95.92692827742864,112.5
neutral,0,57.42273926734924,116.66666666666666
sad,2,47.66244888305664,120.83333333333333
neutral,0,49.423643946647644,125.0
neutral,0,61.53140664100647,129.16666666666666
neutral,0,74.25549030303955,133.33333333333331
sad,2,51.92125462547,137.5
sad,2,75.49112439155579,141.66666666666666
neutral,0,78.57680320739746,145.83333333333331
neutral,0,49.81195627522208,150.0
neutral,0,69.57296133041382,154.16666666666666
sad,2,78.46641540527344,158.33333333333331
neutral,0,66.23059511184692,162.5
fear,4,52.77324914932251,166.66666666666666
sad,2,65.44698476791382,170.83333333333331
neutral,0,66.80165331373533,175.0
sad,2,82.53876566886902,179.16666666666666
Pass,7,Pass,183.33333333333331
neutral,0,70.56769132614136,187.5
neutral,0,83.68006944656372,191.66666666666666
neutral,0,84.09789109813518,195.83333333333331
neutral,0,74.55204725265503,200.0
neutral,0,75.30988307654161,204.16666666666666
Pass,7,Pass,208.33333333333331
Pass,7,Pass,212.5
sad,2,63.743484020233154,216.66666666666666
Pass,7,Pass,220.83333333333331
Pass,7,Pass,225.0
Pass,7,Pass,229.16666666666666
sad,2,73.69081221168113,233.33333333333331
sad,2,91.57704215323423,237.5
neutral,0,97.10628969110785,241.66666666666666
neutral,0,62.41747736930847,245.83333333333331
neutral,0,90.96233248710632,250.0
Pass,7,Pass,254.16666666666666
Pass,7,Pass,258.3333333333333
neutral,0,50.55530071258545,262.5
sad,2,47.592735290527344,266.66666666666663
neutral,0,59.70054268836975,270.8333333333333
sad,2,44.66032683849335,275.0
Pass,7,Pass,279.16666666666663
Pass,7,Pass,283.3333333333333
neutral,0,54.12135124206543,287.5
neutral,0,57.432267512814256,291.66666666666663
Pass,7,Pass,295.8333333333333
Pass,7,Pass,300.0
sad,2,53.72604727745056,304.16666666666663
neutral,0,72.45610356330872,308.3333333333333
fear,4,78.45985293388367,312.5
sad,2,38.59152793884277,316.66666666666663
Pass,7,Pass,320.8333333333333
neutral,0,64.90285992622375,325.0
neutral,0,74.09136295318604,329.16666666666663
neutral,0,68.65362524986267,333.3333333333333
fear,4,43.76331269741058,337.5
sad,2,52.904986988903644,341.66666666666663
neutral,0,72.07768559455872,345.8333333333333
neutral,0,60.490792989730835,350.0
neutral,0,58.87665152549744,354.16666666666663
neutral,0,53.03860622874536,358.3333333333333
sad,2,51.16303535389057,362.5
surprise,1,30.757713317871094,366.66666666666663
Pass,7,Pass,370.8333333333333
Pass,7,Pass,375.0
Pass,7,Pass,379.16666666666663
Pass,7,Pass,383.3333333333333
happy,3,88.49934935569763,387.5
neutral,0,58.60384455942181,391.66666666666663
sad,2,45.38799822330475,395.8333333333333
neutral,0,64.75290656089783,400.0
neutral,0,52.27888226509094,404.16666666666663
Pass,7,Pass,408.3333333333333
sad,2,52.162736654281616,412.5
Pass,7,Pass,416.66666666666663
Pass,7,Pass,420.8333333333333
Pass,7,Pass,425.0
sad,2,38.696011900901794,429.16666666666663
sad,2,66.3863480091095,433.3333333333333
Pass,7,Pass,437.5
Pass,7,Pass,441.66666666666663
Pass,7,Pass,445.8333333333333
Pass,7,Pass,450.0
Pass,7,Pass,454.16666666666663
Pass,7,Pass,458.3333333333333
Pass,7,Pass,462.5
Pass,7,Pass,466.66666666666663
neutral,0,41.90786682461105,470.8333333333333
neutral,0,50.862651960533626,475.0
sad,2,54.93624210357666,479.16666666666663
sad,2,49.907734990119934,483.3333333333333
neutral,0,46.73818051815033,487.5
Pass,7,Pass,491.66666666666663
Pass,7,Pass,495.8333333333333
sad,2,79.95452284812927,500.0
Pass,7,Pass,504.16666666666663
neutral,0,48.284554277009285,508.3333333333333
neutral,0,70.04380822181702,512.5
sad,2,54.888305359381754,516.6666666666666
Pass,7,Pass,520.8333333333333
sad,2,55.08236349610847,525.0
sad,2,60.909491777420044,529.1666666666666
sad,2,64.56828502227575,533.3333333333333
sad,2,49.91539716720581,537.5
Pass,7,Pass,541.6666666666666
Pass,7,Pass,545.8333333333333
Pass,7,Pass,550.0
Pass,7,Pass,554.1666666666666
sad,2,56.909707600456926,558.3333333333333
Pass,7,Pass,562.5
Pass,7,Pass,566.6666666666666
Pass,7,Pass,570.8333333333333
Pass,7,Pass,575.0
neutral,0,59.22413954447036,579.1666666666666
fear,4,75.89320827803513,583.3333333333333
neutral,0,68.20250749588013,587.5
neutral,0,74.38433766365051,591.6666666666666
neutral,0,55.33822774887085,595.8333333333333
neutral,0,53.55095863342285,600.0
sad,2,56.19029998779297,604.1666666666666
neutral,0,46.631970800874875,608.3333333333333
Pass,7,Pass,612.5
neutral,0,56.15909695625305,616.6666666666666
Pass,7,Pass,620.8333333333333
sad,2,94.70323324203491,625.0
neutral,0,70.44596672058105,629.1666666666666
sad,2,54.05637348034224,633.3333333333333
