Datetime,emotion
2021-05-13T10:14:33.710378,sad
2021-05-13T10:14:41.978383,fear
2021-05-13T10:14:49.885359,neutral
2021-05-13T10:14:58.665390,neutral
2021-05-13T10:15:06.468143,neutral
2021-05-13T10:15:14.345730,fear
2021-05-13T10:15:22.166440,neutral
2021-05-13T10:15:30.146915,neutral
2021-05-13T10:15:37.992202,neutral
2021-05-13T10:15:45.788811,neutral
2021-05-13T10:15:53.636830,fear
2021-05-13T10:16:01.477434,neutral
2021-05-13T10:16:09.562514,neutral
2021-05-13T10:16:17.522330,neutral
2021-05-13T10:16:25.388991,neutral
2021-05-13T10:16:33.188770,angry
2021-05-13T10:16:41.076173,neutral
2021-05-13T10:16:49.027062,neutral
2021-05-13T10:16:56.898847,neutral
2021-05-13T10:17:04.729492,fear
2021-05-13T10:17:12.606371,neutral
2021-05-13T10:17:20.411281,neutral
2021-05-13T10:17:28.467136,neutral
2021-05-13T10:17:36.397066,happy
2021-05-13T10:17:44.339476,sad
2021-05-13T10:17:52.244148,sad
2021-05-13T10:18:00.120973,neutral
2021-05-13T10:18:08.078363,sad
2021-05-13T10:18:15.922233,fear
2021-05-13T10:18:23.759852,neutral
2021-05-13T10:18:31.706911,fear
2021-05-13T10:18:39.624912,neutral
2021-05-13T10:18:47.664847,neutral
2021-05-13T10:18:55.534092,fear
2021-05-13T10:19:03.455271,sad
2021-05-13T10:19:11.365485,fear
2021-05-13T10:19:19.285819,fear
2021-05-13T10:19:27.442938,neutral
2021-05-13T10:19:35.313605,angry
2021-05-13T10:19:43.218499,neutral
2021-05-13T10:19:51.168516,fear
2021-05-13T10:19:59.230919,fear
2021-05-13T10:20:07.275993,neutral
2021-05-13T10:20:15.173536,sad
2021-05-13T10:20:23.009256,fear
2021-05-13T10:20:30.967270,fear
2021-05-13T10:20:38.774343,fear
2021-05-13T10:20:46.690679,neutral
2021-05-13T10:20:54.479351,angry
2021-05-13T10:21:02.268873,fear
2021-05-13T10:21:10.025412,fear
2021-05-13T10:21:17.751634,neutral
2021-05-13T10:21:25.722437,neutral
2021-05-13T10:21:33.555863,neutral
2021-05-13T10:21:41.425962,fear
2021-05-13T10:21:49.254219,neutral
2021-05-13T10:21:57.109304,fear
2021-05-13T10:22:05.110342,fear
2021-05-13T10:22:12.980819,fear
2021-05-13T10:22:20.845965,fear
2021-05-13T10:22:28.688700,sad
2021-05-13T10:22:36.584645,neutral
2021-05-13T10:22:44.497305,sad
2021-05-13T10:22:52.353282,neutral
2021-05-13T10:23:00.220353,fear
2021-05-13T10:23:08.041136,fear
2021-05-13T10:23:15.875757,sad
2021-05-13T10:23:23.885443,fear
2021-05-13T10:23:31.720239,neutral
2021-05-13T10:23:39.645912,sad
2021-05-13T10:23:47.509594,neutral
2021-05-13T10:23:55.380144,neutral
2021-05-13T10:24:03.340280,happy
2021-05-13T10:24:11.181914,neutral
2021-05-13T10:24:19.061441,fear
2021-05-13T10:24:26.970919,fear
2021-05-13T10:24:34.774117,fear
2021-05-13T10:24:42.699660,fear
2021-05-13T10:24:50.497745,neutral
2021-05-13T10:24:58.244478,fear
2021-05-13T10:25:06.121528,fear
2021-05-13T10:25:14.035274,fear
2021-05-13T10:25:22.058080,sad
2021-05-13T10:25:29.959769,sad
2021-05-13T10:25:37.848958,sad
2021-05-13T10:25:45.672280,sad
2021-05-13T10:25:53.538246,sad
2021-05-13T10:26:01.519189,sad
2021-05-13T10:26:09.387065,fear
2021-05-13T10:26:17.260958,neutral
2021-05-13T10:26:25.136036,neutral
2021-05-13T10:26:32.952842,fear
2021-05-13T10:26:40.954097,sad
2021-05-13T10:26:48.841092,fear
2021-05-13T10:26:56.639659,neutral
2021-05-13T10:27:04.472695,neutral
2021-05-13T10:27:12.300686,fear
2021-05-13T10:27:20.220571,neutral
2021-05-13T10:27:28.072168,neutral
2021-05-13T10:27:36.100647,sad
2021-05-13T10:27:43.966016,fear
2021-05-13T10:27:51.856567,sad
2021-05-13T10:27:59.810393,neutral
2021-05-13T10:28:07.837662,angry
2021-05-13T10:28:15.652472,neutral
2021-05-13T10:28:23.466383,neutral
2021-05-13T10:28:31.552618,angry
2021-05-13T10:28:39.492052,sad
2021-05-13T10:28:47.337500,neutral
2021-05-13T10:28:55.190791,sad
2021-05-13T10:29:03.021402,sad
2021-05-13T10:29:10.858001,fear
2021-05-13T10:29:18.797116,sad
2021-05-13T10:29:26.839111,sad
2021-05-13T10:29:34.664228,neutral
2021-05-13T10:29:42.487832,fear
2021-05-13T10:29:50.316132,fear
2021-05-13T10:29:58.286336,fear
2021-05-13T10:30:06.143784,neutral
2021-05-13T10:30:14.197406,sad
2021-05-13T10:30:22.194542,sad
2021-05-13T10:30:30.023438,neutral
2021-05-13T10:30:37.993992,fear
2021-05-13T10:30:45.845544,neutral
2021-05-13T10:30:53.891988,sad
2021-05-13T10:31:01.706706,fear
2021-05-13T10:31:09.468302,neutral
2021-05-13T10:31:17.655467,sad
2021-05-13T10:31:25.527619,fear
2021-05-13T10:31:33.350425,neutral
2021-05-13T10:31:41.159710,neutral
2021-05-13T10:31:48.968619,fear
2021-05-13T10:31:56.906212,sad
2021-05-13T10:32:04.824961,fear
2021-05-13T10:32:12.683228,neutral
2021-05-13T10:32:20.536743,fear
2021-05-13T10:32:28.382868,neutral
2021-05-13T10:32:36.545178,fear
2021-05-13T10:32:44.332394,angry
2021-05-13T10:32:52.181971,neutral
2021-05-13T10:33:00.129669,angry
2021-05-13T10:33:08.049049,fear
2021-05-13T10:33:15.985807,angry
2021-05-13T10:33:23.811944,fear
2021-05-13T10:33:31.617097,fear
2021-05-13T10:33:39.505261,fear
2021-05-13T10:33:47.320468,neutral
2021-05-13T10:33:55.280753,fear
2021-05-13T10:34:03.106754,neutral
2021-05-13T10:34:10.949892,neutral
2021-05-13T10:34:18.806724,neutral
2021-05-13T10:34:26.640962,fear
2021-05-13T10:34:34.594335,neutral
2021-05-13T10:34:42.451563,neutral
2021-05-13T10:34:50.269355,sad
2021-05-13T10:34:58.117534,sad
2021-05-13T10:35:05.984826,fear
2021-05-13T10:35:13.943734,neutral
2021-05-13T10:35:21.773083,neutral
2021-05-13T10:35:29.564296,fear
2021-05-13T10:35:37.372309,fear
2021-05-13T10:35:45.175687,sad
2021-05-13T10:35:53.101005,fear
2021-05-13T10:36:00.875249,fear
2021-05-13T10:36:08.668436,fear
2021-05-13T10:36:16.458678,fear
2021-05-13T10:36:24.276554,fear
2021-05-13T10:36:32.152739,sad
2021-05-13T10:36:39.946811,sad
2021-05-13T10:36:47.719324,fear
2021-05-13T10:36:55.527659,fear
2021-05-13T10:37:03.295166,fear
2021-05-13T10:37:11.222894,fear
2021-05-13T10:37:18.992396,fear
2021-05-13T10:37:26.813133,fear
2021-05-13T10:37:34.686138,neutral
2021-05-13T10:37:42.554704,sad
2021-05-13T10:37:50.528354,sad
2021-05-13T10:37:58.392097,sad
2021-05-13T10:38:06.255389,neutral
2021-05-13T10:38:14.177925,fear
2021-05-13T10:38:22.002524,neutral
2021-05-13T10:38:29.861980,angry
2021-05-13T10:38:37.702083,sad
2021-05-13T10:38:45.750859,sad
2021-05-13T10:38:53.763545,angry
2021-05-13T10:39:01.637177,sad
2021-05-13T10:39:09.595254,neutral
2021-05-13T10:39:17.464289,neutral
2021-05-13T10:39:25.322229,neutral
2021-05-13T10:39:33.399539,angry
2021-05-13T10:39:41.252420,sad
2021-05-13T10:39:49.200911,neutral
2021-05-13T10:39:57.028046,neutral
2021-05-13T10:40:04.894579,neutral
2021-05-13T10:40:12.735822,neutral
2021-05-13T10:40:20.562803,fear
2021-05-13T10:40:28.475305,sad
2021-05-13T10:40:36.334285,neutral
2021-05-13T10:40:44.155079,fear
2021-05-13T10:40:51.996184,neutral
2021-05-13T10:40:59.843164,sad
2021-05-13T10:41:07.802760,neutral
2021-05-13T10:41:15.850003,sad
2021-05-13T10:41:23.707992,sad
2021-05-13T10:41:31.569694,neutral
2021-05-13T10:41:39.653127,sad
2021-05-13T10:41:47.631769,neutral
2021-05-13T10:41:55.449448,sad
2021-05-13T10:42:03.312990,fear
2021-05-13T10:42:11.122119,fear
2021-05-13T10:42:18.958951,neutral
2021-05-13T10:42:26.879483,neutral
2021-05-13T10:42:34.715055,neutral
2021-05-13T10:42:42.488829,fear
2021-05-13T10:42:50.327579,fear
2021-05-13T10:42:58.123600,sad
2021-05-13T10:43:06.101724,angry
2021-05-13T10:43:13.933782,neutral
2021-05-13T10:43:21.726406,fear
2021-05-13T10:43:29.505580,neutral
2021-05-13T10:43:37.327175,sad
2021-05-13T10:43:45.243923,neutral
2021-05-13T10:43:53.146802,fear
2021-05-13T10:44:00.988341,sad
2021-05-13T10:44:08.799900,angry
2021-05-13T10:44:16.588270,fear
2021-05-13T10:44:24.529643,fear
2021-05-13T10:44:32.354132,neutral
2021-05-13T10:44:40.192225,neutral
2021-05-13T10:44:48.087131,sad
2021-05-13T10:44:55.956995,neutral
2021-05-13T10:45:03.924490,neutral
2021-05-13T10:45:11.823803,neutral
2021-05-13T10:45:19.733326,neutral
2021-05-13T10:45:27.565430,neutral
2021-05-13T10:45:35.387145,neutral
2021-05-13T10:45:43.343980,neutral
2021-05-13T10:45:51.156435,angry
2021-05-13T10:45:59.007773,fear
2021-05-13T10:46:06.806525,neutral
2021-05-13T10:46:14.613816,neutral
2021-05-13T10:46:22.520206,fear
