Datetime,emotion
2021-05-13T11:11:14.274047,angry
2021-05-13T11:11:22.266147,neutral
2021-05-13T11:11:30.156290,fear
2021-05-13T11:11:37.963323,neutral
2021-05-13T11:11:45.770957,neutral
2021-05-13T11:11:53.583197,neutral
2021-05-13T11:12:01.510652,fear
2021-05-13T11:12:09.400401,sad
2021-05-13T11:12:17.440526,angry
2021-05-13T11:12:25.198103,fear
2021-05-13T11:12:33.016409,fear
2021-05-13T11:12:40.810212,fear
2021-05-13T11:12:48.758457,fear
2021-05-13T11:12:56.586323,neutral
2021-05-13T11:13:04.514343,fear
2021-05-13T11:13:12.347185,neutral
2021-05-13T11:13:20.327247,neutral
2021-05-13T11:13:28.410627,sad
2021-05-13T11:13:36.261151,sad
2021-05-13T11:13:44.079595,fear
2021-05-13T11:13:51.910926,neutral
2021-05-13T11:13:59.802379,fear
2021-05-13T11:14:07.608455,fear
2021-05-13T11:14:15.476506,fear
2021-05-13T11:14:23.319180,fear
2021-05-13T11:14:31.165627,neutral
2021-05-13T11:14:39.098755,neutral
2021-05-13T11:14:46.913412,fear
2021-05-13T11:14:54.741290,neutral
2021-05-13T11:15:02.608420,sad
2021-05-13T11:15:10.500642,sad
2021-05-13T11:15:18.467283,neutral
2021-05-13T11:15:26.298751,sad
2021-05-13T11:15:34.084374,sad
2021-05-13T11:15:41.872215,neutral
2021-05-13T11:15:49.710870,fear
2021-05-13T11:15:57.728222,neutral
2021-05-13T11:16:05.551538,neutral
2021-05-13T11:16:13.395127,fear
2021-05-13T11:16:21.217991,fear
2021-05-13T11:16:29.051996,fear
2021-05-13T11:16:37.018151,neutral
2021-05-13T11:16:44.879785,neutral
2021-05-13T11:16:52.721718,neutral
2021-05-13T11:17:00.550234,neutral
2021-05-13T11:17:08.348437,fear
2021-05-13T11:17:16.228388,neutral
2021-05-13T11:17:24.209163,neutral
2021-05-13T11:17:32.027527,neutral
2021-05-13T11:17:39.885697,sad
2021-05-13T11:17:47.690999,sad
2021-05-13T11:17:55.676735,neutral
2021-05-13T11:18:03.529868,neutral
