Datetime,value
BVP
2021-03-20 18:05:20.998600,8.56546
2021-03-20 18:05:21.014230,9.064972
2021-03-20 18:05:21.029850,9.464355
2021-03-20 18:05:21.045480,9.765015
2021-03-20 18:05:21.061100,9.904236
2021-03-20 18:05:21.076730,9.853607
2021-03-20 18:05:21.092350,9.607391
2021-03-20 18:05:21.107980,9.190674
2021-03-20 18:05:21.123610,8.638885
2021-03-20 18:05:21.139230,7.961761
2021-03-20 18:05:21.154860,7.196533
2021-03-20 18:05:21.170480,6.40155
2021-03-20 18:05:21.186110,5.700928
2021-03-20 18:05:21.201740,5.203064
2021-03-20 18:05:21.217360,4.997589
2021-03-20 18:05:21.232990,5.108063
2021-03-20 18:05:21.248610,5.471832
2021-03-20 18:05:21.264240,5.983734
2021-03-20 18:05:21.279860,6.483368
2021-03-20 18:05:21.295490,6.852356
2021-03-20 18:05:21.311120,6.986816
2021-03-20 18:05:21.326740,6.847931
2021-03-20 18:05:21.342370,6.389557
2021-03-20 18:05:21.357990,5.607574
2021-03-20 18:05:21.373620,4.5271
2021-03-20 18:05:21.389240,3.230377
2021-03-20 18:05:21.404870,1.854584
2021-03-20 18:05:21.420500,0.5688782
2021-03-20 18:05:21.436120,-0.4736633
2021-03-20 18:05:21.451750,-1.205933
2021-03-20 18:05:21.467370,-1.644379
2021-03-20 18:05:21.483000,-1.891174
2021-03-20 18:05:21.498620,-2.060944
2021-03-20 18:05:21.514250,-2.240204
2021-03-20 18:05:21.529880,-2.470398
2021-03-20 18:05:21.545500,-2.763489
2021-03-20 18:05:21.561130,-3.160919
2021-03-20 18:05:21.576750,-3.709717
2021-03-20 18:05:21.592380,-4.491302
2021-03-20 18:05:21.608000,-5.518677
2021-03-20 18:05:21.623630,-6.718323
2021-03-20 18:05:21.639260,-7.906006
2021-03-20 18:05:21.654880,-8.824524
2021-03-20 18:05:21.670510,-9.247711
2021-03-20 18:05:21.686130,-8.991577
2021-03-20 18:05:21.701760,-8.033325
2021-03-20 18:05:21.717380,-6.448181
2021-03-20 18:05:21.733010,-4.422577
2021-03-20 18:05:21.748640,-2.170776
2021-03-20 18:05:21.764260,0.115509
2021-03-20 18:05:21.779890,2.257813
2021-03-20 18:05:21.795510,4.156616
2021-03-20 18:05:21.811140,5.720245
2021-03-20 18:05:21.826760,6.924591
2021-03-20 18:05:21.842390,7.755035
2021-03-20 18:05:21.858020,8.248901
2021-03-20 18:05:21.873640,8.448914
2021-03-20 18:05:21.889270,8.411011
2021-03-20 18:05:21.904890,8.153503
2021-03-20 18:05:21.920520,7.64212
2021-03-20 18:05:21.936140,6.850739
2021-03-20 18:05:21.951770,5.761108
2021-03-20 18:05:21.967400,4.454346
2021-03-20 18:05:21.983020,3.10791
2021-03-20 18:05:21.998650,1.963562
2021-03-20 18:05:22.014270,1.208221
2021-03-20 18:05:22.029900,0.9385986
2021-03-20 18:05:22.045520,1.103882
2021-03-20 18:05:22.061150,1.51413
2021-03-20 18:05:22.076780,1.9552
2021-03-20 18:05:22.092400,2.240204
2021-03-20 18:05:22.108030,2.26709
2021-03-20 18:05:22.123650,2.029816
2021-03-20 18:05:22.139280,1.585388
2021-03-20 18:05:22.154900,1.022644
2021-03-20 18:05:22.170530,0.4475403
2021-03-20 18:05:22.201780,-0.2470093
2021-03-20 18:05:22.217410,-0.1798706
2021-03-20 18:05:22.233030,0.1671448
2021-03-20 18:05:22.248660,0.6680603
2021-03-20 18:05:22.264280,1.083649
2021-03-20 18:05:22.279910,1.124512
2021-03-20 18:05:22.295540,0.5731201
2021-03-20 18:05:22.311160,-0.6607666
2021-03-20 18:05:22.326790,-2.480988
2021-03-20 18:05:22.342410,-4.618347
2021-03-20 18:05:22.358040,-6.7005
2021-03-20 18:05:22.373660,-8.380432
2021-03-20 18:05:22.389290,-9.439606
2021-03-20 18:05:22.404920,-9.860962
2021-03-20 18:05:22.420540,-9.842682
2021-03-20 18:05:22.436170,-9.679047
2021-03-20 18:05:22.451790,-9.680756
2021-03-20 18:05:22.467420,-10.00531
2021-03-20 18:05:22.483040,-10.59952
2021-03-20 18:05:22.498670,-11.19077
2021-03-20 18:05:22.514300,-11.41873
2021-03-20 18:05:22.529920,-10.97144
2021-03-20 18:05:22.545550,-9.705444
2021-03-20 18:05:22.561170,-7.723175
