Datetime,value
BVP
2021-05-05 11:37:43.469610,11.20886
2021-05-05 11:37:43.485240,12.22472
2021-05-05 11:37:43.500860,12.94012
2021-05-05 11:37:43.516490,12.81219
2021-05-05 11:37:43.532120,11.54346
2021-05-05 11:37:43.547740,9.11911
2021-05-05 11:37:43.563370,5.748184
2021-05-05 11:37:43.578990,1.70961
2021-05-05 11:37:43.594620,-2.763351
2021-05-05 11:37:43.610240,-7.450165
2021-05-05 11:37:43.625870,-12.05074
2021-05-05 11:37:43.641500,-16.14311
2021-05-05 11:37:43.657120,-19.26987
2021-05-05 11:37:43.672750,-21.05804
2021-05-05 11:37:43.688370,-21.44319
2021-05-05 11:37:43.704000,-20.70493
2021-05-05 11:37:43.719620,-19.45619
2021-05-05 11:37:43.735250,-18.43828
2021-05-05 11:37:43.750880,-18.32143
2021-05-05 11:37:43.766500,-19.50917
2021-05-05 11:37:43.782130,-22.05641
2021-05-05 11:37:43.797750,-25.65878
2021-05-05 11:37:43.813380,-29.63684
2021-05-05 11:37:43.829000,-33.04637
2021-05-05 11:37:43.844630,-34.85204
2021-05-05 11:37:43.860260,-34.20831
2021-05-05 11:37:43.875880,-30.82599
2021-05-05 11:37:43.891510,-25.13991
2021-05-05 11:37:43.907130,-18.25092
2021-05-05 11:37:43.922760,-11.52377
2021-05-05 11:37:43.938380,-6.137894
2021-05-05 11:37:43.954010,-2.664948
2021-05-05 11:37:43.969640,-1.008255
2021-05-05 11:37:43.985260,-0.5597687
2021-05-05 11:37:44.000890,-0.5429688
2021-05-05 11:37:44.016510,-0.3262634
2021-05-05 11:37:44.032140,0.4408875
2021-05-05 11:37:44.047760,1.84758
2021-05-05 11:37:44.063390,3.763977
2021-05-05 11:37:44.079020,5.939926
2021-05-05 11:37:44.094640,8.036255
2021-05-05 11:37:44.110270,9.698822
2021-05-05 11:37:44.125890,10.65196
2021-05-05 11:37:44.141520,10.82059
2021-05-05 11:37:44.157140,10.36258
2021-05-05 11:37:44.172770,9.588379
2021-05-05 11:37:44.188400,8.797592
2021-05-05 11:37:44.204020,8.150864
2021-05-05 11:37:44.219650,7.606873
2021-05-05 11:37:44.235270,7.023392
2021-05-05 11:37:44.250900,6.239624
2021-05-05 11:37:44.266520,5.155762
2021-05-05 11:37:44.282150,3.73999
2021-05-05 11:37:44.297780,2.002365
2021-05-05 11:37:44.313400,-0.01306152
2021-05-05 11:37:44.329030,-2.210419
2021-05-05 11:37:44.344650,-4.448181
2021-05-05 11:37:44.360280,-6.622009
2021-05-05 11:37:44.375900,-8.710495
2021-05-05 11:37:44.391530,-10.84792
2021-05-05 11:37:44.407160,-13.27182
2021-05-05 11:37:44.422780,-16.15547
2021-05-05 11:37:44.438410,-19.4194
2021-05-05 11:37:44.454030,-22.63554
2021-05-05 11:37:44.469660,-25.11737
2021-05-05 11:37:44.485290,-26.13678
2021-05-05 11:37:44.500910,-25.25121
2021-05-05 11:37:44.516540,-22.45171
2021-05-05 11:37:44.532160,-18.14128
2021-05-05 11:37:44.547790,-12.90663
2021-05-05 11:37:44.563410,-7.277115
2021-05-05 11:37:44.579040,-1.545609
2021-05-05 11:37:44.594670,4.198181
2021-05-05 11:37:44.610290,9.956192
2021-05-05 11:37:44.625920,15.70041
2021-05-05 11:37:44.641540,21.33427
2021-05-05 11:37:44.657170,26.74008
2021-05-05 11:37:44.672790,31.83707
2021-05-05 11:37:44.688420,36.57883
2021-05-05 11:37:44.704050,40.91385
2021-05-05 11:37:44.719670,44.70485
2021-05-05 11:37:44.735300,47.71863
2021-05-05 11:37:44.750920,49.69438
2021-05-05 11:37:44.766550,50.44528
2021-05-05 11:37:44.782170,49.93843
2021-05-05 11:37:44.797800,48.30579
2021-05-05 11:37:44.813430,45.7894
2021-05-05 11:37:44.829050,42.65579
2021-05-05 11:37:44.844680,39.16451
2021-05-05 11:37:44.860300,35.52524
2021-05-05 11:37:44.875930,31.88707
2021-05-05 11:37:44.891550,28.31017
2021-05-05 11:37:44.907180,24.72331
2021-05-05 11:37:44.922810,20.95181
2021-05-05 11:37:44.938430,16.81105
2021-05-05 11:37:44.954060,12.23059
2021-05-05 11:37:44.969680,7.360275
2021-05-05 11:37:44.985310,2.545135
2021-05-05 11:37:45.000930,-1.843323
2021-05-05 11:37:45.016560,-5.618332
2021-05-05 11:37:45.032190,-8.931732
2021-05-05 11:37:45.047810,-12.21022
2021-05-05 11:37:45.063440,-15.95879
2021-05-05 11:37:45.079060,-20.41473
2021-05-05 11:37:45.094690,-25.34602
2021-05-05 11:37:45.110310,-30.05908
2021-05-05 11:37:45.125940,-33.60468
2021-05-05 11:37:45.141570,-35.11655
2021-05-05 11:37:45.157190,-34.11185
2021-05-05 11:37:45.172820,-30.64175
2021-05-05 11:37:45.188440,-25.24004
2021-05-05 11:37:45.204070,-18.71176
2021-05-05 11:37:45.219690,-11.86877
2021-05-05 11:37:45.235320,-5.33551
2021-05-05 11:37:45.250950,0.5331726
2021-05-05 11:37:45.266570,5.615601
2021-05-05 11:37:45.282200,9.901581
2021-05-05 11:37:45.297820,13.3907
2021-05-05 11:37:45.313450,16.06587
2021-05-05 11:37:45.329070,17.92668
2021-05-05 11:37:45.344700,19.05275
2021-05-05 11:37:45.360330,19.64151
2021-05-05 11:37:45.375950,19.97083
2021-05-05 11:37:45.391580,20.31512
2021-05-05 11:37:45.407200,20.8392
2021-05-05 11:37:45.422830,21.53668
2021-05-05 11:37:45.438450,22.23776
2021-05-05 11:37:45.454080,22.6898
2021-05-05 11:37:45.469710,22.66034
2021-05-05 11:37:45.485330,22.06123
2021-05-05 11:37:45.500960,20.96646
2021-05-05 11:37:45.516580,19.62491
2021-05-05 11:37:45.532210,18.34537
2021-05-05 11:37:45.547830,17.3887
2021-05-05 11:37:45.563460,16.81429
2021-05-05 11:37:45.579090,16.46159
2021-05-05 11:37:45.594710,16.01036
2021-05-05 11:37:45.610340,15.09998
2021-05-05 11:37:45.625960,13.48415
2021-05-05 11:37:45.641590,11.09285
2021-05-05 11:37:45.657210,8.049759
2021-05-05 11:37:45.672840,4.616913
2021-05-05 11:37:45.688470,1.134964
2021-05-05 11:37:45.704090,-2.041855
2021-05-05 11:37:45.719720,-4.635803
2021-05-05 11:37:45.735340,-6.548782
2021-05-05 11:37:45.750970,-7.967926
2021-05-05 11:37:45.766590,-9.32663
2021-05-05 11:37:45.782220,-11.18222
2021-05-05 11:37:45.797850,-13.97307
2021-05-05 11:37:45.813470,-17.76793
2021-05-05 11:37:45.829100,-22.157
2021-05-05 11:37:45.844720,-26.34555
2021-05-05 11:37:45.860350,-29.37761
2021-05-05 11:37:45.875970,-30.44174
2021-05-05 11:37:45.891600,-29.121
2021-05-05 11:37:45.907230,-25.52429
2021-05-05 11:37:45.922850,-20.31259
2021-05-05 11:37:45.938480,-14.54437
2021-05-05 11:37:45.954100,-9.434525
2021-05-05 11:37:45.969730,-5.982208
2021-05-05 11:37:45.985350,-4.647552
2021-05-05 11:37:46.000980,-5.179779
2021-05-05 11:37:46.016610,-6.731949
2021-05-05 11:37:46.032230,-8.232346
2021-05-05 11:37:46.047860,-8.823975
2021-05-05 11:37:46.063480,-8.167709
2021-05-05 11:37:46.079110,-6.433212
2021-05-05 11:37:46.094730,-4.033539
2021-05-05 11:37:46.110360,-1.316208
2021-05-05 11:37:46.125990,1.618408
2021-05-05 11:37:46.141610,4.793289
2021-05-05 11:37:46.157240,8.173386
2021-05-05 11:37:46.172860,11.47485
2021-05-05 11:37:46.188490,14.21564
2021-05-05 11:37:46.204110,15.94788
2021-05-05 11:37:46.219740,16.55574
2021-05-05 11:37:46.235370,16.44109
2021-05-05 11:37:46.250990,16.42377
2021-05-05 11:37:46.266620,17.43355
2021-05-05 11:37:46.282240,20.0717
2021-05-05 11:37:46.297870,24.29396
2021-05-05 11:37:46.313490,29.41025
2021-05-05 11:37:46.329120,34.43908
2021-05-05 11:37:46.344750,38.65083
2021-05-05 11:37:46.360370,42.01344
2021-05-05 11:37:46.376000,45.23549
2021-05-05 11:37:46.391620,49.35113
2021-05-05 11:37:46.407250,55.04221
2021-05-05 11:37:46.422870,62.09792
2021-05-05 11:37:46.438500,69.33924
2021-05-05 11:37:46.454130,75.13284
2021-05-05 11:37:46.469750,78.21573
2021-05-05 11:37:46.485380,78.37706
2021-05-05 11:37:46.501000,76.55009
2021-05-05 11:37:46.516630,74.26016
2021-05-05 11:37:46.532250,72.73175
2021-05-05 11:37:46.547880,72.06287
2021-05-05 11:37:46.563510,71.12917
2021-05-05 11:37:46.579130,68.13524
2021-05-05 11:37:46.594760,61.64346
2021-05-05 11:37:46.610380,51.43455
2021-05-05 11:37:46.626010,38.72214
2021-05-05 11:37:46.641630,25.56367
2021-05-05 11:37:46.657260,13.89581
2021-05-05 11:37:46.672890,4.857908
2021-05-05 11:37:46.688510,-1.275641
2021-05-05 11:37:46.704140,-4.516842
2021-05-05 11:37:46.719760,-4.664268
2021-05-05 11:37:46.735390,-1.242268
2021-05-05 11:37:46.751010,5.837345
2021-05-05 11:37:46.766640,15.48399
2021-05-05 11:37:46.782270,25.18499
2021-05-05 11:37:46.797890,31.76245
2021-05-05 11:37:46.813520,32.93332
2021-05-05 11:37:46.829140,28.59828
2021-05-05 11:37:46.844770,21.12467
2021-05-05 11:37:46.860390,14.08734
2021-05-05 11:37:46.876020,10.37496
2021-05-05 11:37:46.891650,10.65294
2021-05-05 11:37:46.907270,13.25014
2021-05-05 11:37:46.922900,15.4389
2021-05-05 11:37:46.938520,15.34905
2021-05-05 11:37:46.954150,13.1964
2021-05-05 11:37:46.969770,10.94931
2021-05-05 11:37:46.985400,10.63016
2021-05-05 11:37:47.001030,12.27303
2021-05-05 11:37:47.016650,13.14447
2021-05-05 11:37:47.032280,8.906494
2021-05-05 11:37:47.047900,-3.859039
2021-05-05 11:37:47.063530,-25.1273
2021-05-05 11:37:47.079160,-50.74817
2021-05-05 11:37:47.094780,-74.09416
2021-05-05 11:37:47.110410,-89.26154
2021-05-05 11:37:47.126030,-93.89619
2021-05-05 11:37:47.141660,-90.07387
2021-05-05 11:37:47.157280,-82.75098
2021-05-05 11:37:47.172910,-76.87863
2021-05-05 11:37:47.188540,-74.94507
2021-05-05 11:37:47.204160,-76.28136
2021-05-05 11:37:47.219790,-78.36719
2021-05-05 11:37:47.235410,-78.97121
2021-05-05 11:37:47.251040,-77.72766
2021-05-05 11:37:47.266660,-76.1842
2021-05-05 11:37:47.282290,-76.53848
2021-05-05 11:37:47.297920,-80.03491
2021-05-05 11:37:47.313540,-86.09689
2021-05-05 11:37:47.329170,-92.59509
2021-05-05 11:37:47.344790,-96.8334
2021-05-05 11:37:47.360420,-96.85574
2021-05-05 11:37:47.376040,-92.12985
2021-05-05 11:37:47.391670,-83.62158
2021-05-05 11:37:47.407300,-73.15417
2021-05-05 11:37:47.422920,-62.60883
2021-05-05 11:37:47.438550,-53.23596
2021-05-05 11:37:47.454170,-45.39597
2021-05-05 11:37:47.469800,-38.71774
2021-05-05 11:37:47.485420,-32.55438
2021-05-05 11:37:47.501050,-26.50275
2021-05-05 11:37:47.516680,-20.68646
2021-05-05 11:37:47.532300,-15.70798
2021-05-05 11:37:47.547930,-12.30466
2021-05-05 11:37:47.563550,-10.92017
2021-05-05 11:37:47.579180,-11.42075
2021-05-05 11:37:47.594800,-13.11942
2021-05-05 11:37:47.610430,-15.06488
2021-05-05 11:37:47.626060,-16.49969
2021-05-05 11:37:47.641680,-17.189
2021-05-05 11:37:47.657310,-17.46964
2021-05-05 11:37:47.672930,-18.01175
2021-05-05 11:37:47.688560,-19.41071
2021-05-05 11:37:47.704180,-21.82858
2021-05-05 11:37:47.719810,-24.88742
2021-05-05 11:37:47.735440,-27.83188
