EmotionDetected,EmotionNumber,Percentage,Second
Pass,7,Pass,0.0
sad,2,95.6749975681305,4.166666666666666
sad,2,99.71289035235529,8.333333333333332
sad,2,94.89158987998962,12.5
Pass,7,Pass,16.666666666666664
Pass,7,Pass,20.833333333333332
Pass,7,Pass,25.0
Pass,7,Pass,29.166666666666664
Pass,7,Pass,33.33333333333333
Pass,7,Pass,37.5
Pass,7,Pass,41.666666666666664
Pass,7,Pass,45.83333333333333
Pass,7,Pass,50.0
Pass,7,Pass,54.166666666666664
Pass,7,Pass,58.33333333333333
Pass,7,Pass,62.5
Pass,7,Pass,66.66666666666666
Pass,7,Pass,70.83333333333333
Pass,7,Pass,75.0
Pass,7,Pass,79.16666666666666
Pass,7,Pass,83.33333333333333
Pass,7,Pass,87.5
Pass,7,Pass,91.66666666666666
Pass,7,Pass,95.83333333333333
Pass,7,Pass,100.0
Pass,7,Pass,104.16666666666666
Pass,7,Pass,108.33333333333333
Pass,7,Pass,112.5
Pass,7,Pass,116.66666666666666
Pass,7,Pass,120.83333333333333
Pass,7,Pass,125.0
Pass,7,Pass,129.16666666666666
Pass,7,Pass,133.33333333333331
Pass,7,Pass,137.5
Pass,7,Pass,141.66666666666666
Pass,7,Pass,145.83333333333331
Pass,7,Pass,150.0
Pass,7,Pass,154.16666666666666
Pass,7,Pass,158.33333333333331
Pass,7,Pass,162.5
Pass,7,Pass,166.66666666666666
Pass,7,Pass,170.83333333333331
Pass,7,Pass,175.0
Pass,7,Pass,179.16666666666666
Pass,7,Pass,183.33333333333331
Pass,7,Pass,187.5
Pass,7,Pass,191.66666666666666
Pass,7,Pass,195.83333333333331
Pass,7,Pass,200.0
Pass,7,Pass,204.16666666666666
Pass,7,Pass,208.33333333333331
Pass,7,Pass,212.5
Pass,7,Pass,216.66666666666666
Pass,7,Pass,220.83333333333331
Pass,7,Pass,225.0
Pass,7,Pass,229.16666666666666
Pass,7,Pass,233.33333333333331
Pass,7,Pass,237.5
Pass,7,Pass,241.66666666666666
Pass,7,Pass,245.83333333333331
sad,2,67.03598499298096,250.0
Pass,7,Pass,254.16666666666666
neutral,0,95.38561701774597,258.3333333333333
neutral,0,93.7736988067627,262.5
Pass,7,Pass,266.66666666666663
neutral,0,99.26020503044128,270.8333333333333
neutral,0,98.89239066197817,275.0
happy,3,89.7171867230908,279.16666666666663
neutral,0,68.74542236328125,283.3333333333333
Pass,7,Pass,287.5
Pass,7,Pass,291.66666666666663
Pass,7,Pass,295.8333333333333
Pass,7,Pass,300.0
happy,3,77.82522439956665,304.16666666666663
happy,3,99.64850542834434,308.3333333333333
neutral,0,99.63916537995132,312.5
sad,2,86.58037701728207,316.66666666666663
happy,3,96.44850534814532,320.8333333333333
Pass,7,Pass,325.0
sad,2,56.00606536901387,329.16666666666663
neutral,0,59.24922823905945,333.3333333333333
sad,2,99.23142790794373,337.5
Pass,7,Pass,341.66666666666663
Pass,7,Pass,345.8333333333333
neutral,0,73.34885001182556,350.0
neutral,0,76.36323430319037,354.16666666666663
Pass,7,Pass,358.3333333333333
Pass,7,Pass,362.5
Pass,7,Pass,366.66666666666663
Pass,7,Pass,370.8333333333333
Pass,7,Pass,375.0
Pass,7,Pass,379.16666666666663
Pass,7,Pass,383.3333333333333
Pass,7,Pass,387.5
Pass,7,Pass,391.66666666666663
neutral,0,78.34408283233643,395.8333333333333
Pass,7,Pass,400.0
Pass,7,Pass,404.16666666666663
Pass,7,Pass,408.3333333333333
Pass,7,Pass,412.5
Pass,7,Pass,416.66666666666663
Pass,7,Pass,420.8333333333333
Pass,7,Pass,425.0
Pass,7,Pass,429.16666666666663
Pass,7,Pass,433.3333333333333
Pass,7,Pass,437.5
Pass,7,Pass,441.66666666666663
Pass,7,Pass,445.8333333333333
fear,4,57.33837827076783,450.0
sad,2,49.25218224525452,454.16666666666663
sad,2,78.53914499282837,458.3333333333333
fear,4,99.98830556730098,462.5
Pass,7,Pass,466.66666666666663
Pass,7,Pass,470.8333333333333
Pass,7,Pass,475.0
Pass,7,Pass,479.16666666666663
sad,2,99.74160788903284,483.3333333333333
Pass,7,Pass,487.5
Pass,7,Pass,491.66666666666663
Pass,7,Pass,495.8333333333333
Pass,7,Pass,500.0
Pass,7,Pass,504.16666666666663
Pass,7,Pass,508.3333333333333
Pass,7,Pass,512.5
Pass,7,Pass,516.6666666666666
Pass,7,Pass,520.8333333333333
Pass,7,Pass,525.0
Pass,7,Pass,529.1666666666666
Pass,7,Pass,533.3333333333333
Pass,7,Pass,537.5
Pass,7,Pass,541.6666666666666
Pass,7,Pass,545.8333333333333
fear,4,99.91121291585046,550.0
happy,3,99.58744650036735,554.1666666666666
neutral,0,97.62199506890744,558.3333333333333
Pass,7,Pass,562.5
Pass,7,Pass,566.6666666666666
Pass,7,Pass,570.8333333333333
Pass,7,Pass,575.0
Pass,7,Pass,579.1666666666666
Pass,7,Pass,583.3333333333333
Pass,7,Pass,587.5
Pass,7,Pass,591.6666666666666
Pass,7,Pass,595.8333333333333
Pass,7,Pass,600.0
Pass,7,Pass,604.1666666666666
Pass,7,Pass,608.3333333333333
neutral,0,98.5832034697058,612.5
sad,2,99.50029253959656,616.6666666666666
neutral,0,98.4480082988739,620.8333333333333
Pass,7,Pass,625.0
Pass,7,Pass,629.1666666666666
Pass,7,Pass,633.3333333333333
Pass,7,Pass,637.5
Pass,7,Pass,641.6666666666666
Pass,7,Pass,645.8333333333333
Pass,7,Pass,650.0
Pass,7,Pass,654.1666666666666
neutral,0,97.4144995212555,658.3333333333333
fear,4,81.36078119277954,662.5
Pass,7,Pass,666.6666666666666
neutral,0,97.75970578193665,670.8333333333333
neutral,0,86.92790787982392,675.0
neutral,0,96.89998067617647,679.1666666666666
Pass,7,Pass,683.3333333333333
Pass,7,Pass,687.5
Pass,7,Pass,691.6666666666666
Pass,7,Pass,695.8333333333333
neutral,0,91.42780303955078,700.0
Pass,7,Pass,704.1666666666666
sad,2,50.588154792785645,708.3333333333333
Pass,7,Pass,712.5
Pass,7,Pass,716.6666666666666
Pass,7,Pass,720.8333333333333
Pass,7,Pass,725.0
Pass,7,Pass,729.1666666666666
Pass,7,Pass,733.3333333333333
Pass,7,Pass,737.5
Pass,7,Pass,741.6666666666666
Pass,7,Pass,745.8333333333333
happy,3,90.55752754211426,750.0
Pass,7,Pass,754.1666666666666
Pass,7,Pass,758.3333333333333
neutral,0,96.31624817848206,762.5
