HRV_LFHF-D-HRV_MSE,Gamma_F3-D-Gamma_C4,HRV_HF-D-vlf,bpm-D-vlf,HRV_RMSSD-D-HRV_MSE,HRV_PAS-D-HRV_MSE,hf-D-vlf,Fatigue-M-Engagement,lf-D-vlf,Gamma_FP1-D-Gamma_F4,p_total-D-lf,Alpha_FP1-D-Fatigue,HRV_VHF-D-vlf,Theta_FP1-D-Fatigue,Alpha_FP1-M-Engagement,Alpha_FP1-D-Engagement,breathingrate-D-HRV_MSE,Gamma_F3-D-Theta_FP1,p_total-D-HRV_LF,hf-D-lf,Alpha_FP1-M-Theta_FP1,Gamma_FP1-D-Alpha_FP1,Alpha_FP1-M-Gamma_F4,sad,HRV_PIP-D-HRV_PSS,Fatigue-D-Load,Alpha_FP1-D-Theta_FP1,Load,sdnn-D-HRV_MSE,HRV_HFn-D-HRV_MSE,p_total-D-hf,HRV_DFA-D-HRV_MSE,bpm-D-hf,HRV_HF-D-lf,Gamma_C4,HRV_S-D-hf,HRV_CSI-D-HRV_MSE,hr_mad-D-p_total,HRV_S-D-p_total,HRV_LFHF-D-hf,Fatigue-D-Theta_FP1,Load-D-Gamma_F4,HRV_LnHF-D-HRV_MSE,Fatigue-D-Alpha_FP1,LowBeta_FP1-D-LowBeta_F3,Alpha_FP1,HighBeta_C4,hr_mad-D-hf,Fatigue-D-Gamma_F4,HRV_LF-D-lf,HRV_TINN-D-hf,Gamma_C4-M-Fatigue,Gamma_F4-M-Engagement,Fatigue,bpm-D-lf,Alpha_FP1-M-Gamma_F3,bpm-D-HRV_MSE,Alpha_FP1-D-Gamma_FP1,HRV_TINN-D-lf,Gamma_F4-D-Theta_FP1,vlf-D-lf,HRV_LFHF-D-p_total,HRV_HF-D-hf,Theta_FP1,HRV_LFHF-D-lf,HRV_TINN-D-p_total,vlf-L,neutral,Gamma_F3,vlf-D-HRV_HF,Gamma_C3-D-Gamma_C4,angry,LowBeta_C3,Gamma_PZ-D-Fatigue,vlf-M-HRV_LFHF,HRV_LF-D-HRV_MSE,p_total-D-HRV_VHF,happy,Gamma_F4-D-Alpha_FP1,p_total-D-hr_mad,Engagement-D-Gamma_F4,HRV_VHF-D-HRV_MSE,Gamma_F4-D-Gamma_F3,Gamma_C3-D-LowBeta_C3,HRV_SampEn-D-HRV_MSE,HRV_LF-D-hf,HRV_LF-D-p_total,Theta_FP1-D-Gamma_F4,LowBeta_FP2-D-HighBeta_FP1,Gamma_F4-D-Gamma_FP2,Alpha_FP1-D-Alpha_F3,LowBeta_C4-D-HighBeta_C4,Gamma_C3,Gamma_F3-D-Alpha_FP2,Alpha_FP1-D-Gamma_C4,p_total-D-HRV_RMSSD,Gamma_F3-D-LowBeta_FP1,LowBeta_C4,Gamma_C3-M-Gamma_C4,Gamma_F4-D-Engagement,ID,Take,PSI_Score,MCE_Score,MCE_Category,PSI_Category
0.35667107,0.44976616,0.95293176,0.78580886,0.5349244,0.46438232,0.3785775,0.67733586,0.41209015,0.4584233,0.45784262,0.69230556,0.8969143,0.69432676,0.7349444,0.7058689,0.22470145,0.35778004,0.16681398,0.45784262,0.38656756,0.47820395,0.23478371,0.26027396,0.4523147,0.288615,0.2873835,0.78383285,0.8022646,0.677488,0.040247545,0.44614932,0.9973115,0.99467176,0.694855,0.9973115,0.37728673,0.9973115,0.9973115,0.9973115,0.29867715,0.13243453,0.5762369,0.20199414,0.58914495,0.72462064,0.79098135,0.9973115,0.11269991,0.9324905,0.9973115,0.3991646,0.6829629,0.74070203,0.9850732,0.36202717,0.17253117,0.38877738,0.9475428,0.29585943,0.28585473,0.9973115,0.9973115,0.42242894,0.8030099,0.9973115,0.15757805,0.26027396,0.59604305,0.29161265,0.45841074,0.01369863,0.61623347,0.6993611,0.2665113,0.28263992,0.40514064,0.26027396,0.42100248,0.09268901,0.36210224,0.31444,0.35508797,0.42356262,0.43371007,0.9973115,0.9973115,0.8105231,0.8047586,0.44135755,0.42964262,0.5194454,0.6042257,0.7247146,0.3138544,0.114363,0.40431684,0.7903907,0.3296706,0.64275634,DJ01,1,0.7,2.75,Regular,Positivo
0.37999368,0.44745225,0.37199786,0.36072785,0.38153675,0.3521708,0.3785775,0.6766735,0.41209015,0.46038723,0.45784262,0.69236636,0.3888362,0.695039,0.73534966,0.711113,0.3112067,0.3605544,0.5650528,0.45784262,0.383106,0.4840922,0.23318118,0.027027028,0.5138377,0.2791995,0.28748244,0.783283,0.3739003,0.44970688,0.29185066,0.41880462,0.45784262,0.44256827,0.6888819,0.45784262,0.3659837,0.45784262,0.45784262,0.45784262,0.29638368,0.12933862,0.5904858,0.20091462,0.6055865,0.7268506,0.7729174,0.45784262,0.11344772,0.44253486,0.45784262,0.4019447,0.6828455,0.7336441,0.439669,0.36117268,0.3699256,0.38638327,0.44167066,0.29651996,0.630256,0.45784262,0.45784262,0.43225718,0.44791397,0.45784262,0.6313157,0.5135135,0.5964739,0.50481415,0.4554272,0.027027028,0.6188966,0.69898623,0.4768515,0.30744272,0.4245352,0.027027028,0.4219374,0.5351398,0.34847793,0.46909443,0.35369435,0.42383394,0.45635796,0.45784262,0.45784262,0.80752486,0.83474314,0.45111257,0.41487855,0.48847592,0.6046308,0.7427005,0.31022048,0.5563409,0.40295744,0.78388053,0.33139008,0.6459876,DJ01,1,0.7,2.75,Regular,Positivo
0.5531121,0.4483411,0.80595654,0.8610643,0.54918206,0.66067445,0.97297233,0.66603625,0.98003376,0.47188365,0.45784262,0.691152,0.79574656,0.6888512,0.7318114,0.7226243,0.7356614,0.3679553,0.95661855,0.45784262,0.3779424,0.5752444,0.24051808,0.018181818,0.60247636,0.24395064,0.28908968,0.7743974,0.64254177,0.41590375,0.53378344,0.5738288,0.45784262,0.44256827,0.68809026,0.45784262,0.55968064,0.45784262,0.45784262,0.45784262,0.31599066,0.18121023,0.4004688,0.222228,0.543252,0.7290757,0.77125,0.45784262,0.18559444,0.44253486,0.45784262,0.4320612,0.6628468,0.6970237,0.439669,0.3606099,0.33776665,0.35651436,0.44167066,0.31632704,0.28585473,0.45784262,0.45784262,0.452183,0.44791397,0.45784262,0.15757805,0.6727273,0.59539354,0.29161265,0.4662395,0.018181818,0.6049216,0.69130677,0.2665113,0.3893509,0.5702935,0.25454545,0.4520518,0.9405376,0.39770827,0.2829436,0.37466738,0.4322781,0.6288088,0.45784262,0.45784262,0.7209853,0.6115665,0.31585446,0.52504826,0.49537694,0.59380656,0.7130052,0.30758944,0.92081505,0.4068794,0.77952176,0.34074825,0.6338027,DJ01,1,0.7,2.75,Regular,Positivo
0.48627952,0.45884833,0.8391221,0.8565403,0.5506626,0.5623442,0.7329953,0.64008003,0.5312695,0.4627424,0.45784262,0.6904506,0.7649902,0.6922621,0.73372006,0.72328866,0.37234923,0.38833413,0.41909638,0.45784262,0.37150922,0.5210227,0.23443721,0.018181818,0.36281097,0.24878742,0.29317543,0.7522655,0.45995507,0.5070799,0.2853957,0.56545544,0.45784262,0.44256827,0.6852846,0.45784262,0.46317747,0.45784262,0.45784262,0.45784262,0.30527213,0.16758196,0.43431625,0.23426361,0.48970687,0.73052996,0.7482466,0.45784262,0.16805434,0.44253486,0.45784262,0.44775912,0.67342025,0.6756151,0.439669,0.3621704,0.31704447,0.37284335,0.44167066,0.31284043,0.28585473,0.45784262,0.45784262,0.48355845,0.44791397,0.45784262,0.15757805,0.6727273,0.58448374,0.29161265,0.5072196,0.018181818,0.57479984,0.6780143,0.2665113,0.33727077,0.4507056,0.25454545,0.436513,0.58823633,0.35189772,0.27318168,0.35376692,0.47005445,0.6211534,0.45784262,0.45784262,0.7355573,0.6106905,0.3890563,0.41053283,0.485363,0.5521589,0.76630926,0.30546644,0.28227106,0.42050827,0.76052415,0.377269,0.64518553,DJ01,1,0.7,2.75,Regular,Positivo
0.8548841,0.56707597,0.6750279,0.8524882,0.77637714,0.6821947,0.88327885,0.73791856,0.53954387,0.49928263,0.45784262,0.6903691,0.5385173,0.6542953,0.7123937,0.7585494,0.52306044,0.44217518,0.5190701,0.45784262,0.381982,0.83807695,0.2660658,0.009615385,0.49990243,0.14023423,0.27881292,0.83238316,0.88642734,0.358639,0.2523903,0.7466473,0.45784262,0.44256827,0.66514194,0.45784262,0.7336237,0.45784262,0.45784262,0.45784262,0.41171378,0.2686975,0.17001355,0.23564695,0.4071747,0.7349537,0.70949364,0.45784262,0.36734465,0.44253486,0.45784262,0.45363256,0.56723446,0.6556523,0.439669,0.3813045,0.49130535,0.30421585,0.44167066,0.35841876,0.28585473,0.45784262,0.45784262,0.40343493,0.44791397,0.45784262,0.15757805,0.7019231,0.4698325,0.29161265,0.763262,0.009615385,0.21934229,0.61709183,0.2665113,0.598347,0.59675276,0.009615385,0.56004345,0.5181844,0.4836766,0.23375902,0.36672464,0.6418122,0.7583346,0.45784262,0.45784262,0.57530284,0.9247136,0.18782157,0.52381235,0.476104,0.26797834,0.81689507,0.2972654,0.35192484,0.5129118,0.7259368,0.6588687,0.6079466,DJ01,1,0.7,2.75,Regular,Positivo
0.7053404,0.5061152,0.37199786,0.36072785,0.8138033,0.49827826,0.3785775,0.75368226,0.41209015,0.48941696,0.45784262,0.69274545,0.3888362,0.6705039,0.72155106,0.73913354,0.41934168,0.38027856,0.6978119,0.45784262,0.39293888,0.7340154,0.2569518,0.018181818,0.26787716,0.18668114,0.27670345,0.84445703,0.6475601,0.3476756,0.4786341,0.69169587,0.45784262,0.44256827,0.6787523,0.45784262,0.50374144,0.45784262,0.45784262,0.45784262,0.36972675,0.20536439,0.22034082,0.19415736,0.52456546,0.7301581,0.7404993,0.45784262,0.25281337,0.44253486,0.45784262,0.39989942,0.6160229,0.72965354,0.439669,0.37136832,0.46660313,0.32209316,0.44167066,0.32627374,0.30798897,0.45784262,0.45784262,0.36446598,0.44791397,0.45784262,0.4880542,0.6727273,0.53628635,0.41473946,0.62420213,0.018181818,0.3829286,0.6677295,0.34894598,0.24530806,0.68841666,0.018181818,0.50894207,0.3141474,0.46880952,0.21872805,0.37665284,0.54119325,0.67402583,0.45784262,0.45784262,0.68143415,0.8792264,0.21637775,0.5741375,0.50181806,0.42827088,0.74768955,0.30473948,0.27200043,0.4554283,0.745705,0.49126992,0.61296576,DJ01,1,0.7,2.75,Regular,Positivo
0.63844484,0.44832283,0.81187725,0.86950254,0.61830735,0.5191282,0.6865852,0.6705671,0.7321281,0.4918555,0.45784262,0.68934995,0.89097494,0.6725166,0.72255504,0.7296676,0.8460275,0.3624905,0.37477866,0.45784262,0.38250586,0.72936726,0.2599676,0.023809524,0.47474968,0.2059239,0.28840068,0.7781952,0.38758507,0.2327702,0.54163116,0.50123173,0.45784262,0.44256827,0.6898983,0.45784262,0.42779377,0.45784262,0.45784262,0.45784262,0.36415768,0.26579458,0.45203114,0.25268114,0.6965157,0.72649676,0.7693304,0.45784262,0.3045018,0.44253486,0.45784262,0.45605654,0.62070936,0.66801333,0.439669,0.36139894,0.31131572,0.32293603,0.44167066,0.3462911,0.28585473,0.45784262,0.45784262,0.43704027,0.44791397,0.45784262,0.15757805,0.88095236,0.5959429,0.29161265,0.46246386,0.023809524,0.609429,0.68392164,0.2665113,0.55664986,0.4417435,0.023809524,0.50375706,0.39745444,0.49121585,0.3119239,0.42153665,0.42850536,0.7012945,0.45784262,0.45784262,0.61153597,0.63973045,0.21706447,0.7906479,0.53235936,0.5982386,0.61841214,0.31080517,0.2943524,0.3978234,0.76262563,0.33638704,0.6052924,DJ01,1,0.7,2.75,Regular,Positivo
0.98428273,0.44922236,0.5017468,0.8353158,0.9588081,0.5490058,0.8323783,0.6666441,0.9804929,0.499109,0.45784262,0.6883118,0.42602745,0.6654451,0.7185548,0.73597455,0.41953123,0.36604676,0.9389375,0.45784262,0.380966,0.790629,0.2677559,0.45238096,0.2662317,0.18648247,0.28899685,0.774908,0.93125916,0.1515213,0.8299891,0.8565318,0.45784262,0.44256827,0.6861386,0.45784262,0.84126943,0.45784262,0.45784262,0.45784262,0.38337266,0.30196297,0.064419284,0.26948,0.74730396,0.72706056,0.7595799,0.45784262,0.35876414,0.44253486,0.45784262,0.4722429,0.5984004,0.64458674,0.439669,0.3615869,0.45905617,0.31221488,0.44167066,0.3633817,0.28585473,0.45784262,0.45784262,0.44332454,0.44791397,0.45784262,0.15757805,0.45238096,0.59397733,0.29161265,0.4632678,0.023809524,0.60691345,0.6779124,0.2665113,0.39546365,0.9955282,0.023809524,0.52927953,0.94650865,0.5166115,0.21073519,0.4403002,0.43048573,0.63136524,0.45784262,0.45784262,0.56169575,0.66183007,0.1981296,0.85996383,0.5233486,0.59587854,0.5983671,0.30948174,0.42364317,0.39604583,0.7561661,0.33969665,0.59574217,DJ01,1,0.7,2.75,Regular,Positivo
0.7930982,0.44729856,0.7887778,0.7761334,0.78395414,0.53112847,0.85147107,0.6450049,0.41209015,0.46745497,0.9973115,0.6905122,0.60385746,0.69105273,0.7330373,0.7180725,0.5660776,0.3716371,0.31742793,0.9973115,0.37576574,0.53816193,0.23770954,0.023809524,0.38959384,0.25715384,0.29238084,0.756514,0.7228441,0.20907249,0.20048901,0.33595744,0.45784262,0.9318807,0.6939624,0.45784262,0.4768189,0.45784262,0.45784262,0.45784262,0.30909798,0.17663223,0.37753877,0.23321554,0.5953695,0.7280344,0.78174204,0.45784262,0.17318705,0.994645,0.45784262,0.4432504,0.67095196,0.68692243,0.9829704,0.3604453,0.19285725,0.36729017,0.99378896,0.31372425,0.28585473,0.45784262,0.45784262,0.46883827,0.99667937,0.45784262,0.15757805,0.88095236,0.5981138,0.29161265,0.4565676,0.023809524,0.61537284,0.6904096,0.2665113,0.77997404,0.5067552,0.023809524,0.43975127,0.40468344,0.3792755,0.23988526,0.36791041,0.42172843,0.4796156,0.45784262,0.45784262,0.7318309,0.7375599,0.355642,0.49052083,0.54587334,0.60562474,0.7191066,0.30983874,0.23946002,0.4013916,0.7702768,0.32881874,0.6385367,DJ01,1,0.7,2.75,Regular,Positivo
0.64153147,0.4497118,0.37199786,0.36072785,0.9524589,0.87210494,0.3785775,0.6541092,0.41209015,0.4651479,0.45784262,0.6909769,0.3888362,0.69155264,0.7333336,0.71788186,0.29719955,0.37068588,0.83169794,0.45784262,0.37718248,0.52362543,0.23625752,0.24358974,0.6602401,0.25844142,0.29093656,0.7643071,0.8204056,0.8835511,0.9113577,0.8698266,0.45784262,0.44256827,0.6928579,0.45784262,0.8341223,0.45784262,0.45784262,0.45784262,0.30751997,0.16296041,0.08594735,0.22525188,0.6105655,0.72814786,0.77015984,0.45784262,0.15790975,0.44253486,0.45784262,0.43477014,0.67362297,0.6967735,0.439669,0.36091256,0.8041135,0.3719734,0.44167066,0.3090486,0.31882623,0.45784262,0.45784262,0.4602953,0.44791397,0.45784262,0.55842257,0.47435898,0.5954989,0.5463994,0.4590819,0.012820513,0.6137017,0.6921525,0.39196995,0.24380156,0.8478692,0.24358974,0.43541634,0.3806286,0.3673541,0.21440913,0.36249983,0.42455456,0.75803876,0.45784262,0.45784262,0.7517802,0.7787036,0.3774242,0.47111973,0.51351595,0.60274655,0.7296892,0.30950466,0.25120747,0.4032917,0.7711979,0.3315905,0.6414841,DJ01,1,0.7,2.75,Regular,Positivo
