HRV_CVNN-D-HRV_pNN50,neutral,angry,sad,fear,happy,surprise,Alpha_F4-D-Alpha_FP2,Theta_F4-D-Theta_C4,HRV_HTI-D-HRV_C2d,HighBeta_C4,LowBeta_FP2-D-HighBeta_FP1,Fatigue-D-Alpha_FP2,Gamma_F3-D-Fatigue,Theta_F4-D-Alpha_F4,Fatigue-D-Alpha_PZ,Theta_C4-D-Alpha_FP2,Gamma_F3-D-Load,HRV_MeanNN-D-HRV_CVNN,HRV_HTI-M-HRV_DFA,LowBeta_FP1-D-LowBeta_FP2,hf-L,Alpha_FP1-M-Load,HRV_LFn-M-HRV_HFn,Alpha_FP2-D-Theta_C4,Fatigue,HRV_HTI,Alpha_F3-M-Load,HRV_PIP-M-HRV_Cd,Gamma_C4,Alpha_FP2-M-Fatigue,Theta_C4-D-Theta_FP2,HRV_MCVNN-M-HRV_PAS,Alpha_C3-M-Load,Alpha_C4-D-Fatigue,Fatigue-D-Alpha_FP1,LowBeta_FP1-D-LowBeta_F3,LowBeta_FP2-M-Gamma_PZ,Alpha_F4-D-Theta_F4,Load,Fatigue-D-Alpha_C4,HighBeta_PZ,HRV_MCVNN-D-HRV_IQRNN,Gamma_FP1-D-Fatigue,p_total-L,Alpha_C4-M-Fatigue,Gamma_F3-M-Fatigue,Alpha_PZ-M-Fatigue,HRV_PAS-M-HRV_SampEn,Gamma_FP2-M-Fatigue,Fatigue-D-Theta_F3,HighBeta_FP2-D-Gamma_PZ,HRV_SD1SD2-D-HRV_PI,Theta_FP2-D-Theta_C4,HRV_C1d-M-HRV_Cd,Alpha_C4-M-Gamma_F4,LowBeta_C4-D-HighBeta_C4,LowBeta_C3-M-Gamma_C4,HighBeta_F3-D-HighBeta_PZ,Alpha_FP1-M-Fatigue,HRV_PIP-D-HRV_Cd,Alpha_FP2-D-Theta_F4,Alpha_FP2-D-Theta_FP1,LowBeta_C4-D-LowBeta_F4,LowBeta_PZ-D-HighBeta_C3,HRV_PSS-M-HRV_PI,HRV_CVNN-D-HRV_LFn,Alpha_FP2-D-Alpha_C4,HighBeta_FP1-D-HighBeta_F4,Theta_C4-D-Alpha_F4,lf-L,Gamma_PZ-D-Gamma_C4,Fatigue-D-Alpha_F4,Alpha_FP1-D-Alpha_PZ,Gamma_FP1-M-Fatigue,LowBeta_F3-D-HighBeta_FP1,Gamma_C3-D-Gamma_PZ,LowBeta_FP1-D-Load,Alpha_F3-D-Load,LowBeta_C4,Gamma_FP2-D-Fatigue,Alpha_C3-D-Theta_F4,Alpha_PZ-D-Load,Theta_C3-D-Theta_PZ,bpm-M-HRV_DFA,LowBeta_FP1-D-Gamma_C3,LowBeta_FP2-D-Gamma_PZ,HRV_PAS-M-HRV_CorrDim,lf-D-p_total,Alpha_FP1-D-Theta_F4,HighBeta_FP2-D-Gamma_C3,HRV_HTI-M-HRV_CMSE,LowBeta_F4-D-HighBeta_PZ,HRV_MedianNN-M-HRV_PIP,Alpha_F4-D-Theta_FP2,HRV_IQRNN-D-HRV_SampEn,HRV_RMSSD-D-HRV_SDSD,Theta_F3-D-Theta_PZ,breathingrate-D-HRV_DFA,HRV_MeanNN-D-HRV_MedianNN,ID,Take,PSI_Score,MCE_Score,MCE_Category,PSI_Category
0.5145413,0.26027396,0.01369863,0.26027396,0.19178082,0.26027396,0.01369863,0.7410817,0.5437682,0.7134578,0.25935185,0.12176374,0.5719203,0.32796746,0.72101194,0.50711775,0.8021119,0.36962783,0.52206635,0.6613562,0.75711477,0.9971626,0.52320415,0.3808133,0.041001573,0.29359064,0.7595934,0.57531816,0.47174224,0.31972742,0.12441699,0.65690315,0.42129272,0.49812138,0.7403363,0.5330833,0.24329984,0.55174977,0.3812423,0.59408563,0.2965745,0.36827812,0.6531577,0.34358692,0.96945935,0.5110337,0.651197,0.43595344,0.42376378,0.55916816,0.36703175,0.29036146,0.31899205,0.049740877,0.2885133,0.34561643,0.32657588,0.6796185,0.50782865,0.25611022,0.49738306,0.3275879,0.24965826,0.63682,0.47985482,0.4036917,0.17047183,0.08441732,0.36530268,0.6477654,0.9899271,0.539453,0.52764183,0.5065426,0.5948492,0.60850763,0.5102156,0.33819067,0.5982765,0.25511554,0.25595638,0.49102813,0.5950359,0.46238178,0.83244216,0.3378217,0.17289716,0.50636125,0.9220059,0.45338765,0.3653707,0.5675367,0.38793707,0.23751174,0.7112061,0.51141757,0.51482916,0.6260601,0.7920027,0.405253,DJ01,1,0.7,2.75,Regular,Positivo
0.6469216,0.5135135,0.027027028,0.027027028,0.3783784,0.027027028,0.027027028,0.7470463,0.5636587,0.45288393,0.27474743,0.09951523,0.56772536,0.32727847,0.70432836,0.3143217,0.7950236,0.36960626,0.37144,0.4311036,0.7652173,0.44112286,0.5269018,0.50705636,0.058970682,0.28851613,0.44409484,0.6180705,0.45642495,0.32908514,0.12673116,0.6527793,0.6110505,0.60042816,0.7581112,0.5272537,0.2269059,0.55405325,0.40909287,0.5941535,0.18270135,0.34920645,0.30638328,0.34304902,0.5269967,0.5281879,0.65562624,0.5170754,0.4337604,0.5550132,0.31591225,0.30513722,0.5064955,0.06492497,0.5524557,0.30158472,0.34562978,0.6741155,0.44675818,0.2599203,0.42432436,0.3376954,0.28627053,0.6465884,0.4980199,0.35111427,0.48822665,0.028905788,0.3635091,0.63184345,0.5895688,0.5547921,0.5141967,0.37249836,0.5988564,0.5918443,0.502252,0.33856064,0.6068484,0.26472688,0.253003,0.55008656,0.60645247,0.4500063,0.5318741,0.33195788,0.15620285,0.5239728,0.78491163,0.46086115,0.38670576,0.44411415,0.35191777,0.3287891,0.73234975,0.72098464,0.44334316,0.6218884,0.69397575,0.7294638,DJ01,1,0.7,2.75,Regular,Positivo
0.5285375,0.6727273,0.018181818,0.018181818,0.018181818,0.25454545,0.018181818,0.75001055,0.6538581,0.19027999,0.2761511,0.28857332,0.45204777,0.3251205,0.65552324,0.287253,0.73910224,0.37050456,0.5561413,0.22311273,0.7188823,0.3469026,0.5818946,0.21032643,0.23845084,0.26789203,0.20522022,0.61668456,0.50733143,0.3303283,0.30762973,0.6249183,0.16767792,0.6083409,0.7602089,0.423835,0.29209164,0.55990076,0.47301218,0.5952337,0.16743523,0.39777103,0.5868408,0.34884143,0.44056624,0.52502924,0.6787801,0.5140082,0.25221312,0.69814825,0.29554698,0.20028962,0.782667,0.20461625,0.70996374,0.32049474,0.34133857,0.6628561,0.5333835,0.38464585,0.25074726,0.38610914,0.54293716,0.57773626,0.5351857,0.09131691,0.6822133,0.20759104,0.31985182,0.54232347,0.3032681,0.5377423,0.33956537,0.47854725,0.6935984,0.71762305,0.48933023,0.33934903,0.6061439,0.27117002,0.28481165,0.52831745,0.6064818,0.45442334,0.64618814,0.38747004,0.20904739,0.31849658,0.25279754,0.46125498,0.30534986,0.2787171,0.45542136,0.14237803,0.7778387,0.5085536,0.5064458,0.60672855,0.4078289,0.60842615,DJ01,1,0.7,2.75,Regular,Positivo
0.53233534,0.6727273,0.018181818,0.018181818,0.018181818,0.25454545,0.018181818,0.7492595,0.69359595,0.262939,0.29524654,0.2894182,0.43741626,0.32756224,0.68770856,0.41315752,0.72102433,0.37414622,0.49819666,0.22490248,0.6738196,0.51240706,0.58972996,0.20104498,0.2913615,0.27089417,0.21386777,0.61633277,0.29973626,0.33473915,0.33265233,0.6026246,0.28122458,0.6017736,0.7527454,0.4153125,0.35458013,0.49325198,0.4334627,0.5977964,0.22029246,0.6066416,0.6277073,0.3437389,0.56615293,0.5171028,0.69458175,0.4710957,0.32411143,0.6139768,0.32824433,0.3938632,0.4849766,0.32504886,0.4166281,0.32812855,0.34757456,0.63685143,0.764737,0.39797655,0.38087222,0.35344738,0.53199345,0.48451272,0.7365181,0.097728334,0.61881053,0.30380613,0.3423466,0.51744425,0.6070024,0.4463124,0.32132694,0.5459224,0.63840026,0.6174056,0.47211787,0.34305114,0.60496354,0.29929164,0.2621465,0.5044831,0.59967375,0.48781487,0.65548635,0.54226476,0.37807643,0.3837099,0.705147,0.43117756,0.49081266,0.3620538,0.7283058,0.10565337,0.7542567,0.5160011,0.5146352,0.62976474,0.7186906,0.6853011,DJ01,1,0.7,2.75,Regular,Positivo
0.3635089,0.6727273,0.018181818,0.018181818,0.25454545,0.018181818,0.018181818,0.7555095,0.55238605,0.64010704,0.32644844,0.03940102,0.53580385,0.33566472,0.69978756,0.4982096,0.8009539,0.38287193,0.7021698,0.4572554,0.96831965,0.4248631,0.50534314,0.22647053,0.04374345,0.18348457,0.53498864,0.5175594,0.36580664,0.36660266,0.05504942,0.65619826,0.62245077,0.48030615,0.760651,0.48401362,0.46187252,0.027950548,0.416061,0.58748204,0.16418543,0.9987196,0.6653308,0.36293107,0.5265027,0.4964825,0.91744447,0.32532394,0.5396109,0.97562176,0.35979044,0.27721572,0.37958887,0.052189495,0.6115417,0.43601176,0.35339388,0.30557922,0.9716638,0.1663115,0.639011,0.32399684,0.24949217,0.9383667,0.9990563,0.5136813,0.77943593,0.058172725,0.13018899,0.63416094,0.59769076,0.104659066,0.45208395,0.545244,0.9374638,0.8520824,0.29697838,0.33592588,0.59274286,0.35038945,0.38135594,0.4940718,0.5916716,0.47368774,0.6861755,0.89588237,0.57780343,0.81657827,0.796847,0.45552883,0.5733849,0.8123068,0.99454075,0.25291193,0.7415468,0.54096603,0.5245248,0.67965615,0.7073598,0.32192403,DJ01,1,0.7,2.75,Regular,Positivo
0.25904667,0.6727273,0.018181818,0.018181818,0.25454545,0.018181818,0.018181818,0.7550889,0.53354585,0.477835,0.30157372,0.0684772,0.545381,0.330881,0.6701373,0.4690394,0.7969774,0.37266466,0.768794,0.3336369,0.93005884,0.50604355,0.5021054,0.16576554,0.05374716,0.22701024,0.48567215,0.5607638,0.4361901,0.34503785,0.08884371,0.6592619,0.36561346,0.53075534,0.7562722,0.50356454,0.31322804,0.15661879,0.45616087,0.58560383,0.19584517,0.9673737,0.7228625,0.35897836,0.5343351,0.5068503,0.81313604,0.4011158,0.50139356,0.9089392,0.32798475,0.23721911,0.31313586,0.04200458,0.20854636,0.39550403,0.33735764,0.47621965,0.9605067,0.20512143,0.534562,0.36002752,0.34817222,0.86482424,0.9741628,0.18659228,0.5763889,0.06460108,0.19878976,0.6277445,0.45892906,0.2562095,0.46784332,0.5116373,0.85439783,0.8211375,0.38832095,0.33086088,0.60061765,0.32122377,0.3482584,0.5260707,0.59792864,0.45499212,0.5003174,0.7618534,0.38971946,0.73902756,0.3352296,0.47035292,0.4471565,0.5980013,0.9433064,0.11823013,0.7660941,0.3606538,0.58150786,0.6549123,0.7427425,0.325161,DJ01,1,0.7,2.75,Regular,Positivo
0.41755995,0.6727273,0.018181818,0.018181818,0.25454545,0.018181818,0.018181818,0.7493271,0.6426857,0.57592875,0.2777636,0.26182526,0.49128115,0.32219133,0.7012705,0.3285873,0.7662792,0.37010548,0.6515383,0.436553,0.85565925,0.540113,0.56189317,0.26978156,0.14973542,0.24200435,0.51715034,0.60973066,0.43846714,0.32748997,0.20250176,0.62944484,0.17048636,0.6009833,0.7594836,0.4538968,0.14653485,0.46146032,0.41381216,0.5947759,0.17274077,0.43900412,0.7084164,0.36204708,0.5453313,0.51642597,0.7049044,0.485318,0.2226384,0.9008098,0.2645698,0.055035975,0.6413473,0.17951027,0.04917732,0.3751176,0.31877404,0.6684584,0.62740666,0.30841497,0.81056297,0.33656543,0.38202664,0.7641044,0.47858343,0.36492813,0.6811678,0.13964729,0.20970386,0.5842323,0.45759752,0.51332337,0.396442,0.47556674,0.84780127,0.91610503,0.5260031,0.34132183,0.60487854,0.2961797,0.35603648,0.5289899,0.60391927,0.4378928,0.6314344,0.3283887,0.13584517,0.4320835,0.24539533,0.43897232,0.105758294,0.5452183,0.34730017,0.22745663,0.7377689,0.4849533,0.54902285,0.6250243,0.2150542,0.41768798,DJ01,1,0.7,2.75,Regular,Positivo
0.0875699,0.88095236,0.023809524,0.023809524,0.023809524,0.023809524,0.023809524,0.7505683,0.65421075,0.6157881,0.28589922,0.24140388,0.47577816,0.32094446,0.6996266,0.27705318,0.76013315,0.37068468,0.8824858,0.32634354,0.8919452,0.45571864,0.56599694,0.50796515,0.17036825,0.22685654,0.53416175,0.6180432,0.48068777,0.33339578,0.20219015,0.6245982,0.33703557,0.6087488,0.76218575,0.4379624,0.10907581,0.4121311,0.41630355,0.59517246,0.15285298,0.47082078,0.80689925,0.3669304,0.46788144,0.5153236,0.72450686,0.49346444,0.72398853,0.94728476,0.274047,0.03263587,0.7756729,0.20639819,0.5282172,0.3898342,0.32420954,0.661844,0.65802974,0.30605373,0.7115806,0.33585405,0.3903681,0.8285946,0.48904306,0.26304382,0.58701813,0.14576738,0.17473853,0.5731941,0.30258438,0.5036926,0.37165993,0.46050602,0.89862096,0.94772375,0.5335238,0.34324136,0.60645574,0.30574453,0.384546,0.5324156,0.60540134,0.45586154,0.6374817,0.3178752,0.11431565,0.8329744,0.08631014,0.43689823,0.06867072,0.56043625,0.3141837,0.17911509,0.74014646,0.07501835,0.63137233,0.6138773,0.8077229,0.059449423,DJ01,1,0.7,2.75,Regular,Positivo
0.3046216,0.45238096,0.023809524,0.45238096,0.023809524,0.023809524,0.023809524,0.7514225,0.669954,0.6810484,0.2672708,0.17528306,0.5008315,0.3255018,0.71900326,0.31839028,0.7608012,0.37155256,0.70401776,0.7868069,0.7463149,0.44450244,0.568038,0.23810801,0.16813168,0.27594686,0.7145654,0.6230971,0.572176,0.32112315,0.24301736,0.6167847,0.26385036,0.6157871,0.75741434,0.47029293,0.2370258,0.552361,0.38479543,0.5973174,0.18771076,0.3674588,0.7979601,0.3465707,0.5510994,0.5239945,0.6656221,0.50919795,0.48977312,0.64300376,0.3002184,0.23674645,0.58113605,0.2497683,0.3757567,0.31849438,0.31068948,0.6778843,0.4935332,0.33750314,0.57265425,0.3072523,0.324691,0.6063202,0.48461995,0.11089081,0.7114962,0.13737933,0.32971966,0.5731073,0.9899271,0.53967255,0.4063775,0.4533627,0.65634197,0.6794922,0.5153444,0.3434384,0.6067252,0.28485042,0.27231777,0.5308332,0.6049485,0.45589238,0.90273553,0.32938772,0.17572126,0.6730238,0.9220059,0.41117322,0.3124797,0.5395721,0.38997072,0.14410122,0.7175299,0.24948384,0.61079776,0.61003846,0.33363843,0.13489583,DJ01,1,0.7,2.75,Regular,Positivo
0.14021571,0.88095236,0.023809524,0.023809524,0.023809524,0.023809524,0.023809524,0.75138617,0.659943,0.2976531,0.2770673,0.14192493,0.50467396,0.326101,0.7099999,0.284474,0.7624144,0.37132597,0.88017833,0.29660743,0.76006204,0.6070432,0.5682094,0.12244679,0.16272253,0.27670893,0.31489038,0.6216087,0.49777713,0.32285163,0.23737723,0.6206639,0.40193385,0.61128277,0.75759864,0.46669382,0.22205456,0.5454857,0.4000358,0.5964233,0.18638915,0.370171,0.5868408,0.34525856,0.5363287,0.5244194,0.66946965,0.51933414,0.5863686,0.62063485,0.33080605,0.24675795,0.36644933,0.22829866,0.37253428,0.3145729,0.33018488,0.67529386,0.44691622,0.34374705,0.42143235,0.3201618,0.34307945,0.62917984,0.5031019,0.23751698,0.15906693,0.12863842,0.33200034,0.57565916,0.3968655,0.5415178,0.41214198,0.43601644,0.6422578,0.6661892,0.5060344,0.34230742,0.6067407,0.2834867,0.26633856,0.53143233,0.60657984,0.4332915,0.5132046,0.33561507,0.16525175,0.9181058,0.07440587,0.4300212,0.33156285,0.9307342,0.3783797,0.1778798,0.72493935,0.3620549,0.53252953,0.58765364,0.8575139,0.4050675,DJ01,1,0.7,2.75,Regular,Positivo
